1,藤原 碧生,藤原 碧生.1,2,栗原 一馬,栗原 一馬.1,3,登玉 隼百,登玉 隼百.1,4,仲本 舜,仲本 舜.1,5,久永 祥平,久永 祥平.1,6,藤森 陸斗,藤森 陸斗.1
2.0,3.0,16.8,1.0,3.0,217.4,1.0,2.0,84.6,1.0,2.0,139.9,1.0,2.0,175.1,1.0,2.0,500.2
2.0,4.0,31.2,1.0,4.0,328.0,1.0,4.0,53.7,1.0,3.0,92.5,1.0,3.0,77.5,1.0,3.0,366.4
2.0,5.0,23.9,1.0,5.0,252.0,1.0,5.0,32.0,1.0,5.0,75.2,1.0,4.0,146.1,1.0,4.0,479.2
2.0,6.0,32.1,1.0,6.0,312.7,1.0,6.0,63.7,1.0,6.0,106.0,1.0,6.0,132.1,1.0,5.0,340.2
3.0,2.0,11.0,3.0,1.0,373.0,2.0,1.0,248.4,2.0,1.0,423.4,2.0,1.0,436.9,2.0,1.0,1138.0
3.0,4.0,10.5,3.0,4.0,847.5,2.0,4.0,451.3,2.0,3.0,619.1,2.0,3.0,693.0,2.0,3.0,1293.0
3.0,5.0,6.7,3.0,5.0,725.4,2.0,5.0,372.5,2.0,5.0,582.7,2.0,4.0,919.7,2.0,4.0,1499.0
3.0,6.0,16.6,3.0,6.0,1079.0,2.0,6.0,544.4,2.0,6.0,628.1,2.0,6.0,846.3,2.0,5.0,1541.0
4.0,2.0,36.8,4.0,1.0,641.5,4.0,1.0,110.9,3.0,1.0,155.9,3.0,1.0,136.0,3.0,1.0,561.6
4.0,3.0,19.7,4.0,3.0,963.7,4.0,2.0,327.5,3.0,2.0,423.7,3.0,2.0,548.3,3.0,2.0,1005.0
4.0,5.0,24.1,4.0,5.0,1153.0,4.0,5.0,120.2,3.0,5.0,177.3,3.0,4.0,365.7,3.0,4.0,951.6
4.0,6.0,36.6,4.0,6.0,1159.0,4.0,6.0,187.8,3.0,6.0,244.0,3.0,6.0,353.3,3.0,5.0,766.8
5.0,2.0,27.4,5.0,1.0,582.7,5.0,1.0,75.6,5.0,1.0,105.3,4.0,1.0,224.2,4.0,1.0,708.4
5.0,3.0,13.9,5.0,3.0,992.2,5.0,2.0,298.8,5.0,2.0,307.8,4.0,2.0,619.1,4.0,2.0,1452.0
5.0,4.0,35.1,5.0,4.0,1421.0,5.0,4.0,162.4,5.0,3.0,190.6,4.0,3.0,325.4,4.0,3.0,1123.0
5.0,6.0,31.2,5.0,6.0,1336.0,5.0,6.0,174.3,5.0,6.0,141.5,4.0,6.0,319.9,4.0,5.0,873.2
6.0,2.0,63.5,6.0,1.0,1084.0,6.0,1.0,241.3,6.0,1.0,227.7,6.0,1.0,292.4,5.0,1.0,514.2
6.0,3.0,49.2,6.0,3.0,1633.0,6.0,2.0,583.8,6.0,2.0,524.1,6.0,2.0,773.7,5.0,2.0,1189.0
6.0,4.0,70.5,6.0,4.0,1569.0,6.0,4.0,416.4,6.0,3.0,427.6,6.0,3.0,452.9,5.0,3.0,795.1
6.0,5.0,52.8,6.0,5.0,1697.0,6.0,5.0,307.2,6.0,5.0,260.1,6.0,4.0,476.5,5.0,4.0,758.2
