1,吉川 昭男,吉川 昭男.1,2,松尾 基成,松尾 基成.1,3,川口 貴久,川口 貴久.1,4,岡村 将也,岡村 将也.1,5,森 照夫,森 照夫.1,6,伊倉 光,伊倉 光.1
2.0,3.0,21.2,1.0,3.0,200.1,1.0,2.0,97.5,1.0,2.0,109.5,1.0,2.0,205.9,1.0,2.0,1430.0
2.0,4.0,20.4,1.0,4.0,188.7,1.0,4.0,35.8,1.0,3.0,55.3,1.0,3.0,99.8,1.0,3.0,758.4
2.0,5.0,41.7,1.0,5.0,324.0,1.0,5.0,48.2,1.0,5.0,60.1,1.0,4.0,110.2,1.0,4.0,1100.0
2.0,6.0,73.8,1.0,6.0,486.9,1.0,6.0,92.5,1.0,6.0,94.3,1.0,6.0,166.0,1.0,5.0,1219.0
3.0,2.0,14.8,3.0,1.0,365.4,2.0,1.0,311.0,2.0,1.0,339.2,2.0,1.0,616.8,2.0,1.0,2270.0
3.0,4.0,6.1,3.0,4.0,910.5,2.0,4.0,436.6,2.0,3.0,705.4,2.0,3.0,1043.0,2.0,3.0,2064.0
3.0,5.0,10.1,3.0,5.0,1046.0,2.0,5.0,511.6,2.0,5.0,573.9,2.0,4.0,1062.0,2.0,4.0,3272.0
3.0,6.0,23.4,3.0,6.0,1381.0,2.0,6.0,835.1,2.0,6.0,610.5,2.0,6.0,924.4,2.0,5.0,3493.0
4.0,2.0,14.8,4.0,1.0,530.3,4.0,1.0,83.0,3.0,1.0,111.7,3.0,1.0,207.5,3.0,1.0,995.3
4.0,3.0,8.0,4.0,3.0,989.9,4.0,2.0,285.8,3.0,2.0,374.1,3.0,2.0,777.9,3.0,2.0,3186.0
4.0,5.0,12.2,4.0,5.0,1074.0,4.0,5.0,123.7,3.0,5.0,186.4,3.0,4.0,321.5,3.0,4.0,1621.0
4.0,6.0,23.1,4.0,6.0,1453.0,4.0,6.0,202.9,3.0,6.0,257.1,3.0,6.0,517.5,3.0,5.0,2215.0
5.0,2.0,47.7,5.0,1.0,968.7,5.0,1.0,124.2,5.0,1.0,112.3,4.0,1.0,190.2,4.0,1.0,1513.0
5.0,3.0,23.3,5.0,3.0,1636.0,5.0,2.0,374.1,5.0,2.0,321.7,4.0,2.0,615.7,4.0,2.0,3131.0
5.0,4.0,26.7,5.0,4.0,1651.0,5.0,4.0,170.4,5.0,3.0,223.8,4.0,3.0,355.1,4.0,3.0,2007.0
5.0,6.0,51.9,5.0,6.0,2149.0,5.0,6.0,252.1,5.0,6.0,193.5,4.0,6.0,359.7,4.0,5.0,1932.0
6.0,2.0,150.4,6.0,1.0,1729.0,6.0,1.0,423.4,6.0,1.0,324.3,6.0,1.0,453.5,5.0,1.0,1376.0
6.0,3.0,105.4,6.0,3.0,2651.0,6.0,2.0,1037.0,6.0,2.0,739.9,6.0,2.0,976.6,5.0,2.0,2953.0
6.0,4.0,79.0,6.0,4.0,3272.0,6.0,4.0,581.2,6.0,3.0,679.0,6.0,3.0,818.2,5.0,3.0,1902.0
6.0,5.0,107.1,6.0,5.0,3215.0,6.0,5.0,713.7,6.0,5.0,408.6,6.0,4.0,669.0,5.0,4.0,2075.0
