1,木場 悠介,木場 悠介.1,2,平田 忠則,平田 忠則.1,3,峰重 力也,峰重 力也.1,4,木下 陽介,木下 陽介.1,5,中島 昂章,中島 昂章.1,6,中辻 崇人,中辻 崇人.1
2.0,3.0,24.6,1.0,3.0,48.0,1.0,2.0,164.7,1.0,2.0,236.3,1.0,2.0,143.2,1.0,2.0,22.1
2.0,4.0,31.3,1.0,4.0,48.6,1.0,4.0,306.2,1.0,3.0,710.5,1.0,3.0,371.0,1.0,3.0,63.5
2.0,5.0,13.8,1.0,5.0,24.4,1.0,5.0,265.8,1.0,5.0,386.9,1.0,4.0,322.6,1.0,4.0,79.1
2.0,6.0,11.9,1.0,6.0,18.6,1.0,6.0,194.1,1.0,6.0,342.9,1.0,6.0,115.9,1.0,5.0,30.4
3.0,2.0,49.9,3.0,1.0,127.7,2.0,1.0,218.3,2.0,1.0,240.0,2.0,1.0,160.8,2.0,1.0,24.8
3.0,4.0,80.5,3.0,4.0,222.7,2.0,4.0,364.8,2.0,3.0,624.8,2.0,3.0,349.5,2.0,3.0,61.5
3.0,5.0,66.3,3.0,5.0,135.2,2.0,5.0,228.4,2.0,5.0,218.3,2.0,4.0,373.6,2.0,4.0,72.5
3.0,6.0,58.8,3.0,6.0,106.5,2.0,6.0,193.1,2.0,6.0,207.4,2.0,6.0,95.8,2.0,5.0,29.9
4.0,2.0,73.0,4.0,1.0,159.6,4.0,1.0,647.1,3.0,1.0,771.0,3.0,1.0,600.6,3.0,1.0,136.7
4.0,3.0,143.2,4.0,3.0,282.3,4.0,2.0,369.7,3.0,2.0,566.2,3.0,2.0,485.3,3.0,2.0,117.6
4.0,5.0,106.5,4.0,5.0,171.4,4.0,5.0,426.3,3.0,5.0,587.6,3.0,4.0,776.5,3.0,4.0,184.5
4.0,6.0,104.3,4.0,6.0,152.4,4.0,6.0,408.7,3.0,6.0,604.0,3.0,6.0,416.5,3.0,5.0,157.3
5.0,2.0,35.8,5.0,1.0,76.1,5.0,1.0,368.5,5.0,1.0,351.8,4.0,1.0,594.1,4.0,1.0,185.8
5.0,3.0,85.2,5.0,3.0,187.7,5.0,2.0,314.2,5.0,2.0,348.4,4.0,2.0,554.6,4.0,2.0,121.2
5.0,4.0,100.2,5.0,4.0,213.5,5.0,4.0,510.4,5.0,3.0,510.4,4.0,3.0,869.7,4.0,3.0,292.2
5.0,6.0,35.5,5.0,6.0,54.6,5.0,6.0,226.5,5.0,6.0,234.8,4.0,6.0,384.1,4.0,5.0,176.2
6.0,2.0,24.4,6.0,1.0,37.5,6.0,1.0,306.2,6.0,1.0,326.4,6.0,1.0,99.8,5.0,1.0,50.1
6.0,3.0,63.7,6.0,3.0,98.8,6.0,2.0,216.1,6.0,2.0,250.5,6.0,2.0,83.7,5.0,2.0,45.8
6.0,4.0,83.6,6.0,4.0,117.0,6.0,4.0,421.3,6.0,3.0,632.0,6.0,3.0,312.4,5.0,3.0,127.9
6.0,5.0,35.7,6.0,5.0,45.2,6.0,5.0,332.4,6.0,5.0,287.6,6.0,4.0,256.4,5.0,4.0,141.5
