1,松下 知幸,松下 知幸.1,2,山下 大輝,山下 大輝.1,3,金子 萌,金子 萌.1,4,川尻 泰輔,川尻 泰輔.1,5,久富 政弘,久富 政弘.1,6,本橋 克洋,本橋 克洋.1
2.0,3.0,10.5,1.0,3.0,24.0,1.0,2.0,30.5,1.0,2.0,151.8,1.0,2.0,284.6,1.0,2.0,302.7
2.0,4.0,20.3,1.0,4.0,40.5,1.0,4.0,33.4,1.0,3.0,140.0,1.0,3.0,227.0,1.0,3.0,311.1
2.0,5.0,30.4,1.0,5.0,59.9,1.0,5.0,42.8,1.0,5.0,166.1,1.0,4.0,435.0,1.0,4.0,597.9
2.0,6.0,31.0,1.0,6.0,64.4,1.0,6.0,50.5,1.0,6.0,191.9,1.0,6.0,301.4,1.0,5.0,449.7
3.0,2.0,9.4,3.0,1.0,41.2,2.0,1.0,56.2,2.0,1.0,208.4,2.0,1.0,376.2,2.0,1.0,444.1
3.0,4.0,12.7,3.0,4.0,49.0,2.0,4.0,58.2,2.0,3.0,205.4,2.0,3.0,414.8,2.0,3.0,433.3
3.0,5.0,19.4,3.0,5.0,85.8,2.0,5.0,84.0,2.0,5.0,269.2,2.0,4.0,523.3,2.0,4.0,644.7
3.0,6.0,24.5,3.0,6.0,71.2,2.0,6.0,83.6,2.0,6.0,249.1,2.0,6.0,529.8,2.0,5.0,692.7
4.0,2.0,37.7,4.0,1.0,94.8,4.0,1.0,88.1,3.0,1.0,179.2,3.0,1.0,243.5,3.0,1.0,373.5
4.0,3.0,32.3,4.0,3.0,86.6,4.0,2.0,92.9,3.0,2.0,201.1,3.0,2.0,361.5,3.0,2.0,425.5
4.0,5.0,72.3,4.0,5.0,165.4,4.0,5.0,104.6,3.0,5.0,212.1,3.0,4.0,392.7,3.0,4.0,453.5
4.0,6.0,70.3,4.0,6.0,125.5,4.0,6.0,74.7,3.0,6.0,199.4,3.0,6.0,488.7,3.0,5.0,553.1
5.0,2.0,65.0,5.0,1.0,170.5,5.0,1.0,101.5,5.0,1.0,232.6,4.0,1.0,633.3,4.0,1.0,1070.0
5.0,3.0,54.1,5.0,3.0,173.8,5.0,2.0,132.4,5.0,2.0,255.1,4.0,2.0,539.1,4.0,2.0,964.2
5.0,4.0,113.8,5.0,4.0,264.5,5.0,4.0,158.3,5.0,3.0,309.7,4.0,3.0,500.1,4.0,3.0,706.4
5.0,6.0,123.4,5.0,6.0,269.9,5.0,6.0,172.6,5.0,6.0,263.9,4.0,6.0,633.3,4.0,5.0,1064.0
6.0,2.0,94.8,6.0,1.0,219.1,6.0,1.0,146.3,6.0,1.0,359.1,6.0,1.0,419.7,5.0,1.0,697.2
6.0,3.0,91.5,6.0,3.0,189.2,6.0,2.0,151.8,6.0,2.0,341.4,6.0,2.0,524.6,5.0,2.0,1004.0
6.0,4.0,150.7,6.0,4.0,272.6,6.0,4.0,140.0,6.0,3.0,361.5,6.0,3.0,519.5,5.0,3.0,918.7
6.0,5.0,178.3,6.0,5.0,416.4,6.0,5.0,227.7,6.0,5.0,304.9,6.0,4.0,664.7,5.0,4.0,973.0
