1,久田 敏之,久田 敏之.1,2,尾上 雅也,尾上 雅也.1,3,石田 政吾,石田 政吾.1,4,為本 智也,為本 智也.1,5,眞鳥 康太,眞鳥 康太.1,6,郷原 章平,郷原 章平.1
2.0,3.0,7.3,1.0,3.0,36.5,1.0,2.0,161.5,1.0,2.0,45.8,1.0,2.0,252.6,1.0,2.0,467.0
2.0,4.0,6.1,1.0,4.0,25.9,1.0,4.0,184.8,1.0,3.0,104.5,1.0,3.0,487.7,1.0,3.0,1053.0
2.0,5.0,15.0,1.0,5.0,49.2,1.0,5.0,249.5,1.0,5.0,58.8,1.0,4.0,267.3,1.0,4.0,657.8
2.0,6.0,22.9,1.0,6.0,75.1,1.0,6.0,386.9,1.0,6.0,80.5,1.0,6.0,417.8,1.0,5.0,1117.0
3.0,2.0,13.8,3.0,1.0,142.9,2.0,1.0,289.0,2.0,1.0,87.5,2.0,1.0,435.8,2.0,1.0,732.6
3.0,4.0,14.5,3.0,4.0,213.6,2.0,4.0,443.2,2.0,3.0,236.6,2.0,3.0,1085.0,2.0,3.0,1823.0
3.0,5.0,31.5,3.0,5.0,386.3,2.0,5.0,697.6,2.0,5.0,148.0,2.0,4.0,664.0,2.0,4.0,1285.0
3.0,6.0,42.3,3.0,6.0,512.4,2.0,6.0,911.7,2.0,6.0,188.1,2.0,6.0,1006.0,2.0,5.0,2373.0
4.0,2.0,9.3,4.0,1.0,82.5,4.0,1.0,340.2,3.0,1.0,297.7,3.0,1.0,1255.0,3.0,1.0,1797.0
4.0,3.0,16.5,4.0,3.0,179.9,4.0,2.0,532.2,3.0,2.0,415.7,3.0,2.0,1734.0,3.0,2.0,2407.0
4.0,5.0,23.5,4.0,5.0,207.4,4.0,5.0,662.2,3.0,5.0,414.3,3.0,4.0,1441.0,3.0,4.0,1968.0
4.0,6.0,29.1,4.0,6.0,223.8,4.0,6.0,792.3,3.0,6.0,524.3,3.0,6.0,2373.0,3.0,5.0,3568.0
5.0,2.0,43.8,5.0,1.0,228.5,5.0,1.0,810.4,5.0,1.0,103.8,4.0,1.0,344.9,4.0,1.0,1014.0
5.0,3.0,69.4,5.0,3.0,576.7,5.0,2.0,1258.0,5.0,2.0,149.1,4.0,2.0,487.7,4.0,2.0,1295.0
5.0,4.0,58.3,5.0,4.0,400.3,5.0,4.0,1104.0,5.0,3.0,329.5,4.0,3.0,952.0,4.0,3.0,1907.0
5.0,6.0,110.9,5.0,6.0,676.6,5.0,6.0,1647.0,5.0,6.0,141.2,4.0,6.0,448.8,4.0,5.0,1393.0
6.0,2.0,84.5,6.0,1.0,339.9,6.0,1.0,1020.0,6.0,1.0,175.8,6.0,1.0,1073.0,5.0,1.0,1915.0
6.0,3.0,125.5,6.0,3.0,874.8,6.0,2.0,1221.0,6.0,2.0,244.5,6.0,2.0,1347.0,5.0,2.0,2666.0
6.0,4.0,105.1,6.0,4.0,532.2,6.0,4.0,1446.0,6.0,3.0,524.3,6.0,3.0,2092.0,5.0,3.0,3542.0
6.0,5.0,192.3,6.0,5.0,760.7,6.0,5.0,2008.0,6.0,5.0,227.2,6.0,4.0,1004.0,5.0,4.0,1765.0
