1,森田 梨湖,森田 梨湖.1,2,水口 由紀,水口 由紀.1,3,大橋　栄里佳,大橋　栄里佳.1,4,藤堂 里香,藤堂 里香.1,5,藤田 美代,藤田 美代.1,6,河内　悠利杏,河内　悠利杏.1
2.0,3.0,53.7,1.0,3.0,80.7,1.0,2.0,112.6,1.0,2.0,77.9,1.0,2.0,323.3,1.0,2.0,1486.0
2.0,4.0,47.5,1.0,4.0,61.4,1.0,4.0,93.0,1.0,3.0,88.8,1.0,3.0,389.5,1.0,3.0,1868.0
2.0,5.0,112.8,1.0,5.0,129.2,1.0,5.0,156.1,1.0,5.0,85.4,1.0,4.0,261.7,1.0,4.0,1655.0
2.0,6.0,412.3,1.0,6.0,519.1,1.0,6.0,666.3,1.0,6.0,259.5,1.0,6.0,780.5,1.0,5.0,2005.0
3.0,2.0,62.8,3.0,1.0,74.1,2.0,1.0,83.5,2.0,1.0,51.7,2.0,1.0,271.5,2.0,1.0,1934.0
3.0,4.0,56.2,3.0,4.0,16.7,2.0,4.0,17.2,2.0,3.0,17.6,2.0,3.0,143.3,2.0,3.0,1419.0
3.0,5.0,116.7,3.0,5.0,30.3,2.0,5.0,28.1,2.0,5.0,19.7,2.0,4.0,93.8,2.0,4.0,1162.0
3.0,6.0,463.0,3.0,6.0,213.4,2.0,6.0,214.2,2.0,6.0,110.6,2.0,6.0,422.7,2.0,5.0,1428.0
4.0,2.0,54.3,4.0,1.0,50.2,4.0,1.0,71.1,3.0,1.0,80.5,3.0,1.0,344.1,3.0,1.0,2276.0
4.0,3.0,60.4,4.0,3.0,16.3,4.0,2.0,18.1,3.0,2.0,22.6,3.0,2.0,165.4,3.0,2.0,1308.0
4.0,5.0,84.3,4.0,5.0,20.5,4.0,5.0,25.9,3.0,5.0,27.1,3.0,4.0,148.4,3.0,4.0,1507.0
4.0,6.0,325.7,4.0,6.0,161.8,4.0,6.0,165.2,3.0,6.0,146.6,3.0,6.0,640.9,3.0,5.0,2081.0
5.0,2.0,203.8,5.0,1.0,158.8,5.0,1.0,196.1,5.0,1.0,57.1,4.0,1.0,153.3,4.0,1.0,1707.0
5.0,3.0,219.4,5.0,3.0,57.6,5.0,2.0,54.9,5.0,2.0,20.3,4.0,2.0,70.2,4.0,2.0,1082.0
5.0,4.0,174.8,5.0,4.0,41.9,5.0,4.0,56.7,5.0,3.0,24.5,4.0,3.0,97.8,4.0,3.0,1340.0
5.0,6.0,635.3,5.0,6.0,287.9,5.0,6.0,369.1,5.0,6.0,50.1,4.0,6.0,166.4,4.0,5.0,735.9
6.0,2.0,895.7,6.0,1.0,1030.0,6.0,1.0,1156.0,6.0,1.0,388.9,6.0,1.0,1109.0,5.0,1.0,1986.0
6.0,3.0,1040.0,6.0,3.0,815.5,6.0,2.0,847.1,6.0,2.0,236.7,6.0,2.0,711.9,5.0,2.0,1517.0
6.0,4.0,824.7,6.0,4.0,605.4,6.0,4.0,740.8,6.0,3.0,326.2,6.0,3.0,1144.0,5.0,3.0,1900.0
6.0,5.0,1066.0,6.0,5.0,745.9,6.0,5.0,899.4,6.0,5.0,173.0,6.0,4.0,495.6,5.0,4.0,740.8
