1,立間 充宏,立間 充宏.1,2,黒柳 浩孝,黒柳 浩孝.1,3,小野 信樹,小野 信樹.1,4,川原 正明,川原 正明.1,5,宮武 英司,宮武 英司.1,6,西舘 健,西舘 健.1
2.0,3.0,11.2,1.0,3.0,52.4,1.0,2.0,122.3,1.0,2.0,53.1,1.0,2.0,103.1,1.0,2.0,980.4
2.0,4.0,6.0,1.0,4.0,30.7,1.0,4.0,181.6,1.0,3.0,168.7,1.0,3.0,293.4,1.0,3.0,2123.0
2.0,5.0,7.1,1.0,5.0,32.4,1.0,5.0,135.6,1.0,5.0,46.2,1.0,4.0,128.2,1.0,4.0,1411.0
2.0,6.0,38.1,1.0,6.0,124.6,1.0,6.0,333.7,1.0,6.0,112.7,1.0,6.0,259.7,1.0,5.0,1205.0
3.0,2.0,18.9,3.0,1.0,177.8,2.0,1.0,255.8,2.0,1.0,124.2,2.0,1.0,205.6,2.0,1.0,1777.0
3.0,4.0,26.5,3.0,4.0,358.9,2.0,4.0,559.4,2.0,3.0,521.8,2.0,3.0,855.6,2.0,3.0,3946.0
3.0,5.0,27.2,3.0,5.0,372.0,2.0,5.0,484.7,2.0,5.0,170.3,2.0,4.0,443.0,2.0,4.0,3178.0
3.0,6.0,83.2,3.0,6.0,751.7,2.0,6.0,1016.0,2.0,6.0,372.8,2.0,6.0,767.5,2.0,5.0,3115.0
4.0,2.0,9.9,4.0,1.0,98.1,4.0,1.0,443.6,3.0,1.0,513.6,3.0,1.0,795.9,3.0,1.0,3699.0
4.0,3.0,27.6,4.0,3.0,355.6,4.0,2.0,761.3,3.0,2.0,777.6,3.0,2.0,1457.0,3.0,2.0,4597.0
4.0,5.0,13.1,4.0,5.0,187.4,4.0,5.0,664.6,3.0,5.0,566.1,3.0,4.0,1568.0,3.0,4.0,5204.0
4.0,6.0,44.4,4.0,6.0,452.7,4.0,6.0,1281.0,3.0,6.0,1231.0,3.0,6.0,2356.0,3.0,5.0,4642.0
5.0,2.0,16.0,5.0,1.0,130.6,5.0,1.0,511.1,5.0,1.0,65.6,4.0,1.0,176.4,4.0,1.0,1800.0
5.0,3.0,43.3,5.0,3.0,505.6,5.0,2.0,861.0,5.0,2.0,121.1,4.0,2.0,318.6,4.0,2.0,3714.0
5.0,4.0,24.6,5.0,4.0,278.9,5.0,4.0,1058.0,5.0,3.0,344.6,4.0,3.0,845.6,4.0,3.0,4958.0
5.0,6.0,52.1,5.0,6.0,518.1,5.0,6.0,1552.0,5.0,6.0,131.4,4.0,6.0,393.5,4.0,5.0,2192.0
6.0,2.0,145.3,6.0,1.0,689.8,6.0,1.0,1619.0,6.0,1.0,313.2,6.0,1.0,703.1,5.0,1.0,1948.0
6.0,3.0,246.7,6.0,3.0,1793.0,6.0,2.0,2187.0,6.0,2.0,554.5,6.0,2.0,1064.0,5.0,2.0,3521.0
6.0,4.0,173.4,6.0,4.0,1475.0,6.0,4.0,2959.0,6.0,3.0,1242.0,6.0,3.0,2212.0,5.0,3.0,4597.0
6.0,5.0,162.6,6.0,5.0,1380.0,6.0,5.0,2566.0,6.0,5.0,371.2,6.0,4.0,951.9,5.0,4.0,2177.0
