1,松本 怜,松本 怜.1,2,真子　奈津実,真子　奈津実.1,3,藤本　紗弥香,藤本　紗弥香.1,4,小野 生奈,小野 生奈.1,5,平田　さやか,平田　さやか.1,6,嶋田 有里,嶋田 有里.1
2.0,3.0,78.5,1.0,3.0,149.3,1.0,2.0,264.5,1.0,2.0,34.3,1.0,2.0,265.6,1.0,2.0,677.6
2.0,4.0,34.1,1.0,4.0,58.5,1.0,4.0,132.7,1.0,3.0,59.8,1.0,3.0,423.6,1.0,3.0,944.6
2.0,5.0,69.8,1.0,5.0,108.8,1.0,5.0,272.9,1.0,5.0,23.0,1.0,4.0,122.1,1.0,4.0,382.2
2.0,6.0,148.4,1.0,6.0,201.1,1.0,6.0,426.5,1.0,6.0,42.2,1.0,6.0,285.4,1.0,5.0,666.8
3.0,2.0,104.7,3.0,1.0,215.5,2.0,1.0,302.5,2.0,1.0,43.8,2.0,1.0,298.4,2.0,1.0,805.9
3.0,4.0,52.4,3.0,4.0,99.4,2.0,4.0,115.8,2.0,3.0,52.2,2.0,3.0,507.7,2.0,3.0,1094.0
3.0,5.0,109.4,3.0,5.0,195.1,2.0,5.0,245.1,2.0,5.0,23.1,2.0,4.0,109.2,2.0,4.0,280.9
3.0,6.0,200.9,3.0,6.0,298.7,2.0,6.0,391.7,2.0,6.0,40.6,2.0,6.0,282.4,2.0,5.0,599.3
4.0,2.0,28.6,4.0,1.0,49.4,4.0,1.0,127.2,3.0,1.0,96.3,3.0,1.0,688.7,3.0,1.0,1070.0
4.0,3.0,38.6,4.0,3.0,60.4,4.0,2.0,93.7,3.0,2.0,71.8,3.0,2.0,736.9,3.0,2.0,1088.0
4.0,5.0,24.9,4.0,5.0,30.3,4.0,5.0,66.5,3.0,5.0,42.9,3.0,4.0,339.7,3.0,4.0,574.7
4.0,6.0,46.1,4.0,6.0,49.2,4.0,6.0,126.3,3.0,6.0,96.5,3.0,6.0,666.8,3.0,5.0,862.8
5.0,2.0,114.4,5.0,1.0,157.4,5.0,1.0,381.4,5.0,1.0,18.0,4.0,1.0,79.6,4.0,1.0,263.2
5.0,3.0,183.6,5.0,3.0,219.2,5.0,2.0,338.2,5.0,2.0,15.7,4.0,2.0,62.1,4.0,2.0,178.4
5.0,4.0,64.0,5.0,4.0,68.9,5.0,4.0,158.8,5.0,3.0,35.9,4.0,3.0,165.6,4.0,3.0,386.1
5.0,6.0,175.4,5.0,6.0,162.7,5.0,6.0,382.6,5.0,6.0,12.7,4.0,6.0,51.2,4.0,5.0,99.9
6.0,2.0,336.1,6.0,1.0,327.9,6.0,1.0,686.2,6.0,1.0,63.5,6.0,1.0,363.8,5.0,1.0,671.6
6.0,3.0,440.4,6.0,3.0,537.2,6.0,2.0,645.2,6.0,2.0,47.5,6.0,2.0,311.2,5.0,2.0,530.5
6.0,4.0,175.5,6.0,4.0,155.1,6.0,4.0,307.9,6.0,3.0,107.0,6.0,3.0,516.0,5.0,3.0,776.1
6.0,5.0,291.5,6.0,5.0,287.1,6.0,5.0,439.4,6.0,5.0,27.0,6.0,4.0,95.1,5.0,4.0,138.9
