1,岡村 慶太,岡村 慶太.1,2,竹井 貴史,竹井 貴史.1,3,檀 将太,檀 将太.1,4,木下 大將,木下 大將.1,5,山田 丈,山田 丈.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,7.1,1.0,3.0,34.8,1.0,2.0,183.8,1.0,2.0,72.1,1.0,2.0,199.8,1.0,2.0,1968.0
2.0,4.0,3.2,1.0,4.0,16.8,1.0,4.0,273.6,1.0,3.0,258.1,1.0,3.0,598.3,1.0,3.0,4487.0
2.0,5.0,5.7,1.0,5.0,30.8,1.0,5.0,427.9,1.0,5.0,131.1,1.0,4.0,306.6,1.0,4.0,3590.0
2.0,6.0,94.7,1.0,6.0,241.9,1.0,6.0,947.6,1.0,6.0,532.5,1.0,6.0,1419.0,1.0,5.0,6227.0
3.0,2.0,17.4,3.0,1.0,148.2,2.0,1.0,267.4,2.0,1.0,101.7,2.0,1.0,313.9,2.0,1.0,3113.0
3.0,4.0,25.4,3.0,4.0,259.9,2.0,4.0,450.0,2.0,3.0,412.9,2.0,3.0,930.3,2.0,3.0,5353.0
3.0,5.0,41.0,3.0,5.0,449.4,2.0,5.0,786.4,2.0,5.0,256.4,2.0,4.0,576.8,2.0,4.0,4921.0
3.0,6.0,282.2,3.0,6.0,1380.0,2.0,6.0,2133.0,2.0,6.0,924.7,2.0,6.0,2878.0,2.0,5.0,7265.0
4.0,2.0,10.0,4.0,1.0,65.2,4.0,1.0,544.9,3.0,1.0,695.1,3.0,1.0,1460.0,3.0,1.0,4694.0
4.0,3.0,29.6,4.0,3.0,214.8,4.0,2.0,670.6,3.0,2.0,798.8,3.0,2.0,2034.0,3.0,2.0,5868.0
4.0,5.0,22.6,4.0,5.0,175.1,4.0,5.0,1034.0,3.0,5.0,1419.0,3.0,4.0,2421.0,3.0,4.0,8247.0
4.0,6.0,198.5,4.0,6.0,721.4,4.0,6.0,2034.0,3.0,6.0,2521.0,3.0,6.0,5650.0,3.0,5.0,7824.0
5.0,2.0,21.7,5.0,1.0,175.5,5.0,1.0,924.7,5.0,1.0,189.8,4.0,1.0,431.6,4.0,1.0,4180.0
5.0,3.0,67.7,5.0,3.0,557.8,5.0,2.0,1368.0,5.0,2.0,235.6,4.0,2.0,592.5,4.0,2.0,5757.0
5.0,4.0,40.5,5.0,4.0,308.8,5.0,4.0,1525.0,5.0,3.0,601.8,4.0,3.0,1432.0,4.0,3.0,6227.0
5.0,6.0,347.9,5.0,6.0,1827.0,5.0,6.0,3145.0,5.0,6.0,611.5,4.0,6.0,1816.0,4.0,5.0,4015.0
6.0,2.0,465.1,6.0,1.0,1541.0,6.0,1.0,3548.0,6.0,1.0,1774.0,6.0,1.0,3963.0,5.0,1.0,5983.0
6.0,3.0,981.2,6.0,3.0,3178.0,6.0,2.0,3632.0,6.0,2.0,1849.0,6.0,2.0,5172.0,5.0,2.0,8476.0
6.0,4.0,711.3,6.0,4.0,2460.0,6.0,4.0,5449.0,6.0,3.0,3548.0,6.0,3.0,6492.0,5.0,3.0,6935.0
6.0,5.0,965.6,6.0,5.0,3632.0,6.0,5.0,4123.0,6.0,5.0,2227.0,6.0,4.0,3428.0,5.0,4.0,3814.0
