1,重野 哲之,重野 哲之.1,2,松山 将吾,松山 将吾.1,3,宮地 博士,宮地 博士.1,4,深尾 巴恵,深尾 巴恵.1,5,阿波 勝哉,阿波 勝哉.1,6,筒井 美琴,筒井 美琴.1
2.0,3.0,4.1,1.0,3.0,33.9,1.0,2.0,228.3,1.0,2.0,139.7,1.0,2.0,44.8,1.0,2.0,688.9
2.0,4.0,4.8,1.0,4.0,32.3,1.0,4.0,403.0,1.0,3.0,340.7,1.0,3.0,90.3,1.0,3.0,1523.0
2.0,5.0,6.2,1.0,5.0,34.1,1.0,5.0,313.8,1.0,5.0,171.6,1.0,4.0,89.6,1.0,4.0,1622.0
2.0,6.0,77.3,1.0,6.0,190.3,1.0,6.0,792.3,1.0,6.0,606.4,1.0,6.0,296.7,1.0,5.0,1529.0
3.0,2.0,13.9,3.0,1.0,185.5,2.0,1.0,358.3,2.0,1.0,215.5,2.0,1.0,66.3,2.0,1.0,1270.0
3.0,4.0,28.7,3.0,4.0,276.3,2.0,4.0,789.0,2.0,3.0,603.5,2.0,3.0,161.8,2.0,3.0,2285.0
3.0,5.0,24.5,3.0,5.0,352.5,2.0,5.0,578.3,2.0,5.0,344.7,2.0,4.0,152.2,2.0,4.0,1993.0
3.0,6.0,179.4,3.0,6.0,1080.0,2.0,6.0,1608.0,2.0,6.0,898.7,2.0,6.0,481.1,2.0,5.0,2357.0
4.0,2.0,18.2,4.0,1.0,139.3,4.0,1.0,948.8,3.0,1.0,855.6,3.0,1.0,261.5,3.0,1.0,2418.0
4.0,3.0,43.5,4.0,3.0,314.6,4.0,2.0,1024.0,3.0,2.0,961.0,3.0,2.0,349.9,3.0,2.0,3904.0
4.0,5.0,33.1,4.0,5.0,287.6,4.0,5.0,986.2,3.0,5.0,873.6,3.0,4.0,422.0,3.0,4.0,3863.0
4.0,6.0,169.8,4.0,6.0,749.5,4.0,6.0,2402.0,3.0,6.0,2153.0,3.0,6.0,1067.0,3.0,5.0,3047.0
5.0,2.0,18.5,5.0,1.0,123.6,5.0,1.0,665.7,5.0,1.0,255.3,4.0,1.0,259.7,4.0,1.0,2860.0
5.0,3.0,33.4,5.0,3.0,351.5,5.0,2.0,869.5,5.0,2.0,311.8,4.0,2.0,307.7,4.0,2.0,2658.0
5.0,4.0,44.5,5.0,4.0,321.9,5.0,4.0,1189.0,5.0,3.0,658.6,4.0,3.0,495.0,4.0,3.0,3785.0
5.0,6.0,204.3,5.0,6.0,1029.0,5.0,6.0,1493.0,5.0,6.0,849.8,4.0,6.0,814.7,4.0,5.0,2515.0
6.0,2.0,222.5,6.0,1.0,1095.0,6.0,1.0,2327.0,6.0,1.0,1125.0,6.0,1.0,898.7,5.0,1.0,2584.0
6.0,3.0,358.3,6.0,3.0,2204.0,6.0,2.0,2860.0,6.0,2.0,1178.0,6.0,2.0,1139.0,5.0,2.0,3945.0
6.0,4.0,361.0,6.0,4.0,1629.0,6.0,4.0,3710.0,6.0,3.0,1810.0,6.0,3.0,1464.0,5.0,3.0,3407.0
6.0,5.0,379.3,6.0,5.0,1993.0,6.0,5.0,2465.0,6.0,5.0,1108.0,6.0,4.0,1105.0,5.0,4.0,2796.0
