1,松瀬 弘美,松瀬 弘美.1,2,池田 紫乃,池田 紫乃.1,3,福島 陽子,福島 陽子.1,4,山下 友貴,山下 友貴.1,5,松尾 夏海,松尾 夏海.1,6,岸 恵子,岸 恵子.1
2.0,3.0,25.5,1.0,3.0,42.8,1.0,2.0,221.5,1.0,2.0,266.2,1.0,2.0,22.9,1.0,2.0,135.1
2.0,4.0,32.3,1.0,4.0,47.9,1.0,4.0,356.1,1.0,3.0,575.6,1.0,3.0,74.3,1.0,3.0,358.3
2.0,5.0,12.9,1.0,5.0,21.6,1.0,5.0,181.8,1.0,5.0,189.5,1.0,4.0,61.1,1.0,4.0,314.6
2.0,6.0,25.3,1.0,6.0,40.3,1.0,6.0,308.3,1.0,6.0,353.5,1.0,6.0,18.1,1.0,5.0,84.8
3.0,2.0,47.3,3.0,1.0,139.1,2.0,1.0,290.3,2.0,1.0,351.0,2.0,1.0,40.2,2.0,1.0,184.0
3.0,4.0,84.6,3.0,4.0,283.6,2.0,4.0,518.8,2.0,3.0,867.7,2.0,3.0,120.8,2.0,3.0,505.4
3.0,5.0,46.1,3.0,5.0,152.4,2.0,5.0,326.8,2.0,5.0,310.3,2.0,4.0,100.4,2.0,4.0,399.6
3.0,6.0,83.0,3.0,6.0,229.6,2.0,6.0,452.5,2.0,6.0,468.4,2.0,6.0,35.3,2.0,5.0,128.7
4.0,2.0,64.4,4.0,1.0,158.2,4.0,1.0,746.6,3.0,1.0,987.1,3.0,1.0,174.7,3.0,1.0,792.9
4.0,3.0,120.9,4.0,3.0,331.6,4.0,2.0,835.7,3.0,2.0,1122.0,3.0,2.0,240.9,3.0,2.0,993.8
4.0,5.0,55.5,4.0,5.0,128.1,4.0,5.0,664.0,3.0,5.0,855.1,3.0,4.0,398.5,3.0,4.0,1394.0
4.0,6.0,105.2,4.0,6.0,180.5,4.0,6.0,927.9,3.0,6.0,1210.0,3.0,6.0,206.1,3.0,5.0,695.4
5.0,2.0,15.3,5.0,1.0,39.4,5.0,1.0,221.3,5.0,1.0,172.0,4.0,1.0,144.3,4.0,1.0,685.7
5.0,3.0,42.0,5.0,3.0,117.8,5.0,2.0,338.9,5.0,2.0,253.5,4.0,2.0,176.1,4.0,2.0,633.9
5.0,4.0,39.7,5.0,4.0,96.1,5.0,4.0,604.0,5.0,3.0,584.8,4.0,3.0,367.7,4.0,3.0,1407.0
5.0,6.0,17.1,5.0,6.0,41.9,5.0,6.0,344.0,5.0,6.0,185.0,4.0,6.0,131.6,4.0,5.0,391.1
6.0,2.0,55.2,6.0,1.0,110.3,6.0,1.0,647.9,6.0,1.0,538.7,6.0,1.0,22.2,5.0,1.0,64.6
6.0,3.0,132.8,6.0,3.0,257.3,6.0,2.0,695.4,6.0,2.0,642.2,6.0,2.0,27.2,5.0,2.0,77.5
6.0,4.0,122.7,6.0,4.0,217.2,6.0,4.0,1153.0,6.0,3.0,1195.0,6.0,3.0,93.0,5.0,3.0,232.9
6.0,5.0,40.1,6.0,5.0,81.0,6.0,5.0,564.6,6.0,5.0,320.4,6.0,4.0,70.2,5.0,4.0,158.0
