1,松田 竜馬,松田 竜馬.1,2,桐本 康臣,桐本 康臣.1,3,船越 健吾,船越 健吾.1,4,井上 大輔,井上 大輔.1,5,鈴木 峻佑,鈴木 峻佑.1,6,香月 大輝,香月 大輝.1
2.0,3.0,6.0,1.0,3.0,36.1,1.0,2.0,204.5,1.0,2.0,32.2,1.0,2.0,194.2,1.0,2.0,1146.0
2.0,4.0,3.9,1.0,4.0,13.8,1.0,4.0,269.0,1.0,3.0,100.6,1.0,3.0,444.9,1.0,3.0,1844.0
2.0,5.0,16.1,1.0,5.0,54.5,1.0,5.0,444.9,1.0,5.0,51.3,1.0,4.0,219.0,1.0,4.0,1339.0
2.0,6.0,117.6,1.0,6.0,205.2,1.0,6.0,1043.0,1.0,6.0,171.7,1.0,6.0,649.2,1.0,5.0,3439.0
3.0,2.0,15.1,3.0,1.0,140.9,2.0,1.0,257.6,2.0,1.0,46.3,2.0,1.0,282.7,2.0,1.0,2356.0
3.0,4.0,22.4,3.0,4.0,183.3,2.0,4.0,360.5,2.0,3.0,163.9,2.0,3.0,810.5,2.0,3.0,2545.0
3.0,5.0,48.0,3.0,5.0,359.4,2.0,5.0,703.0,2.0,5.0,88.1,2.0,4.0,338.4,2.0,4.0,2651.0
3.0,6.0,229.2,3.0,6.0,785.5,2.0,6.0,1259.0,2.0,6.0,302.9,2.0,6.0,1178.0,2.0,5.0,3976.0
4.0,2.0,8.3,4.0,1.0,43.5,4.0,1.0,499.0,3.0,1.0,267.3,3.0,1.0,739.8,3.0,1.0,2827.0
4.0,3.0,19.6,4.0,3.0,145.9,4.0,2.0,515.2,3.0,2.0,282.1,3.0,2.0,1259.0,3.0,2.0,3103.0
4.0,5.0,27.6,4.0,5.0,122.3,4.0,5.0,971.4,3.0,5.0,462.7,3.0,4.0,908.9,3.0,4.0,3856.0
4.0,6.0,124.7,4.0,6.0,434.3,4.0,6.0,2120.0,3.0,6.0,1189.0,3.0,6.0,2651.0,3.0,5.0,5532.0
5.0,2.0,51.7,5.0,1.0,168.3,5.0,1.0,695.4,5.0,1.0,65.3,4.0,1.0,226.0,4.0,1.0,1533.0
5.0,3.0,101.3,5.0,3.0,536.9,5.0,2.0,964.0,5.0,2.0,75.2,4.0,2.0,255.5,4.0,2.0,2156.0
5.0,4.0,63.1,5.0,4.0,241.9,5.0,4.0,935.7,5.0,3.0,251.9,4.0,3.0,642.7,4.0,3.0,4388.0
5.0,6.0,320.5,5.0,6.0,1398.0,5.0,6.0,2272.0,5.0,6.0,252.9,4.0,6.0,691.6,4.0,5.0,3856.0
6.0,2.0,422.7,6.0,1.0,771.2,6.0,1.0,2447.0,6.0,1.0,427.0,6.0,1.0,1817.0,5.0,1.0,3856.0
6.0,3.0,528.0,6.0,3.0,1696.0,6.0,2.0,1871.0,6.0,2.0,550.9,6.0,2.0,2597.0,5.0,2.0,4713.0
6.0,4.0,473.0,6.0,4.0,821.0,6.0,4.0,3348.0,6.0,3.0,1272.0,6.0,3.0,3439.0,5.0,3.0,4713.0
6.0,5.0,548.5,6.0,5.0,2232.0,6.0,5.0,4544.0,6.0,5.0,603.1,6.0,4.0,1767.0,5.0,4.0,2707.0
