1,関野 文,関野 文.1,2,芦澤 望,芦澤 望.1,3,中岡 健人,中岡 健人.1,4,中越 博紀,中越 博紀.1,5,横川 聖志,横川 聖志.1,6,佐藤　謙史朗,佐藤　謙史朗.1
2.0,3.0,18.8,1.0,3.0,70.2,1.0,2.0,313.6,1.0,2.0,24.3,1.0,2.0,187.8,1.0,2.0,738.5
2.0,4.0,4.6,1.0,4.0,18.3,1.0,4.0,354.4,1.0,3.0,124.1,1.0,3.0,503.9,1.0,3.0,1651.0
2.0,5.0,13.1,1.0,5.0,43.6,1.0,5.0,512.2,1.0,5.0,33.1,1.0,4.0,165.3,1.0,4.0,946.8
2.0,6.0,33.4,1.0,6.0,79.0,1.0,6.0,710.1,1.0,6.0,80.0,1.0,6.0,345.7,1.0,5.0,1493.0
3.0,2.0,45.8,3.0,1.0,250.5,2.0,1.0,423.5,2.0,1.0,45.6,2.0,1.0,282.8,2.0,1.0,925.3
3.0,4.0,43.5,3.0,4.0,295.4,2.0,4.0,548.9,2.0,3.0,210.0,2.0,3.0,892.7,2.0,3.0,1405.0
3.0,5.0,80.9,3.0,5.0,508.4,2.0,5.0,916.9,2.0,5.0,70.9,2.0,4.0,262.4,2.0,4.0,1112.0
3.0,6.0,143.3,3.0,6.0,712.6,2.0,6.0,1015.0,2.0,6.0,132.7,2.0,6.0,529.6,2.0,5.0,2256.0
4.0,2.0,5.8,4.0,1.0,39.9,4.0,1.0,501.5,3.0,1.0,392.4,3.0,1.0,1306.0,3.0,1.0,3031.0
4.0,3.0,30.8,4.0,3.0,199.1,4.0,2.0,567.3,3.0,2.0,423.5,3.0,2.0,1527.0,3.0,2.0,2901.0
4.0,5.0,12.2,4.0,5.0,86.5,4.0,5.0,818.9,3.0,5.0,600.9,3.0,4.0,1671.0,3.0,4.0,4145.0
4.0,6.0,35.8,4.0,6.0,153.7,4.0,6.0,1122.0,3.0,6.0,879.2,3.0,6.0,2348.0,3.0,5.0,4321.0
5.0,2.0,34.6,5.0,1.0,164.9,5.0,1.0,944.6,5.0,1.0,56.9,4.0,1.0,179.9,4.0,1.0,1125.0
5.0,3.0,95.5,5.0,3.0,639.7,5.0,2.0,1234.0,5.0,2.0,67.1,4.0,2.0,209.8,4.0,2.0,1080.0
5.0,4.0,34.7,5.0,4.0,208.6,5.0,4.0,1154.0,5.0,3.0,306.3,4.0,3.0,804.3,4.0,3.0,2943.0
5.0,6.0,101.5,5.0,6.0,502.7,5.0,6.0,1813.0,5.0,6.0,107.1,4.0,6.0,311.0,4.0,5.0,1477.0
6.0,2.0,126.4,6.0,1.0,339.0,6.0,1.0,1699.0,6.0,1.0,202.3,6.0,1.0,916.9,5.0,1.0,1773.0
6.0,3.0,255.3,6.0,3.0,1063.0,6.0,2.0,1981.0,6.0,2.0,223.6,6.0,2.0,912.8,5.0,2.0,2231.0
6.0,4.0,136.7,6.0,4.0,443.4,6.0,4.0,2295.0,6.0,3.0,647.8,6.0,3.0,1934.0,5.0,3.0,3471.0
6.0,5.0,221.9,6.0,5.0,835.8,6.0,5.0,3031.0,6.0,5.0,246.4,6.0,4.0,815.6,5.0,4.0,1671.0
