1,宮下 元胤,宮下 元胤.1,2,内田 圭,内田 圭.1,3,間嶋 仁志,間嶋 仁志.1,4,後藤 正宗,後藤 正宗.1,5,渡邉 睦広,渡邉 睦広.1,6,堤 昇,堤 昇.1
2.0,3.0,43.9,1.0,3.0,220.3,1.0,2.0,82.1,1.0,2.0,105.2,1.0,2.0,290.9,1.0,2.0,811.6
2.0,4.0,59.4,1.0,4.0,228.0,1.0,4.0,25.8,1.0,3.0,41.8,1.0,3.0,115.6,1.0,3.0,286.4
2.0,5.0,80.5,1.0,5.0,315.4,1.0,5.0,22.4,1.0,5.0,32.9,1.0,4.0,131.0,1.0,4.0,315.2
2.0,6.0,124.0,1.0,6.0,410.2,1.0,6.0,40.7,1.0,6.0,41.4,1.0,6.0,147.3,1.0,5.0,464.2
3.0,2.0,35.3,3.0,1.0,424.4,2.0,1.0,272.9,2.0,1.0,218.5,2.0,1.0,789.1,2.0,1.0,1235.0
3.0,4.0,8.2,3.0,4.0,629.5,2.0,4.0,329.6,2.0,3.0,336.4,2.0,3.0,859.2,2.0,3.0,958.9
3.0,5.0,9.3,3.0,5.0,757.5,2.0,5.0,344.3,2.0,5.0,237.1,2.0,4.0,787.7,2.0,4.0,1180.0
3.0,6.0,19.5,3.0,6.0,713.5,2.0,6.0,376.2,2.0,6.0,267.5,2.0,6.0,950.9,2.0,5.0,1456.0
4.0,2.0,44.1,4.0,1.0,379.7,4.0,1.0,53.1,3.0,1.0,67.1,3.0,1.0,193.1,3.0,1.0,335.4
4.0,3.0,13.9,4.0,3.0,722.6,4.0,2.0,232.2,3.0,2.0,270.8,3.0,2.0,722.6,3.0,2.0,921.9
4.0,5.0,18.7,4.0,5.0,700.3,4.0,5.0,63.5,3.0,5.0,70.4,3.0,4.0,266.1,3.0,4.0,454.9
4.0,6.0,27.0,4.0,6.0,678.4,4.0,6.0,82.3,3.0,6.0,88.8,3.0,6.0,197.5,3.0,5.0,491.3
5.0,2.0,99.3,5.0,1.0,727.2,5.0,1.0,60.9,5.0,1.0,42.9,4.0,1.0,131.8,4.0,1.0,372.8
5.0,3.0,32.3,5.0,3.0,1127.0,5.0,2.0,204.8,5.0,2.0,141.9,4.0,2.0,322.5,4.0,2.0,760.0
5.0,4.0,41.7,5.0,4.0,1079.0,5.0,4.0,112.7,5.0,3.0,64.0,4.0,3.0,176.5,4.0,3.0,446.0
5.0,6.0,57.1,5.0,6.0,971.2,5.0,6.0,79.3,5.0,6.0,45.4,4.0,6.0,131.6,4.0,5.0,365.9
6.0,2.0,178.3,6.0,1.0,1248.0,6.0,1.0,134.4,6.0,1.0,85.2,6.0,1.0,295.3,5.0,1.0,563.2
6.0,3.0,62.1,6.0,3.0,1283.0,6.0,2.0,485.0,6.0,2.0,232.7,6.0,2.0,728.4,5.0,2.0,1235.0
6.0,4.0,74.5,6.0,4.0,1332.0,6.0,4.0,193.1,6.0,3.0,127.4,6.0,3.0,213.4,5.0,3.0,535.3
6.0,5.0,99.1,6.0,5.0,1629.0,6.0,5.0,182.6,6.0,5.0,83.1,6.0,4.0,259.7,5.0,4.0,403.3
