1,竹間 隆晟,竹間 隆晟.1,2,鈴木 秀茉,鈴木 秀茉.1,3,佐藤 旭,佐藤 旭.1,4,山ノ内　雅人,山ノ内　雅人.1,5,坂井 康嗣,坂井 康嗣.1,6,前野 竜一,前野 竜一.1
2.0,3.0,12.3,1.0,3.0,55.3,1.0,2.0,62.4,1.0,2.0,85.9,1.0,2.0,433.3,1.0,2.0,625.1
2.0,4.0,13.4,1.0,4.0,54.3,1.0,4.0,29.3,1.0,3.0,58.8,1.0,3.0,315.2,1.0,3.0,685.7
2.0,5.0,39.6,1.0,5.0,122.5,1.0,5.0,54.4,1.0,5.0,84.0,1.0,4.0,345.9,1.0,4.0,412.0
2.0,6.0,42.8,1.0,6.0,146.3,1.0,6.0,61.5,1.0,6.0,58.2,1.0,6.0,438.5,1.0,5.0,1116.0
3.0,2.0,11.7,3.0,1.0,121.1,2.0,1.0,139.5,2.0,1.0,162.3,2.0,1.0,736.6,2.0,1.0,1066.0
3.0,4.0,6.9,3.0,4.0,164.1,2.0,4.0,149.2,2.0,3.0,282.4,2.0,3.0,1071.0,2.0,3.0,2064.0
3.0,5.0,20.6,3.0,5.0,266.2,2.0,5.0,256.6,2.0,5.0,373.2,2.0,4.0,1104.0,2.0,4.0,1530.0
3.0,6.0,22.1,3.0,6.0,284.9,2.0,6.0,280.4,2.0,6.0,342.4,2.0,6.0,1314.0,2.0,5.0,2326.0
4.0,2.0,15.3,4.0,1.0,123.6,4.0,1.0,48.0,3.0,1.0,99.2,3.0,1.0,489.8,3.0,1.0,902.0
4.0,3.0,11.0,4.0,3.0,213.2,4.0,2.0,131.0,3.0,2.0,267.0,3.0,2.0,1093.0,3.0,2.0,1855.0
4.0,5.0,29.2,4.0,5.0,333.3,4.0,5.0,93.6,3.0,5.0,177.4,3.0,4.0,661.7,3.0,4.0,974.0
4.0,6.0,20.9,4.0,6.0,335.6,4.0,6.0,89.9,3.0,6.0,171.7,3.0,6.0,879.0,3.0,5.0,2147.0
5.0,2.0,76.8,5.0,1.0,455.2,5.0,1.0,186.3,5.0,1.0,129.8,4.0,1.0,419.7,4.0,1.0,465.7
5.0,3.0,53.4,5.0,3.0,671.6,5.0,2.0,389.3,5.0,2.0,306.6,4.0,2.0,932.1,4.0,2.0,1376.0
5.0,4.0,69.4,5.0,4.0,718.5,5.0,4.0,224.4,5.0,3.0,217.5,4.0,3.0,582.8,4.0,3.0,974.0
5.0,6.0,95.6,5.0,6.0,1079.0,5.0,6.0,317.2,5.0,6.0,170.3,4.0,6.0,523.0,4.0,5.0,1351.0
6.0,2.0,126.5,6.0,1.0,550.5,6.0,1.0,304.7,6.0,1.0,116.7,6.0,1.0,893.8,5.0,1.0,1760.0
6.0,3.0,88.2,6.0,3.0,958.0,6.0,2.0,645.7,6.0,2.0,378.7,6.0,2.0,1694.0,5.0,2.0,2549.0
6.0,4.0,77.7,6.0,4.0,798.8,6.0,4.0,319.7,6.0,3.0,261.8,6.0,3.0,1189.0,5.0,3.0,2393.0
6.0,5.0,155.4,6.0,5.0,1412.0,6.0,5.0,556.3,6.0,5.0,267.1,6.0,4.0,980.5,5.0,4.0,1602.0
