1,佐藤　隆太郎,佐藤　隆太郎.1,2,小坂 尚哉,小坂 尚哉.1,3,峰重 侑治,峰重 侑治.1,4,楠原 正剛,楠原 正剛.1,5,藤田 竜弘,藤田 竜弘.1,6,池田 雄一,池田 雄一.1
2.0,3.0,4.8,1.0,3.0,35.7,1.0,2.0,45.8,1.0,2.0,265.5,1.0,2.0,560.2,1.0,2.0,190.9
2.0,4.0,8.1,1.0,4.0,63.2,1.0,4.0,71.6,1.0,3.0,335.4,1.0,3.0,575.7,1.0,3.0,285.1
2.0,5.0,15.7,1.0,5.0,93.4,1.0,5.0,90.1,1.0,5.0,337.9,1.0,4.0,933.6,1.0,4.0,601.3
2.0,6.0,10.3,1.0,6.0,56.4,1.0,6.0,71.1,1.0,6.0,338.6,1.0,6.0,678.1,1.0,5.0,725.5
3.0,2.0,6.7,3.0,1.0,102.2,2.0,1.0,109.6,2.0,1.0,512.6,2.0,1.0,874.5,2.0,1.0,336.4
3.0,4.0,13.2,3.0,4.0,341.6,2.0,4.0,298.8,2.0,3.0,1014.0,2.0,3.0,1442.0,2.0,3.0,746.5
3.0,5.0,21.1,3.0,5.0,421.5,2.0,5.0,367.9,2.0,5.0,1085.0,2.0,4.0,2072.0,2.0,4.0,1059.0
3.0,6.0,16.7,3.0,6.0,270.8,2.0,6.0,264.4,2.0,6.0,745.6,2.0,6.0,1303.0,2.0,5.0,1416.0
4.0,2.0,29.7,4.0,1.0,288.4,4.0,1.0,197.5,3.0,1.0,478.3,3.0,1.0,786.1,3.0,1.0,496.2
4.0,3.0,38.2,4.0,3.0,610.2,4.0,2.0,303.0,3.0,2.0,735.0,3.0,2.0,1439.0,3.0,2.0,980.8
4.0,5.0,67.7,4.0,5.0,858.8,4.0,5.0,309.0,3.0,5.0,732.4,3.0,4.0,1554.0,3.0,4.0,1053.0
4.0,6.0,56.8,4.0,6.0,564.7,4.0,6.0,301.5,3.0,6.0,721.3,3.0,6.0,1432.0,3.0,5.0,1520.0
5.0,2.0,52.6,5.0,1.0,423.3,5.0,1.0,345.6,5.0,1.0,658.7,4.0,1.0,1138.0,4.0,1.0,1284.0
5.0,3.0,62.9,5.0,3.0,796.2,5.0,2.0,536.5,5.0,2.0,982.3,4.0,2.0,1761.0,4.0,2.0,1598.0
5.0,4.0,118.3,5.0,4.0,1077.0,5.0,4.0,510.5,5.0,3.0,1046.0,4.0,3.0,1535.0,4.0,3.0,1400.0
5.0,6.0,96.9,5.0,6.0,680.3,5.0,6.0,527.4,5.0,6.0,489.2,4.0,6.0,971.6,4.0,5.0,1207.0
6.0,2.0,40.4,6.0,1.0,212.8,6.0,1.0,261.4,6.0,1.0,703.4,6.0,1.0,967.0,5.0,1.0,1279.0
6.0,3.0,54.4,6.0,3.0,433.0,6.0,2.0,440.7,6.0,2.0,867.2,6.0,2.0,1473.0,5.0,2.0,1925.0
6.0,4.0,107.4,6.0,4.0,678.8,6.0,4.0,525.6,6.0,3.0,949.3,6.0,3.0,1484.0,5.0,3.0,1823.0
6.0,5.0,132.3,6.0,5.0,839.1,6.0,5.0,675.1,6.0,5.0,691.6,6.0,4.0,1157.0,5.0,4.0,1202.0
