1,後藤 正宗,後藤 正宗.1,2,津留　浩一郎,津留　浩一郎.1,3,若林 義人,若林 義人.1,4,岡村 将也,岡村 将也.1,5,横田 貴満,横田 貴満.1,6,天野 誠,天野 誠.1
2.0,3.0,14.1,1.0,3.0,68.5,1.0,2.0,34.2,1.0,2.0,148.4,1.0,2.0,244.6,1.0,2.0,1639.0
2.0,4.0,24.9,1.0,4.0,117.1,1.0,4.0,14.5,1.0,3.0,67.9,1.0,3.0,134.4,1.0,3.0,1524.0
2.0,5.0,38.5,1.0,5.0,153.3,1.0,5.0,19.1,1.0,5.0,81.0,1.0,4.0,168.2,1.0,4.0,1905.0
2.0,6.0,213.7,1.0,6.0,506.4,1.0,6.0,174.4,1.0,6.0,429.3,1.0,6.0,643.1,1.0,5.0,2005.0
3.0,2.0,10.8,3.0,1.0,123.7,2.0,1.0,97.1,2.0,1.0,288.1,2.0,1.0,476.3,2.0,1.0,2822.0
3.0,4.0,5.4,3.0,4.0,218.0,2.0,4.0,145.0,2.0,3.0,278.1,2.0,3.0,600.1,2.0,3.0,2458.0
3.0,5.0,9.0,3.0,5.0,294.2,2.0,5.0,188.6,2.0,5.0,318.9,2.0,4.0,627.3,2.0,4.0,2628.0
3.0,6.0,95.3,3.0,6.0,977.1,2.0,6.0,562.4,2.0,6.0,729.3,2.0,6.0,1154.0,2.0,5.0,2822.0
4.0,2.0,27.7,4.0,1.0,251.5,4.0,1.0,37.2,3.0,1.0,92.4,3.0,1.0,188.4,3.0,1.0,2674.0
4.0,3.0,10.6,4.0,3.0,246.6,4.0,2.0,92.5,3.0,2.0,245.8,3.0,2.0,471.9,3.0,2.0,3243.0
4.0,5.0,24.2,4.0,5.0,421.0,4.0,5.0,43.1,3.0,5.0,118.1,3.0,4.0,206.2,3.0,4.0,2822.0
4.0,6.0,146.4,4.0,6.0,1051.0,4.0,6.0,250.7,3.0,6.0,593.1,3.0,6.0,918.2,3.0,5.0,2628.0
5.0,2.0,50.6,5.0,1.0,362.9,5.0,1.0,64.4,5.0,1.0,129.1,4.0,1.0,265.5,4.0,1.0,2674.0
5.0,3.0,27.4,5.0,3.0,440.5,5.0,2.0,174.8,5.0,2.0,257.4,4.0,2.0,508.1,4.0,2.0,2674.0
5.0,4.0,36.1,5.0,4.0,674.4,5.0,4.0,72.0,5.0,3.0,128.4,4.0,3.0,234.1,4.0,3.0,2458.0
5.0,6.0,241.5,5.0,6.0,1424.0,5.0,6.0,383.0,5.0,6.0,296.5,4.0,6.0,522.0,4.0,5.0,1732.0
6.0,2.0,341.7,6.0,1.0,1587.0,6.0,1.0,627.3,6.0,1.0,977.1,6.0,1.0,1291.0,5.0,1.0,2722.0
6.0,3.0,251.9,6.0,3.0,1337.0,6.0,2.0,1120.0,6.0,2.0,1137.0,6.0,2.0,1438.0,5.0,2.0,2771.0
6.0,4.0,357.8,6.0,4.0,2059.0,6.0,4.0,725.8,6.0,3.0,1029.0,6.0,3.0,1465.0,5.0,3.0,2822.0
6.0,5.0,453.6,6.0,5.0,1693.0,6.0,5.0,935.1,6.0,5.0,696.0,6.0,4.0,1259.0,5.0,4.0,1929.0
