1,近藤 友宝,近藤 友宝.1,2,奥平 拓也,奥平 拓也.1,3,杉山 太陽,杉山 太陽.1,4,田添 康介,田添 康介.1,5,益田 啓司,益田 啓司.1,6,清水 敦揮,清水 敦揮.1
2.0,3.0,101.8,1.0,3.0,257.1,1.0,2.0,388.2,1.0,2.0,155.8,1.0,2.0,33.1,1.0,2.0,193.6
2.0,4.0,67.6,1.0,4.0,108.6,1.0,4.0,556.8,1.0,3.0,524.3,1.0,3.0,126.1,1.0,3.0,504.6
2.0,5.0,27.9,1.0,5.0,65.8,1.0,5.0,317.9,1.0,5.0,62.8,1.0,4.0,35.0,1.0,4.0,203.4
2.0,6.0,38.5,1.0,6.0,68.8,1.0,6.0,391.9,1.0,6.0,77.7,1.0,6.0,14.7,1.0,5.0,66.6
3.0,2.0,111.9,3.0,1.0,425.0,2.0,1.0,556.8,2.0,1.0,204.4,2.0,1.0,67.8,2.0,1.0,343.6
3.0,4.0,163.7,3.0,4.0,667.3,2.0,4.0,625.9,2.0,3.0,531.2,2.0,3.0,286.3,2.0,3.0,1187.0
3.0,5.0,95.5,3.0,5.0,495.4,2.0,5.0,656.5,2.0,5.0,138.2,2.0,4.0,103.3,2.0,4.0,534.7
3.0,6.0,115.1,3.0,6.0,602.6,2.0,6.0,667.3,2.0,6.0,131.7,2.0,6.0,39.4,2.0,5.0,193.6
4.0,2.0,53.7,4.0,1.0,141.9,4.0,1.0,690.1,3.0,1.0,727.4,3.0,1.0,245.4,3.0,1.0,740.8
4.0,3.0,173.6,4.0,3.0,395.8,4.0,2.0,656.5,3.0,2.0,611.7,3.0,2.0,414.1,3.0,2.0,1187.0
4.0,5.0,29.8,4.0,5.0,136.8,4.0,5.0,507.8,3.0,5.0,511.0,3.0,4.0,351.0,3.0,4.0,1009.0
4.0,6.0,35.3,4.0,6.0,156.4,4.0,6.0,576.7,3.0,6.0,545.6,3.0,6.0,136.1,3.0,5.0,538.3
5.0,2.0,21.4,5.0,1.0,103.7,5.0,1.0,309.3,5.0,1.0,49.0,4.0,1.0,46.9,4.0,1.0,247.7
5.0,3.0,99.8,5.0,3.0,232.0,5.0,2.0,283.3,5.0,2.0,75.6,4.0,2.0,70.0,4.0,2.0,388.2
5.0,4.0,27.2,5.0,4.0,115.0,5.0,4.0,240.3,5.0,3.0,191.8,4.0,3.0,289.4,4.0,3.0,841.1
5.0,6.0,14.1,5.0,6.0,84.0,5.0,6.0,280.3,5.0,6.0,28.2,4.0,6.0,21.9,4.0,5.0,107.0
6.0,2.0,55.0,6.0,1.0,198.8,6.0,1.0,589.4,6.0,1.0,98.5,6.0,1.0,16.8,5.0,1.0,56.1
6.0,3.0,204.9,6.0,3.0,291.5,6.0,2.0,311.7,6.0,2.0,112.9,6.0,2.0,32.0,5.0,2.0,124.2
6.0,4.0,61.5,6.0,4.0,181.0,6.0,4.0,324.2,6.0,3.0,259.6,6.0,3.0,104.3,5.0,3.0,329.5
6.0,5.0,27.5,6.0,5.0,142.9,6.0,5.0,393.9,6.0,5.0,54.1,6.0,4.0,26.3,5.0,4.0,79.9
