1,森 照夫,森 照夫.1,2,國弘 翔平,國弘 翔平.1,3,花本 夏樹,花本 夏樹.1,4,熊本 英一,熊本 英一.1,5,堂原 洋史,堂原 洋史.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,5.3,1.0,3.0,24.1,1.0,2.0,33.3,1.0,2.0,84.5,1.0,2.0,200.6,1.0,2.0,1460.0
2.0,4.0,12.2,1.0,4.0,40.0,1.0,4.0,48.8,1.0,3.0,104.4,1.0,3.0,182.5,1.0,3.0,1265.0
2.0,5.0,18.9,1.0,5.0,50.7,1.0,5.0,49.9,1.0,5.0,87.7,1.0,4.0,183.5,1.0,4.0,1460.0
2.0,6.0,229.2,1.0,6.0,393.7,1.0,6.0,370.7,1.0,6.0,302.2,1.0,6.0,608.3,1.0,5.0,2206.0
3.0,2.0,7.1,3.0,1.0,44.3,2.0,1.0,56.0,2.0,1.0,118.1,2.0,1.0,283.2,2.0,1.0,1336.0
3.0,4.0,11.1,3.0,4.0,74.6,2.0,4.0,88.6,2.0,3.0,212.7,2.0,3.0,365.0,2.0,3.0,2259.0
3.0,5.0,18.4,3.0,5.0,95.3,2.0,5.0,100.1,2.0,5.0,164.1,2.0,4.0,384.2,2.0,4.0,2259.0
3.0,6.0,208.1,3.0,6.0,512.9,2.0,6.0,545.4,2.0,6.0,469.8,2.0,6.0,797.4,2.0,5.0,2019.0
4.0,2.0,27.1,4.0,1.0,91.7,4.0,1.0,85.0,3.0,1.0,149.4,3.0,1.0,240.2,3.0,1.0,1860.0
4.0,3.0,25.2,4.0,3.0,115.1,4.0,2.0,107.5,3.0,2.0,230.3,3.0,2.0,354.1,3.0,2.0,2564.0
4.0,5.0,50.4,4.0,5.0,153.5,4.0,5.0,99.8,3.0,5.0,167.9,3.0,4.0,264.3,3.0,4.0,1530.0
4.0,6.0,256.4,4.0,6.0,585.8,4.0,6.0,524.3,3.0,6.0,571.6,3.0,6.0,804.2,3.0,5.0,2019.0
5.0,2.0,48.9,5.0,1.0,149.6,5.0,1.0,111.2,5.0,1.0,79.4,4.0,1.0,202.7,4.0,1.0,1664.0
5.0,3.0,42.2,5.0,3.0,202.7,5.0,2.0,146.0,5.0,2.0,117.1,4.0,2.0,292.9,4.0,2.0,1757.0
5.0,4.0,77.7,5.0,4.0,245.2,5.0,4.0,134.9,5.0,3.0,123.8,4.0,3.0,237.8,4.0,3.0,1608.0
5.0,6.0,305.1,5.0,6.0,735.6,5.0,6.0,677.8,5.0,6.0,172.5,4.0,6.0,319.5,4.0,5.0,558.2
6.0,2.0,575.1,6.0,1.0,847.3,6.0,1.0,870.6,6.0,1.0,870.6,6.0,1.0,988.5,5.0,1.0,2108.0
6.0,3.0,593.1,6.0,3.0,1157.0,6.0,2.0,1265.0,6.0,2.0,939.6,6.0,2.0,1129.0,5.0,2.0,1725.0
6.0,4.0,659.0,6.0,4.0,1171.0,6.0,4.0,903.8,6.0,3.0,878.7,6.0,3.0,1171.0,5.0,3.0,1482.0
6.0,5.0,930.3,6.0,5.0,1300.0,6.0,5.0,1116.0,6.0,5.0,414.4,6.0,4.0,467.4,5.0,4.0,551.7
