1,冨田 秀幸,冨田 秀幸.1,2,樋口 亮,樋口 亮.1,3,白井 友晴,白井 友晴.1,4,和合 俊介,和合 俊介.1,5,吉本 玲緒,吉本 玲緒.1,6,西川　新太郎,西川　新太郎.1
2.0,3.0,12.0,1.0,3.0,9.7,1.0,2.0,36.5,1.0,2.0,71.5,1.0,2.0,638.1,1.0,2.0,178.4
2.0,4.0,23.5,1.0,4.0,25.2,1.0,4.0,75.3,1.0,3.0,108.5,1.0,3.0,731.4,1.0,3.0,227.4
2.0,5.0,163.0,1.0,5.0,142.2,1.0,5.0,308.0,1.0,5.0,216.0,1.0,4.0,796.6,1.0,4.0,356.3
2.0,6.0,25.4,1.0,6.0,19.8,1.0,6.0,53.1,1.0,6.0,67.6,1.0,6.0,598.4,1.0,5.0,758.0
3.0,2.0,19.2,3.0,1.0,19.9,2.0,1.0,40.6,2.0,1.0,81.2,2.0,1.0,1016.0,2.0,1.0,186.9
3.0,4.0,37.8,3.0,4.0,35.8,2.0,4.0,56.3,2.0,3.0,96.4,2.0,3.0,969.5,2.0,3.0,123.5
3.0,5.0,204.3,3.0,5.0,176.1,2.0,5.0,315.0,2.0,5.0,216.0,2.0,4.0,947.5,2.0,4.0,202.7
3.0,6.0,35.7,3.0,6.0,20.2,2.0,6.0,37.2,2.0,6.0,51.7,2.0,6.0,735.7,2.0,5.0,648.0
4.0,2.0,44.4,4.0,1.0,47.4,4.0,1.0,126.9,3.0,1.0,198.5,3.0,1.0,1078.0,3.0,1.0,315.0
4.0,3.0,61.8,4.0,3.0,55.2,4.0,2.0,96.1,3.0,2.0,144.4,3.0,2.0,1126.0,3.0,2.0,162.0
4.0,5.0,193.9,4.0,5.0,222.9,4.0,5.0,440.3,3.0,5.0,498.2,3.0,4.0,1276.0,3.0,4.0,301.3
4.0,6.0,57.3,4.0,6.0,40.4,4.0,6.0,80.0,3.0,6.0,105.9,3.0,6.0,1051.0,3.0,5.0,1168.0
5.0,2.0,303.5,5.0,1.0,458.1,5.0,1.0,791.5,5.0,1.0,276.7,4.0,1.0,893.3,4.0,1.0,222.5
5.0,3.0,367.8,5.0,3.0,560.8,5.0,2.0,691.0,5.0,2.0,279.8,4.0,2.0,833.8,4.0,2.0,159.5
5.0,4.0,448.2,5.0,4.0,470.1,5.0,4.0,806.9,5.0,3.0,475.5,4.0,3.0,1191.0,4.0,3.0,188.6
5.0,6.0,410.0,5.0,6.0,374.4,5.0,6.0,679.7,5.0,6.0,178.4,4.0,6.0,584.4,4.0,5.0,625.3
6.0,2.0,76.0,6.0,1.0,58.5,6.0,1.0,121.6,6.0,1.0,72.7,6.0,1.0,1000.0,5.0,1.0,1226.0
6.0,3.0,82.0,6.0,3.0,42.6,6.0,2.0,78.9,6.0,2.0,51.4,6.0,2.0,845.0,5.0,2.0,940.3
6.0,4.0,130.0,6.0,4.0,73.7,6.0,4.0,129.6,6.0,3.0,75.3,6.0,3.0,1168.0,5.0,3.0,1316.0
6.0,5.0,380.1,6.0,5.0,293.5,6.0,5.0,521.1,6.0,5.0,151.9,6.0,4.0,767.3,5.0,4.0,899.8
