1,篠原 飛翔,篠原 飛翔.1,2,小松 卓司,小松 卓司.1,3,村本 大成,村本 大成.1,4,石川 真二,石川 真二.1,5,小川 広大,小川 広大.1,6,安東 幸治,安東 幸治.1
2.0,3.0,85.8,1.0,3.0,170.1,1.0,2.0,312.5,1.0,2.0,12.4,1.0,2.0,679.1,1.0,2.0,274.1
2.0,4.0,31.4,1.0,4.0,71.4,1.0,4.0,163.4,1.0,3.0,27.9,1.0,3.0,753.3,1.0,3.0,626.7
2.0,5.0,125.8,1.0,5.0,221.7,1.0,5.0,263.9,1.0,5.0,29.1,1.0,4.0,352.7,1.0,4.0,151.9
2.0,6.0,49.4,1.0,6.0,107.9,1.0,6.0,191.5,1.0,6.0,10.5,1.0,6.0,540.3,1.0,5.0,659.4
3.0,2.0,150.8,3.0,1.0,236.2,2.0,1.0,397.7,2.0,1.0,22.3,2.0,1.0,881.8,2.0,1.0,404.8
3.0,4.0,78.3,3.0,4.0,171.7,2.0,4.0,215.0,2.0,3.0,37.2,2.0,3.0,1088.0,2.0,3.0,773.8
3.0,5.0,234.5,3.0,5.0,326.8,2.0,5.0,403.3,2.0,5.0,38.5,2.0,4.0,513.5,2.0,4.0,169.4
3.0,6.0,139.6,3.0,6.0,242.5,2.0,6.0,310.8,2.0,6.0,16.5,2.0,6.0,625.0,2.0,5.0,713.1
4.0,2.0,14.8,4.0,1.0,66.0,4.0,1.0,137.9,3.0,1.0,55.4,3.0,1.0,657.5,3.0,1.0,722.2
4.0,3.0,34.6,4.0,3.0,100.0,4.0,2.0,151.4,3.0,2.0,61.0,3.0,2.0,964.0,3.0,2.0,738.6
4.0,5.0,41.4,4.0,5.0,111.9,4.0,5.0,161.0,3.0,5.0,70.0,3.0,4.0,408.4,3.0,4.0,376.6
4.0,6.0,15.3,4.0,6.0,46.3,4.0,6.0,95.6,3.0,6.0,42.6,3.0,6.0,460.5,3.0,5.0,710.9
5.0,2.0,232.1,5.0,1.0,404.0,5.0,1.0,330.6,5.0,1.0,78.9,4.0,1.0,317.7,4.0,1.0,113.6
5.0,3.0,333.5,5.0,3.0,531.5,5.0,2.0,465.2,5.0,2.0,86.3,4.0,2.0,428.4,4.0,2.0,114.4
5.0,4.0,130.0,5.0,4.0,268.2,5.0,4.0,198.5,5.0,3.0,104.2,4.0,3.0,399.1,4.0,3.0,258.8
5.0,6.0,229.5,5.0,6.0,334.0,5.0,6.0,203.1,5.0,6.0,55.3,4.0,6.0,263.3,4.0,5.0,251.9
6.0,2.0,92.2,6.0,1.0,206.6,6.0,1.0,248.6,6.0,1.0,22.9,6.0,1.0,753.3,5.0,1.0,980.6
6.0,3.0,182.0,6.0,3.0,365.7,6.0,2.0,314.6,6.0,2.0,23.4,6.0,2.0,842.6,5.0,2.0,917.3
6.0,4.0,56.1,6.0,4.0,104.5,6.0,4.0,149.2,6.0,3.0,54.9,6.0,3.0,679.1,5.0,3.0,821.3
6.0,5.0,190.5,6.0,5.0,328.7,6.0,5.0,224.5,6.0,5.0,48.7,6.0,4.0,357.7,5.0,4.0,414.4
