1,羽野 諒,羽野 諒.1,2,永田 義紘,永田 義紘.1,3,楠原 翔太,楠原 翔太.1,4,村本 大成,村本 大成.1,5,川辺 郭人,川辺 郭人.1,6,出本 正博,出本 正博.1
2.0,3.0,6.2,1.0,3.0,24.7,1.0,2.0,11.8,1.0,2.0,169.2,1.0,2.0,665.0,1.0,2.0,427.7
2.0,4.0,23.1,1.0,4.0,62.5,1.0,4.0,16.6,1.0,3.0,129.9,1.0,3.0,528.7,1.0,3.0,293.5
2.0,5.0,101.4,1.0,5.0,283.7,1.0,5.0,89.2,1.0,5.0,571.3,1.0,4.0,1182.0,1.0,4.0,665.0
2.0,6.0,42.8,1.0,6.0,103.6,1.0,6.0,31.9,1.0,6.0,307.3,1.0,6.0,886.7,1.0,5.0,1091.0
3.0,2.0,5.0,3.0,1.0,24.7,2.0,1.0,17.0,2.0,1.0,259.5,2.0,1.0,692.0,2.0,1.0,603.7
3.0,4.0,9.8,3.0,4.0,95.7,2.0,4.0,54.4,2.0,3.0,341.8,2.0,3.0,1077.0,2.0,3.0,616.8
3.0,5.0,65.7,3.0,5.0,457.6,2.0,5.0,227.0,2.0,5.0,915.3,2.0,4.0,1198.0,2.0,4.0,1001.0
3.0,6.0,24.7,3.0,6.0,108.1,2.0,6.0,55.4,2.0,6.0,417.2,2.0,6.0,1038.0,2.0,5.0,1637.0
4.0,2.0,50.8,4.0,1.0,143.7,4.0,1.0,42.3,3.0,1.0,153.9,3.0,1.0,556.3,3.0,1.0,331.2
4.0,3.0,35.9,4.0,3.0,206.1,4.0,2.0,74.4,3.0,2.0,302.9,3.0,2.0,1182.0,3.0,2.0,506.7
4.0,5.0,217.7,4.0,5.0,733.8,4.0,5.0,252.6,3.0,5.0,803.0,3.0,4.0,1606.0,3.0,4.0,591.1
4.0,6.0,109.4,4.0,6.0,339.1,4.0,6.0,88.6,3.0,6.0,376.6,3.0,6.0,1418.0,3.0,5.0,1198.0
5.0,2.0,347.4,5.0,1.0,659.9,5.0,1.0,304.0,5.0,1.0,1182.0,4.0,1.0,1493.0,4.0,1.0,886.7
5.0,3.0,265.1,5.0,3.0,925.3,5.0,2.0,470.3,5.0,2.0,1576.0,4.0,2.0,1979.0,4.0,2.0,1105.0
5.0,4.0,401.5,5.0,4.0,1135.0,5.0,4.0,478.2,5.0,3.0,1442.0,4.0,3.0,1737.0,4.0,3.0,810.7
5.0,6.0,472.9,5.0,6.0,905.6,5.0,6.0,452.8,5.0,6.0,1038.0,4.0,6.0,1442.0,4.0,5.0,1520.0
6.0,2.0,127.2,6.0,1.0,257.1,6.0,1.0,80.0,6.0,1.0,535.3,6.0,1.0,1013.0,5.0,1.0,1216.0
6.0,3.0,94.1,6.0,3.0,320.0,6.0,2.0,119.3,6.0,2.0,659.9,6.0,2.0,1289.0,5.0,2.0,1773.0
6.0,4.0,182.6,6.0,4.0,599.4,6.0,4.0,142.5,6.0,3.0,549.2,6.0,3.0,1493.0,5.0,3.0,1520.0
6.0,5.0,368.5,6.0,5.0,905.6,6.0,5.0,339.1,6.0,5.0,842.8,6.0,4.0,1120.0,5.0,4.0,1637.0
