first,second,third,odds
3,1,1297,2.0
5,1218,4,1941.0
4,1,1810,3.0
5,2390,4,3955.0
5,1,1010,5.0
5,1,1053,4.0
5,1,1469,4.0
3,2,1204,2.0
3,1351,2,2066.0
4,2150,3,3955.0
6,1,4160,5.0
3,1053,2,4055.0
4,2080,3,5167.0
5,1820,4,3302.0
