1,岡部 浩,岡部 浩.1,2,長野　壮志郎,長野　壮志郎.1,3,三原 司,三原 司.1,4,小林 文彦,小林 文彦.1,5,岡村 慶太,岡村 慶太.1,6,大熊 辰弥,大熊 辰弥.1
2.0,3.0,24.2,1.0,3.0,30.0,1.0,2.0,221.8,1.0,2.0,91.1,1.0,2.0,43.2,1.0,2.0,1508.0
2.0,4.0,16.5,1.0,4.0,16.5,1.0,4.0,271.1,1.0,3.0,297.4,1.0,3.0,121.1,1.0,3.0,3191.0
2.0,5.0,11.0,1.0,5.0,11.3,1.0,5.0,153.6,1.0,5.0,79.2,1.0,4.0,60.8,1.0,4.0,2861.0
2.0,6.0,148.1,1.0,6.0,208.4,1.0,6.0,453.4,1.0,6.0,560.6,1.0,6.0,307.3,1.0,5.0,2765.0
3.0,2.0,42.8,3.0,1.0,81.4,2.0,1.0,224.8,2.0,1.0,82.8,2.0,1.0,39.3,2.0,1.0,2183.0
3.0,4.0,73.1,3.0,4.0,69.9,2.0,4.0,133.8,2.0,3.0,137.1,2.0,3.0,73.2,2.0,3.0,3457.0
3.0,5.0,48.9,3.0,5.0,44.9,2.0,5.0,125.5,2.0,5.0,41.6,2.0,4.0,33.0,2.0,4.0,2593.0
3.0,6.0,291.1,3.0,6.0,441.3,2.0,6.0,663.8,2.0,6.0,377.1,2.0,6.0,189.0,2.0,5.0,2242.0
4.0,2.0,32.7,4.0,1.0,34.4,4.0,1.0,363.9,3.0,1.0,528.5,3.0,1.0,283.2,3.0,1.0,3457.0
4.0,3.0,86.4,4.0,3.0,63.2,4.0,2.0,217.2,3.0,2.0,285.1,3.0,2.0,190.7,3.0,2.0,5186.0
4.0,5.0,38.2,4.0,5.0,17.9,4.0,5.0,275.6,3.0,5.0,289.1,3.0,4.0,246.2,3.0,4.0,3073.0
4.0,6.0,303.9,4.0,6.0,308.4,4.0,6.0,1106.0,3.0,6.0,1077.0,3.0,6.0,821.5,3.0,5.0,4881.0
5.0,2.0,21.9,5.0,1.0,17.4,5.0,1.0,205.3,5.0,1.0,74.1,4.0,1.0,75.9,4.0,1.0,3771.0
5.0,3.0,59.7,5.0,3.0,33.3,5.0,2.0,180.3,5.0,2.0,39.9,4.0,2.0,45.1,4.0,2.0,3319.0
5.0,4.0,41.2,5.0,4.0,15.5,5.0,4.0,242.6,5.0,3.0,177.6,4.0,3.0,156.2,4.0,3.0,3073.0
5.0,6.0,357.6,5.0,6.0,179.2,5.0,6.0,987.8,5.0,6.0,229.2,4.0,6.0,298.4,4.0,5.0,2183.0
6.0,2.0,375.4,6.0,1.0,398.9,6.0,1.0,572.2,6.0,1.0,1430.0,6.0,1.0,813.5,5.0,1.0,3457.0
6.0,3.0,518.6,6.0,3.0,1659.0,6.0,2.0,2304.0,6.0,2.0,1627.0,6.0,2.0,882.7,5.0,2.0,1693.0
6.0,4.0,1050.0,6.0,4.0,1091.0,6.0,4.0,2304.0,6.0,3.0,2023.0,6.0,3.0,1296.0,5.0,3.0,4609.0
6.0,5.0,932.3,6.0,5.0,715.3,6.0,5.0,2242.0,6.0,5.0,685.7,6.0,4.0,855.4,5.0,4.0,2242.0
