1,中岡 正彦,中岡 正彦.1,2,三好 勇人,三好 勇人.1,3,眞鳥 章太,眞鳥 章太.1,4,守田 俊介,守田 俊介.1,5,横田 茂,横田 茂.1,6,佐藤 大騎,佐藤 大騎.1
2.0,3.0,23.8,1.0,3.0,77.6,1.0,2.0,137.0,1.0,2.0,24.6,1.0,2.0,261.3,1.0,2.0,223.2
2.0,4.0,9.5,1.0,4.0,44.8,1.0,4.0,117.7,1.0,3.0,48.1,1.0,3.0,526.2,1.0,3.0,358.5
2.0,5.0,26.7,1.0,5.0,66.5,1.0,5.0,195.6,1.0,5.0,39.9,1.0,4.0,246.5,1.0,4.0,198.7
2.0,6.0,32.8,1.0,6.0,100.0,1.0,6.0,253.8,1.0,6.0,43.1,1.0,6.0,488.6,1.0,5.0,464.3
3.0,2.0,36.6,3.0,1.0,128.9,2.0,1.0,172.7,2.0,1.0,60.1,2.0,1.0,272.5,2.0,1.0,315.1
3.0,4.0,24.8,3.0,4.0,142.3,2.0,4.0,173.2,2.0,3.0,186.1,2.0,3.0,506.7,2.0,3.0,835.4
3.0,5.0,58.2,3.0,5.0,144.3,2.0,5.0,198.8,2.0,5.0,150.2,2.0,4.0,367.5,2.0,4.0,452.7
3.0,6.0,63.4,3.0,6.0,299.3,2.0,6.0,375.4,2.0,6.0,159.8,2.0,6.0,510.8,2.0,5.0,726.0
4.0,2.0,7.3,4.0,1.0,69.7,4.0,1.0,158.7,3.0,1.0,161.6,3.0,1.0,850.2,3.0,1.0,688.1
4.0,3.0,13.2,4.0,3.0,143.3,4.0,2.0,205.1,3.0,2.0,224.0,3.0,2.0,759.1,3.0,2.0,949.4
4.0,5.0,15.7,4.0,5.0,122.1,4.0,5.0,325.6,3.0,5.0,355.9,3.0,4.0,998.9,3.0,4.0,771.4
4.0,6.0,13.5,4.0,6.0,184.0,4.0,6.0,392.4,3.0,6.0,333.2,3.0,6.0,1305.0,3.0,5.0,1242.0
5.0,2.0,50.9,5.0,1.0,112.5,5.0,1.0,404.0,5.0,1.0,119.0,4.0,1.0,310.3,4.0,1.0,245.8
5.0,3.0,90.5,5.0,3.0,183.8,5.0,2.0,360.9,5.0,2.0,177.7,4.0,2.0,448.0,4.0,2.0,418.1
5.0,4.0,51.8,5.0,4.0,129.7,5.0,4.0,475.8,5.0,3.0,353.9,4.0,3.0,833.5,4.0,3.0,595.9
5.0,6.0,103.4,5.0,6.0,227.3,5.0,6.0,719.2,5.0,6.0,171.0,4.0,6.0,630.3,4.0,5.0,787.2
6.0,2.0,35.2,6.0,1.0,212.8,6.0,1.0,558.5,6.0,1.0,111.3,6.0,1.0,855.9,5.0,1.0,961.3
6.0,3.0,59.6,6.0,3.0,417.7,6.0,2.0,679.6,6.0,2.0,174.3,6.0,2.0,881.6,5.0,2.0,1090.0
6.0,4.0,30.4,6.0,4.0,270.3,6.0,4.0,629.3,6.0,3.0,293.1,6.0,3.0,1351.0,5.0,3.0,1628.0
6.0,5.0,78.7,6.0,5.0,379.9,6.0,5.0,831.7,6.0,5.0,267.1,6.0,4.0,949.4,5.0,4.0,1071.0
