1,谷津 幸宏,谷津 幸宏.1,2,山本 兼士,山本 兼士.1,3,大澤 大夢,大澤 大夢.1,4,八戸 琉楓,八戸 琉楓.1,5,山田 哲也,山田 哲也.1,6,真庭 明志,真庭 明志.1
2.0,3.0,24.1,1.0,3.0,219.4,1.0,2.0,160.9,1.0,2.0,2088.0,1.0,2.0,45.1,1.0,2.0,90.3
2.0,4.0,235.5,1.0,4.0,833.2,1.0,4.0,472.2,1.0,3.0,1966.0,1.0,3.0,29.8,1.0,3.0,74.2
2.0,5.0,19.9,1.0,5.0,168.2,1.0,5.0,52.2,1.0,5.0,1634.0,1.0,4.0,213.4,1.0,4.0,272.2
2.0,6.0,25.0,1.0,6.0,184.2,1.0,6.0,69.5,1.0,6.0,1504.0,1.0,6.0,16.9,1.0,5.0,45.3
3.0,2.0,24.4,3.0,1.0,389.1,2.0,1.0,369.0,2.0,1.0,2734.0,2.0,1.0,146.3,2.0,1.0,233.0
3.0,4.0,192.2,3.0,4.0,1992.0,2.0,4.0,783.3,2.0,3.0,2759.0,2.0,3.0,257.9,2.0,3.0,378.8
3.0,5.0,10.1,3.0,5.0,530.5,2.0,5.0,437.8,2.0,5.0,2527.0,2.0,4.0,771.2,2.0,4.0,759.6
3.0,6.0,14.6,3.0,6.0,616.4,2.0,6.0,539.0,2.0,6.0,1608.0,2.0,6.0,144.1,2.0,5.0,259.9
4.0,2.0,542.9,4.0,1.0,1834.0,4.0,1.0,1496.0,3.0,1.0,2593.0,3.0,1.0,82.4,3.0,1.0,184.8
4.0,3.0,589.8,4.0,3.0,2638.0,4.0,2.0,2331.0,3.0,2.0,3538.0,3.0,2.0,252.7,3.0,2.0,349.7
4.0,5.0,429.1,4.0,5.0,2662.0,4.0,5.0,1779.0,3.0,5.0,2195.0,3.0,4.0,752.0,3.0,4.0,625.3
4.0,6.0,382.7,4.0,6.0,1566.0,4.0,6.0,1617.0,3.0,6.0,2527.0,3.0,6.0,94.7,3.0,5.0,178.7
5.0,2.0,15.7,5.0,1.0,270.9,5.0,1.0,88.9,5.0,1.0,1880.0,4.0,1.0,688.3,4.0,1.0,588.6
5.0,3.0,9.7,5.0,3.0,437.2,5.0,2.0,256.2,5.0,2.0,2759.0,4.0,2.0,1143.0,4.0,2.0,769.3
5.0,4.0,158.9,5.0,4.0,1425.0,5.0,4.0,808.6,5.0,3.0,2074.0,4.0,3.0,1105.0,4.0,3.0,903.3
5.0,6.0,8.1,5.0,6.0,317.9,5.0,6.0,114.8,5.0,6.0,1248.0,4.0,6.0,542.9,4.0,5.0,566.4
6.0,2.0,26.5,6.0,1.0,362.4,6.0,1.0,166.8,6.0,1.0,1856.0,6.0,1.0,22.9,5.0,1.0,49.9
6.0,3.0,21.1,6.0,3.0,524.9,6.0,2.0,376.9,6.0,2.0,1671.0,6.0,2.0,65.6,5.0,2.0,138.5
6.0,4.0,167.9,6.0,4.0,1139.0,6.0,4.0,737.2,6.0,3.0,2331.0,6.0,3.0,51.4,5.0,3.0,108.7
6.0,5.0,15.7,6.0,5.0,407.5,6.0,5.0,155.3,6.0,5.0,1354.0,6.0,4.0,150.0,5.0,4.0,278.0
