1,木場　雄二郎,木場　雄二郎.1,2,田邉 亮蔵,田邉 亮蔵.1,3,黒田 剛,黒田 剛.1,4,小林 基樹,小林 基樹.1,5,草場 康幸,草場 康幸.1,6,中島 浩哉,中島 浩哉.1
2.0,3.0,15.6,1.0,3.0,100.6,1.0,2.0,60.3,1.0,2.0,97.1,1.0,2.0,136.6,1.0,2.0,613.6
2.0,4.0,15.3,1.0,4.0,84.0,1.0,4.0,27.4,1.0,3.0,65.2,1.0,3.0,135.0,1.0,3.0,500.8
2.0,5.0,22.9,1.0,5.0,111.1,1.0,5.0,38.7,1.0,5.0,58.2,1.0,4.0,108.0,1.0,4.0,503.0
2.0,6.0,39.7,1.0,6.0,188.9,1.0,6.0,80.6,1.0,6.0,99.9,1.0,6.0,137.8,1.0,5.0,505.3
3.0,2.0,17.7,3.0,1.0,173.4,2.0,1.0,120.3,2.0,1.0,188.0,2.0,1.0,279.9,2.0,1.0,922.9
3.0,4.0,9.9,3.0,4.0,256.7,2.0,4.0,174.5,2.0,3.0,361.4,2.0,3.0,555.6,2.0,3.0,1015.0
3.0,5.0,14.2,3.0,5.0,309.3,2.0,5.0,211.1,2.0,5.0,247.6,2.0,4.0,424.6,2.0,4.0,954.5
3.0,6.0,37.1,3.0,6.0,536.9,2.0,6.0,354.5,2.0,6.0,373.5,2.0,6.0,444.9,2.0,5.0,938.4
4.0,2.0,21.1,4.0,1.0,199.4,4.0,1.0,47.6,3.0,1.0,98.5,3.0,1.0,239.1,3.0,1.0,623.9
4.0,3.0,14.5,4.0,3.0,318.1,4.0,2.0,131.8,3.0,2.0,265.9,3.0,2.0,487.6,3.0,2.0,962.7
4.0,5.0,16.9,4.0,5.0,270.4,4.0,5.0,64.1,3.0,5.0,134.2,3.0,4.0,328.4,3.0,4.0,734.7
4.0,6.0,39.2,4.0,6.0,507.6,4.0,6.0,107.3,3.0,6.0,192.8,3.0,6.0,461.4,3.0,5.0,900.6
5.0,2.0,41.2,5.0,1.0,273.7,5.0,1.0,82.4,5.0,1.0,77.2,4.0,1.0,144.4,4.0,1.0,720.5
5.0,3.0,31.9,5.0,3.0,473.2,5.0,2.0,204.5,5.0,2.0,150.5,4.0,2.0,309.3,4.0,2.0,1043.0
5.0,4.0,31.5,5.0,4.0,350.0,5.0,4.0,103.1,5.0,3.0,151.3,4.0,3.0,372.2,4.0,3.0,946.4
5.0,6.0,62.5,5.0,6.0,444.9,5.0,6.0,148.1,5.0,6.0,122.8,4.0,6.0,254.3,4.0,5.0,641.8
6.0,2.0,102.5,6.0,1.0,680.9,6.0,1.0,305.1,6.0,1.0,233.6,6.0,1.0,266.5,5.0,1.0,524.3
6.0,3.0,107.6,6.0,3.0,859.0,6.0,2.0,531.8,6.0,2.0,469.2,6.0,2.0,439.6,5.0,2.0,879.3
6.0,4.0,104.9,6.0,4.0,886.3,6.0,4.0,355.6,6.0,3.0,426.2,6.0,3.0,584.7,5.0,3.0,938.4
6.0,5.0,115.9,6.0,5.0,664.7,6.0,5.0,373.5,6.0,5.0,260.9,6.0,4.0,340.4,5.0,4.0,627.4
