1,萩原 秀人,萩原 秀人.1,2,小林 文彦,小林 文彦.1,3,重成 一人,重成 一人.1,4,原村 拓也,原村 拓也.1,5,黒井 達矢,黒井 達矢.1,6,芝田 浩治,芝田 浩治.1
2.0,3.0,7.2,1.0,3.0,86.8,1.0,2.0,37.2,1.0,2.0,425.2,1.0,2.0,247.6,1.0,2.0,521.8
2.0,4.0,17.1,1.0,4.0,187.6,1.0,4.0,35.8,1.0,3.0,327.0,1.0,3.0,137.3,1.0,3.0,414.6
2.0,5.0,13.9,1.0,5.0,170.1,1.0,5.0,23.2,1.0,5.0,316.1,1.0,4.0,388.4,1.0,4.0,1019.0
2.0,6.0,57.1,1.0,6.0,405.4,1.0,6.0,58.6,1.0,6.0,647.0,1.0,6.0,357.5,1.0,5.0,712.0
3.0,2.0,5.7,3.0,1.0,174.0,2.0,1.0,120.0,2.0,1.0,710.8,2.0,1.0,638.1,2.0,1.0,1142.0
3.0,4.0,10.4,3.0,4.0,500.0,2.0,4.0,273.2,2.0,3.0,969.8,2.0,3.0,837.6,2.0,3.0,1286.0
3.0,5.0,5.5,3.0,5.0,394.7,2.0,5.0,187.1,2.0,5.0,1024.0,2.0,4.0,1379.0,2.0,4.0,2284.0
3.0,6.0,23.1,3.0,6.0,760.0,2.0,6.0,366.9,2.0,6.0,1525.0,2.0,6.0,1431.0,2.0,5.0,1953.0
4.0,2.0,39.7,4.0,1.0,636.2,4.0,1.0,137.4,3.0,1.0,475.0,3.0,1.0,203.5,3.0,1.0,668.8
4.0,3.0,32.1,4.0,3.0,889.3,4.0,2.0,285.7,3.0,2.0,782.7,3.0,2.0,595.4,3.0,2.0,974.3
4.0,5.0,48.2,4.0,5.0,985.8,4.0,5.0,181.1,3.0,5.0,604.9,3.0,4.0,819.6,3.0,4.0,1565.0
4.0,6.0,97.7,4.0,6.0,1352.0,4.0,6.0,344.8,3.0,6.0,967.5,3.0,6.0,693.2,3.0,5.0,1126.0
5.0,2.0,30.5,5.0,1.0,533.8,5.0,1.0,77.7,5.0,1.0,448.9,4.0,1.0,629.5,4.0,1.0,2296.0
5.0,3.0,17.8,5.0,3.0,683.0,5.0,2.0,209.1,5.0,2.0,878.1,4.0,2.0,1456.0,4.0,2.0,2805.0
5.0,4.0,57.5,5.0,4.0,1105.0,5.0,4.0,205.9,5.0,3.0,761.3,4.0,3.0,1274.0,4.0,3.0,3007.0
5.0,6.0,68.9,5.0,6.0,1477.0,5.0,6.0,233.3,5.0,6.0,956.5,4.0,6.0,1384.0,4.0,5.0,2714.0
6.0,2.0,146.2,6.0,1.0,1542.0,6.0,1.0,330.1,6.0,1.0,1658.0,6.0,1.0,1052.0,5.0,1.0,1379.0
6.0,3.0,99.6,6.0,3.0,1412.0,6.0,2.0,684.1,6.0,2.0,1756.0,6.0,2.0,2049.0,5.0,2.0,2518.0
6.0,4.0,207.9,6.0,4.0,2564.0,6.0,4.0,652.1,6.0,3.0,1525.0,6.0,3.0,1397.0,5.0,3.0,1778.0
6.0,5.0,143.4,6.0,5.0,2271.0,6.0,5.0,494.0,6.0,5.0,1553.0,6.0,4.0,1971.0,5.0,4.0,2863.0
