1,板橋 侑我,板橋 侑我.1,2,大野 芳顕,大野 芳顕.1,3,渥美 卓郎,渥美 卓郎.1,4,杉山 勝匡,杉山 勝匡.1,5,村松 修二,村松 修二.1,6,山下 流心,山下 流心.1
2.0,3.0,19.2,1.0,3.0,51.0,1.0,2.0,341.0,1.0,2.0,82.0,1.0,2.0,46.7,1.0,2.0,99.5
2.0,4.0,12.3,1.0,4.0,31.1,1.0,4.0,574.7,1.0,3.0,302.3,1.0,3.0,227.1,1.0,3.0,267.3
2.0,5.0,9.4,1.0,5.0,18.3,1.0,5.0,427.4,1.0,5.0,68.6,1.0,4.0,116.4,1.0,4.0,201.1
2.0,6.0,19.9,1.0,6.0,40.3,1.0,6.0,680.4,1.0,6.0,132.0,1.0,6.0,101.5,1.0,5.0,100.7
3.0,2.0,49.5,3.0,1.0,139.4,2.0,1.0,347.5,2.0,1.0,107.0,2.0,1.0,64.4,2.0,1.0,103.0
3.0,4.0,96.4,3.0,4.0,158.2,2.0,4.0,389.6,2.0,3.0,369.7,2.0,3.0,246.8,2.0,3.0,265.7
3.0,5.0,79.1,3.0,5.0,105.0,2.0,5.0,304.9,2.0,5.0,77.2,2.0,4.0,122.4,2.0,4.0,164.6
3.0,6.0,128.4,3.0,6.0,203.0,2.0,6.0,479.5,2.0,6.0,141.5,2.0,6.0,106.3,2.0,5.0,89.8
4.0,2.0,27.4,4.0,1.0,66.6,4.0,1.0,853.2,3.0,1.0,693.3,3.0,1.0,552.3,3.0,1.0,591.4
4.0,3.0,93.2,4.0,3.0,153.3,4.0,2.0,844.1,3.0,2.0,717.1,3.0,2.0,567.7,3.0,2.0,583.9
4.0,5.0,35.5,4.0,5.0,53.5,4.0,5.0,846.6,3.0,5.0,663.9,3.0,4.0,965.9,3.0,4.0,722.4
4.0,6.0,64.1,4.0,6.0,99.4,4.0,6.0,1213.0,3.0,6.0,837.7,3.0,6.0,778.2,3.0,5.0,474.3
5.0,2.0,18.1,5.0,1.0,36.6,5.0,1.0,606.9,5.0,1.0,66.1,4.0,1.0,151.3,4.0,1.0,286.4
5.0,3.0,71.7,5.0,3.0,105.3,5.0,2.0,620.7,5.0,2.0,67.4,4.0,2.0,143.5,4.0,2.0,245.8
5.0,4.0,39.6,5.0,4.0,62.6,5.0,4.0,1113.0,5.0,3.0,339.6,4.0,3.0,572.1,4.0,3.0,595.0
5.0,6.0,50.4,5.0,6.0,65.2,5.0,6.0,991.0,5.0,6.0,83.4,4.0,6.0,167.0,4.0,5.0,207.4
6.0,2.0,50.8,6.0,1.0,91.5,6.0,1.0,1060.0,6.0,1.0,156.7,6.0,1.0,107.9,5.0,1.0,81.7
6.0,3.0,165.5,6.0,3.0,246.3,6.0,2.0,1311.0,6.0,2.0,154.0,6.0,2.0,102.1,5.0,2.0,74.7
6.0,4.0,111.5,6.0,4.0,134.1,6.0,4.0,1552.0,6.0,3.0,509.6,6.0,3.0,308.2,5.0,3.0,205.3
6.0,5.0,72.0,6.0,5.0,90.7,6.0,5.0,1104.0,6.0,5.0,123.8,6.0,4.0,164.3,5.0,4.0,137.5
