1,中島 真二,中島 真二.1,2,吉永 泰弘,吉永 泰弘.1,3,金子 猛志,金子 猛志.1,4,貞兼 淳二,貞兼 淳二.1,5,吉岡 誠,吉岡 誠.1,6,栗原 直也,栗原 直也.1
2.0,3.0,6.7,1.0,3.0,29.9,1.0,2.0,62.4,1.0,2.0,46.9,1.0,2.0,410.6,1.0,2.0,502.4
2.0,4.0,6.6,1.0,4.0,28.1,1.0,4.0,57.1,1.0,3.0,61.4,1.0,3.0,335.2,1.0,3.0,723.9
2.0,5.0,41.0,1.0,5.0,132.0,1.0,5.0,122.6,1.0,5.0,77.7,1.0,4.0,271.4,1.0,4.0,683.4
2.0,6.0,28.8,1.0,6.0,72.1,1.0,6.0,118.8,1.0,6.0,69.1,1.0,6.0,378.0,1.0,5.0,1261.0
3.0,2.0,11.8,3.0,1.0,80.1,2.0,1.0,96.5,2.0,1.0,82.8,2.0,1.0,676.3,2.0,1.0,669.4
3.0,4.0,13.8,3.0,4.0,121.6,2.0,4.0,128.9,2.0,3.0,138.4,2.0,3.0,681.0,2.0,3.0,671.7
3.0,5.0,41.5,3.0,5.0,261.3,2.0,5.0,269.9,2.0,5.0,199.8,2.0,4.0,775.6,2.0,4.0,580.0
3.0,6.0,39.5,3.0,6.0,260.9,2.0,6.0,222.6,2.0,6.0,134.0,2.0,6.0,1018.0,2.0,5.0,772.6
4.0,2.0,11.9,4.0,1.0,80.2,4.0,1.0,80.6,3.0,1.0,113.7,3.0,1.0,515.7,3.0,1.0,1123.0
4.0,3.0,17.6,4.0,3.0,130.9,4.0,2.0,124.8,3.0,2.0,160.8,3.0,2.0,721.2,3.0,2.0,1285.0
4.0,5.0,40.1,4.0,5.0,307.8,4.0,5.0,162.6,3.0,5.0,231.3,3.0,4.0,581.7,3.0,4.0,1110.0
4.0,6.0,29.7,4.0,6.0,212.2,4.0,6.0,154.3,3.0,6.0,211.0,3.0,6.0,892.5,3.0,5.0,1776.0
5.0,2.0,135.2,5.0,1.0,440.2,5.0,1.0,257.5,5.0,1.0,117.1,4.0,1.0,313.2,4.0,1.0,817.8
5.0,3.0,130.0,5.0,3.0,471.0,5.0,2.0,341.1,5.0,2.0,177.0,4.0,2.0,622.5,4.0,2.0,864.9
5.0,4.0,135.5,5.0,4.0,597.7,5.0,4.0,289.1,5.0,3.0,232.7,4.0,3.0,558.4,4.0,3.0,1116.0
5.0,6.0,151.4,5.0,6.0,775.6,5.0,6.0,432.4,5.0,6.0,143.2,4.0,6.0,441.2,4.0,5.0,1437.0
6.0,2.0,116.3,6.0,1.0,348.4,6.0,1.0,360.6,6.0,1.0,165.0,6.0,1.0,884.4,5.0,1.0,2196.0
6.0,3.0,162.4,6.0,3.0,394.8,6.0,2.0,444.2,6.0,2.0,196.0,6.0,2.0,1045.0,5.0,2.0,2246.0
6.0,4.0,130.3,6.0,4.0,359.3,6.0,4.0,403.8,6.0,3.0,318.3,6.0,3.0,1303.0,5.0,3.0,1916.0
6.0,5.0,248.6,6.0,5.0,634.6,6.0,5.0,636.7,6.0,5.0,219.6,6.0,4.0,705.6,5.0,4.0,1447.0
