1,菊地 敬介,菊地 敬介.1,2,伊藤 啓三,伊藤 啓三.1,3,廣瀬 真也,廣瀬 真也.1,4,中村 泰平,中村 泰平.1,5,服部 幸男,服部 幸男.1,6,深川 真二,深川 真二.1
2.0,3.0,80.1,1.0,3.0,154.9,1.0,2.0,171.1,1.0,2.0,277.6,1.0,2.0,116.2,1.0,2.0,93.4
2.0,4.0,72.7,1.0,4.0,125.7,1.0,4.0,144.2,1.0,3.0,285.3,1.0,3.0,193.3,1.0,3.0,134.1
2.0,5.0,46.2,1.0,5.0,97.6,1.0,5.0,210.0,1.0,5.0,314.8,1.0,4.0,172.0,1.0,4.0,117.1
2.0,6.0,40.4,1.0,6.0,76.5,1.0,6.0,137.7,1.0,6.0,293.0,1.0,6.0,88.9,1.0,5.0,89.5
3.0,2.0,116.2,3.0,1.0,230.9,2.0,1.0,195.8,2.0,1.0,299.8,2.0,1.0,121.0,2.0,1.0,96.2
3.0,4.0,164.3,3.0,4.0,124.5,2.0,4.0,98.0,2.0,3.0,194.3,2.0,3.0,98.5,2.0,3.0,97.3
3.0,5.0,142.3,3.0,5.0,136.8,2.0,5.0,128.7,2.0,5.0,130.8,2.0,4.0,77.0,2.0,4.0,51.0
3.0,6.0,116.1,3.0,6.0,100.1,2.0,6.0,108.9,2.0,6.0,114.8,2.0,6.0,31.6,2.0,5.0,33.0
4.0,2.0,142.3,4.0,1.0,209.7,4.0,1.0,102.9,3.0,1.0,173.3,3.0,1.0,209.3,3.0,1.0,176.8
4.0,3.0,217.0,4.0,3.0,171.8,4.0,2.0,62.9,3.0,2.0,116.2,3.0,2.0,160.1,3.0,2.0,123.5
4.0,5.0,164.7,4.0,5.0,74.4,4.0,5.0,60.9,3.0,5.0,107.9,3.0,4.0,165.7,3.0,4.0,105.0
4.0,6.0,132.4,4.0,6.0,74.0,4.0,6.0,67.2,3.0,6.0,104.3,3.0,6.0,100.9,3.0,5.0,122.1
5.0,2.0,53.3,5.0,1.0,115.0,5.0,1.0,250.1,5.0,1.0,345.5,4.0,1.0,213.2,4.0,1.0,171.2
5.0,3.0,111.1,5.0,3.0,100.5,5.0,2.0,133.2,5.0,2.0,143.6,4.0,2.0,118.8,4.0,2.0,78.5
5.0,4.0,99.1,5.0,4.0,69.8,5.0,4.0,116.3,5.0,3.0,192.9,4.0,3.0,185.0,4.0,3.0,149.9
5.0,6.0,49.9,5.0,6.0,27.9,5.0,6.0,111.5,5.0,6.0,75.6,4.0,6.0,63.0,4.0,5.0,65.1
6.0,2.0,39.0,6.0,1.0,88.3,6.0,1.0,201.1,6.0,1.0,257.8,6.0,1.0,64.9,5.0,1.0,81.9
6.0,3.0,81.9,6.0,3.0,87.8,6.0,2.0,124.2,6.0,2.0,107.2,6.0,2.0,25.3,5.0,2.0,30.9
6.0,4.0,64.9,6.0,4.0,50.4,6.0,4.0,99.9,6.0,3.0,184.3,6.0,3.0,53.9,5.0,3.0,81.2
6.0,5.0,49.8,6.0,5.0,27.8,6.0,5.0,118.6,6.0,5.0,80.8,6.0,4.0,36.0,5.0,4.0,42.9
