1,中田 元泰,中田 元泰.1,2,新田 智彰,新田 智彰.1,3,松田 竜馬,松田 竜馬.1,4,松尾 昂明,松尾 昂明.1,5,室田 泰史,室田 泰史.1,6,玄馬 徹,玄馬 徹.1
2.0,3.0,6.4,1.0,3.0,77.1,1.0,2.0,82.5,1.0,2.0,122.7,1.0,2.0,192.9,1.0,2.0,1846.0
2.0,4.0,9.2,1.0,4.0,103.8,1.0,4.0,72.0,1.0,3.0,90.2,1.0,3.0,136.6,1.0,3.0,1698.0
2.0,5.0,16.3,1.0,5.0,156.6,1.0,5.0,75.0,1.0,5.0,97.9,1.0,4.0,216.0,1.0,4.0,2272.0
2.0,6.0,59.7,1.0,6.0,361.4,1.0,6.0,216.2,1.0,6.0,240.2,1.0,6.0,281.9,1.0,5.0,1386.0
3.0,2.0,7.2,3.0,1.0,202.9,2.0,1.0,205.5,2.0,1.0,332.2,2.0,1.0,476.7,2.0,1.0,4003.0
3.0,4.0,6.7,3.0,4.0,550.0,2.0,4.0,408.0,2.0,3.0,647.6,2.0,3.0,1050.0,2.0,3.0,4978.0
3.0,5.0,11.4,3.0,5.0,723.8,2.0,5.0,543.2,2.0,5.0,690.6,2.0,4.0,1403.0,2.0,4.0,4272.0
3.0,6.0,44.3,3.0,6.0,1612.0,2.0,6.0,1118.0,2.0,6.0,1460.0,2.0,6.0,1568.0,2.0,5.0,4473.0
4.0,2.0,13.1,4.0,1.0,386.3,4.0,1.0,185.9,3.0,1.0,216.3,3.0,1.0,308.4,3.0,1.0,3180.0
4.0,3.0,11.7,4.0,3.0,745.5,4.0,2.0,431.4,3.0,2.0,553.7,3.0,2.0,910.2,3.0,2.0,4617.0
4.0,5.0,20.2,4.0,5.0,1101.0,4.0,5.0,376.1,3.0,5.0,417.0,3.0,4.0,809.8,3.0,4.0,4473.0
4.0,6.0,55.6,4.0,6.0,1800.0,4.0,6.0,783.2,3.0,6.0,1122.0,3.0,6.0,1202.0,3.0,5.0,4119.0
5.0,2.0,30.2,5.0,1.0,481.1,5.0,1.0,244.0,5.0,1.0,194.5,4.0,1.0,414.8,4.0,1.0,3791.0
5.0,3.0,24.6,5.0,3.0,907.3,5.0,2.0,655.8,5.0,2.0,441.1,4.0,2.0,1086.0,4.0,2.0,2877.0
5.0,4.0,38.3,5.0,4.0,1322.0,5.0,4.0,561.3,5.0,3.0,402.0,4.0,3.0,855.8,4.0,3.0,3128.0
5.0,6.0,72.8,5.0,6.0,1735.0,5.0,6.0,944.8,5.0,6.0,500.4,4.0,6.0,1098.0,4.0,5.0,3868.0
6.0,2.0,257.7,6.0,1.0,1564.0,6.0,1.0,1319.0,6.0,1.0,758.3,6.0,1.0,729.3,5.0,1.0,1577.0
6.0,3.0,221.2,6.0,3.0,3234.0,6.0,2.0,2579.0,6.0,2.0,1617.0,6.0,2.0,1934.0,5.0,2.0,4060.0
6.0,4.0,257.4,6.0,4.0,2848.0,6.0,4.0,2467.0,6.0,3.0,1543.0,6.0,3.0,1645.0,5.0,3.0,4209.0
6.0,5.0,239.4,6.0,5.0,3029.0,6.0,5.0,2254.0,6.0,5.0,1062.0,6.0,4.0,1714.0,5.0,4.0,3534.0
