1,岡村 慶太,岡村 慶太.1,2,竹井 貴史,竹井 貴史.1,3,石川 真二,石川 真二.1,4,木下 大將,木下 大將.1,5,大庭 元明,大庭 元明.1,6,宮脇 遼太,宮脇 遼太.1
2.0,3.0,5.8,1.0,3.0,29.9,1.0,2.0,25.4,1.0,2.0,175.8,1.0,2.0,285.0,1.0,2.0,1076.0
2.0,4.0,9.4,1.0,4.0,38.3,1.0,4.0,41.1,1.0,3.0,210.7,1.0,3.0,322.0,1.0,3.0,1251.0
2.0,5.0,19.3,1.0,5.0,59.5,1.0,5.0,62.4,1.0,5.0,260.2,1.0,4.0,525.0,1.0,4.0,1771.0
2.0,6.0,43.8,1.0,6.0,124.0,1.0,6.0,133.8,1.0,6.0,438.7,1.0,6.0,671.0,1.0,5.0,2266.0
3.0,2.0,5.4,3.0,1.0,54.1,2.0,1.0,47.1,2.0,1.0,219.9,2.0,1.0,412.7,2.0,1.0,1472.0
3.0,4.0,10.4,3.0,4.0,102.1,2.0,4.0,95.6,2.0,3.0,262.9,2.0,3.0,539.1,2.0,3.0,1803.0
3.0,5.0,19.6,3.0,5.0,143.3,2.0,5.0,146.0,2.0,5.0,329.6,2.0,4.0,626.9,2.0,4.0,1956.0
3.0,6.0,45.2,3.0,6.0,263.7,2.0,6.0,267.7,2.0,6.0,425.0,2.0,6.0,921.1,2.0,5.0,2534.0
4.0,2.0,20.1,4.0,1.0,78.7,4.0,1.0,117.2,3.0,1.0,319.8,3.0,1.0,450.5,3.0,1.0,1682.0
4.0,3.0,24.7,4.0,3.0,108.3,4.0,2.0,146.0,3.0,2.0,333.2,3.0,2.0,704.1,3.0,2.0,1871.0
4.0,5.0,50.4,4.0,5.0,114.0,4.0,5.0,261.3,3.0,5.0,618.5,3.0,4.0,907.2,3.0,4.0,2492.0
4.0,6.0,91.0,4.0,6.0,184.2,4.0,6.0,395.9,3.0,6.0,859.2,3.0,6.0,1294.0,3.0,5.0,2492.0
5.0,2.0,55.6,5.0,1.0,155.4,5.0,1.0,254.6,5.0,1.0,445.5,4.0,1.0,781.0,4.0,1.0,2412.0
5.0,3.0,57.7,5.0,3.0,204.3,5.0,2.0,381.3,5.0,2.0,569.8,4.0,2.0,996.0,4.0,2.0,2301.0
5.0,4.0,97.1,5.0,4.0,204.0,5.0,4.0,448.8,5.0,3.0,721.0,4.0,3.0,939.9,4.0,3.0,3095.0
5.0,6.0,157.9,5.0,6.0,308.7,5.0,6.0,734.2,5.0,6.0,648.6,4.0,6.0,1413.0,4.0,5.0,2364.0
6.0,2.0,170.5,6.0,1.0,535.2,6.0,1.0,674.8,6.0,1.0,1155.0,6.0,1.0,1400.0,5.0,1.0,2780.0
6.0,3.0,168.8,6.0,3.0,728.0,6.0,2.0,910.0,6.0,2.0,1074.0,6.0,2.0,1711.0,5.0,2.0,3018.0
6.0,4.0,257.8,6.0,4.0,622.3,6.0,4.0,1163.0,6.0,3.0,1390.0,6.0,3.0,1836.0,5.0,3.0,3128.0
6.0,5.0,293.5,6.0,5.0,685.6,6.0,5.0,1218.0,6.0,5.0,1230.0,6.0,4.0,1906.0,5.0,4.0,2973.0
