1,江夏 満,江夏 満.1,2,溝口　海義也,溝口　海義也.1,3,横田 貴満,横田 貴満.1,4,正木 聖賢,正木 聖賢.1,5,広次 修,広次 修.1,6,高山 秀雄,高山 秀雄.1
2.0,3.0,5.5,1.0,3.0,41.0,1.0,2.0,48.3,1.0,2.0,123.3,1.0,2.0,114.2,1.0,2.0,1349.0
2.0,4.0,7.8,1.0,4.0,50.9,1.0,4.0,64.3,1.0,3.0,185.4,1.0,3.0,124.0,1.0,3.0,1703.0
2.0,5.0,12.5,1.0,5.0,75.6,1.0,5.0,61.0,1.0,5.0,234.1,1.0,4.0,265.7,1.0,4.0,2052.0
2.0,6.0,63.0,1.0,6.0,255.4,1.0,6.0,247.8,1.0,6.0,521.0,1.0,6.0,184.8,1.0,5.0,1512.0
3.0,2.0,6.4,3.0,1.0,101.9,2.0,1.0,109.9,2.0,1.0,213.1,2.0,1.0,209.0,2.0,1.0,2094.0
3.0,4.0,9.8,3.0,4.0,215.6,2.0,4.0,225.3,2.0,3.0,432.7,2.0,3.0,340.3,2.0,3.0,2781.0
3.0,5.0,11.7,3.0,5.0,226.4,2.0,5.0,229.9,2.0,5.0,558.1,2.0,4.0,608.3,2.0,4.0,2503.0
3.0,6.0,66.6,3.0,6.0,589.7,2.0,6.0,538.9,2.0,6.0,923.8,2.0,6.0,374.4,2.0,5.0,2766.0
4.0,2.0,16.7,4.0,1.0,161.5,4.0,1.0,213.3,3.0,1.0,390.5,3.0,1.0,224.7,3.0,1.0,2962.0
4.0,3.0,21.8,4.0,3.0,305.4,4.0,2.0,299.8,3.0,2.0,510.9,3.0,2.0,368.9,3.0,2.0,2998.0
4.0,5.0,37.0,4.0,5.0,398.3,4.0,5.0,417.2,3.0,5.0,861.7,3.0,4.0,626.6,3.0,4.0,3453.0
4.0,6.0,104.6,4.0,6.0,739.5,4.0,6.0,910.3,3.0,6.0,1521.0,3.0,6.0,453.5,3.0,5.0,3053.0
5.0,2.0,30.8,5.0,1.0,271.6,5.0,1.0,158.0,5.0,1.0,461.4,4.0,1.0,589.7,4.0,1.0,2691.0
5.0,3.0,35.5,5.0,3.0,355.8,5.0,2.0,241.6,5.0,2.0,711.2,4.0,2.0,930.6,4.0,2.0,2766.0
5.0,4.0,64.8,5.0,4.0,496.2,5.0,4.0,407.0,5.0,3.0,881.5,4.0,3.0,1032.0,4.0,3.0,3851.0
5.0,6.0,104.8,5.0,6.0,709.2,5.0,6.0,374.2,5.0,6.0,915.3,4.0,6.0,1038.0,4.0,5.0,2962.0
6.0,2.0,240.7,6.0,1.0,1169.0,6.0,1.0,915.3,6.0,1.0,1455.0,6.0,1.0,310.2,5.0,1.0,1426.0
6.0,3.0,280.1,6.0,3.0,1508.0,6.0,2.0,1159.0,6.0,2.0,1589.0,6.0,2.0,397.6,5.0,2.0,1794.0
6.0,4.0,323.2,6.0,4.0,1620.0,6.0,4.0,1468.0,6.0,3.0,2235.0,6.0,3.0,470.5,5.0,3.0,1882.0
6.0,5.0,284.8,6.0,5.0,1368.0,6.0,5.0,932.4,6.0,5.0,1503.0,6.0,4.0,625.8,5.0,4.0,2112.0
