1,土井 歩夢,土井 歩夢.1,2,幸野 史明,幸野 史明.1,3,檀 将太,檀 将太.1,4,松尾 宣邦,松尾 宣邦.1,5,植田 太一,植田 太一.1,6,花田 凱成,花田 凱成.1
2.0,3.0,32.9,1.0,3.0,118.9,1.0,2.0,128.2,1.0,2.0,114.9,1.0,2.0,24.4,1.0,2.0,428.5
2.0,4.0,24.6,1.0,4.0,97.9,1.0,4.0,135.7,1.0,3.0,196.3,1.0,3.0,41.0,1.0,3.0,572.0
2.0,5.0,15.1,1.0,5.0,58.6,1.0,5.0,72.5,1.0,5.0,68.6,1.0,4.0,31.5,1.0,4.0,507.0
2.0,6.0,66.4,1.0,6.0,242.4,1.0,6.0,232.6,1.0,6.0,171.3,1.0,6.0,30.7,1.0,5.0,290.2
3.0,2.0,36.8,3.0,1.0,206.6,2.0,1.0,174.5,2.0,1.0,177.0,2.0,1.0,52.9,2.0,1.0,706.2
3.0,4.0,46.7,3.0,4.0,229.9,2.0,4.0,209.4,2.0,3.0,310.3,2.0,3.0,100.6,2.0,3.0,1305.0
3.0,5.0,25.1,3.0,5.0,164.9,2.0,5.0,133.8,2.0,5.0,124.0,2.0,4.0,66.0,2.0,4.0,941.6
3.0,6.0,97.2,3.0,6.0,384.5,2.0,6.0,311.7,2.0,6.0,318.2,2.0,6.0,79.2,2.0,5.0,579.2
4.0,2.0,45.4,4.0,1.0,138.2,4.0,1.0,205.3,3.0,1.0,370.1,3.0,1.0,78.2,3.0,1.0,1214.0
4.0,3.0,61.6,4.0,3.0,232.2,4.0,2.0,259.2,3.0,2.0,402.4,3.0,2.0,110.6,3.0,2.0,1281.0
4.0,5.0,26.9,4.0,5.0,108.2,4.0,5.0,113.4,3.0,5.0,196.9,3.0,4.0,91.0,3.0,4.0,1318.0
4.0,6.0,97.2,4.0,6.0,309.6,4.0,6.0,336.8,3.0,6.0,520.4,3.0,6.0,94.0,3.0,5.0,732.4
5.0,2.0,14.0,5.0,1.0,89.4,5.0,1.0,84.5,5.0,1.0,60.8,4.0,1.0,48.8,4.0,1.0,549.3
5.0,3.0,26.3,5.0,3.0,162.6,5.0,2.0,120.6,5.0,2.0,79.8,4.0,2.0,60.1,4.0,2.0,954.6
5.0,4.0,19.3,5.0,4.0,106.8,5.0,4.0,97.3,5.0,3.0,124.0,4.0,3.0,78.9,4.0,3.0,662.3
5.0,6.0,34.3,5.0,6.0,196.6,5.0,6.0,120.6,5.0,6.0,83.4,4.0,6.0,57.8,4.0,5.0,337.6
6.0,2.0,206.3,6.0,1.0,480.6,6.0,1.0,485.7,6.0,1.0,242.0,6.0,1.0,39.9,5.0,1.0,159.1
6.0,3.0,260.2,6.0,3.0,910.7,6.0,2.0,640.8,6.0,2.0,489.1,6.0,2.0,64.8,5.0,2.0,221.8
6.0,4.0,216.6,6.0,4.0,685.2,6.0,4.0,591.5,6.0,3.0,438.0,6.0,3.0,67.2,5.0,3.0,247.1
6.0,5.0,111.2,6.0,5.0,438.0,6.0,5.0,284.8,6.0,5.0,172.3,6.0,4.0,65.2,5.0,4.0,204.1
