1,山川　美由紀,山川　美由紀.1,2,石井 裕美,石井 裕美.1,3,中谷 朋子,中谷 朋子.1,4,金田 幸子,金田 幸子.1,5,松本 怜,松本 怜.1,6,小野 桜,小野 桜.1
2.0,3.0,17.7,1.0,3.0,56.2,1.0,2.0,41.4,1.0,2.0,56.8,1.0,2.0,569.6,1.0,2.0,824.7
2.0,4.0,22.5,1.0,4.0,55.3,1.0,4.0,15.9,1.0,3.0,34.9,1.0,3.0,502.1,1.0,3.0,393.7
2.0,5.0,82.9,1.0,5.0,194.8,1.0,5.0,78.9,1.0,5.0,67.5,1.0,4.0,356.5,1.0,4.0,496.9
2.0,6.0,69.6,1.0,6.0,151.9,1.0,6.0,39.5,1.0,6.0,43.1,1.0,6.0,466.6,1.0,5.0,1635.0
3.0,2.0,14.1,3.0,1.0,95.8,2.0,1.0,101.6,2.0,1.0,108.6,2.0,1.0,979.0,2.0,1.0,1277.0
3.0,4.0,6.5,3.0,4.0,101.5,2.0,4.0,88.4,2.0,3.0,132.6,2.0,3.0,1340.0,2.0,3.0,1418.0
3.0,5.0,43.1,3.0,5.0,365.6,2.0,5.0,301.4,2.0,5.0,177.1,2.0,4.0,1191.0,2.0,4.0,1160.0
3.0,6.0,19.8,3.0,6.0,261.5,2.0,6.0,208.3,2.0,6.0,151.6,2.0,6.0,1456.0,2.0,5.0,2963.0
4.0,2.0,19.7,4.0,1.0,106.7,4.0,1.0,28.9,3.0,1.0,48.6,3.0,1.0,817.6,3.0,1.0,461.2
4.0,3.0,11.2,4.0,3.0,120.2,4.0,2.0,66.5,3.0,2.0,109.5,3.0,2.0,1389.0,3.0,2.0,1233.0
4.0,5.0,52.9,4.0,5.0,396.4,4.0,5.0,102.6,3.0,5.0,122.9,3.0,4.0,1028.0,3.0,4.0,511.9
4.0,6.0,27.1,4.0,6.0,232.7,4.0,6.0,46.4,3.0,6.0,65.7,3.0,6.0,1299.0,3.0,5.0,1950.0
5.0,2.0,183.6,5.0,1.0,472.4,5.0,1.0,283.2,5.0,1.0,86.1,4.0,1.0,353.4,4.0,1.0,584.1
5.0,3.0,161.4,5.0,3.0,767.9,5.0,2.0,488.5,5.0,2.0,135.7,4.0,2.0,502.1,4.0,2.0,977.8
5.0,4.0,138.2,5.0,4.0,688.5,5.0,4.0,311.2,5.0,3.0,135.8,4.0,3.0,709.8,4.0,3.0,564.5
5.0,6.0,212.3,5.0,6.0,944.9,5.0,6.0,398.7,5.0,6.0,85.4,4.0,6.0,347.9,4.0,5.0,1539.0
6.0,2.0,203.8,6.0,1.0,536.2,6.0,1.0,148.2,6.0,1.0,86.8,6.0,1.0,1260.0,5.0,1.0,2580.0
6.0,3.0,104.8,6.0,3.0,775.8,6.0,2.0,349.0,6.0,2.0,153.9,6.0,2.0,1748.0,5.0,2.0,3284.0
6.0,4.0,117.9,6.0,4.0,623.9,6.0,4.0,150.1,6.0,3.0,108.3,6.0,3.0,1479.0,5.0,3.0,2320.0
6.0,5.0,336.0,6.0,5.0,1198.0,6.0,5.0,503.1,6.0,5.0,127.7,6.0,4.0,1090.0,5.0,4.0,2067.0
