1,松本 博昭,松本 博昭.1,2,中村 将隆,中村 将隆.1,3,松山 将吾,松山 将吾.1,4,伏田 裕隆,伏田 裕隆.1,5,山崎 哲司,山崎 哲司.1,6,魚谷 香織,魚谷 香織.1
2.0,3.0,26.8,1.0,3.0,103.3,1.0,2.0,94.3,1.0,2.0,50.2,1.0,2.0,74.2,1.0,2.0,288.8
2.0,4.0,64.5,1.0,4.0,159.9,1.0,4.0,53.5,1.0,3.0,38.0,1.0,3.0,43.9,1.0,3.0,183.0
2.0,5.0,25.5,1.0,5.0,88.1,1.0,5.0,27.1,1.0,5.0,40.5,1.0,4.0,71.7,1.0,4.0,762.8
2.0,6.0,77.7,1.0,6.0,213.2,1.0,6.0,58.2,1.0,6.0,83.1,1.0,6.0,76.7,1.0,5.0,242.8
3.0,2.0,20.1,3.0,1.0,227.2,2.0,1.0,261.2,2.0,1.0,77.7,2.0,1.0,164.6,2.0,1.0,1194.0
3.0,4.0,19.5,3.0,4.0,441.4,2.0,4.0,414.9,2.0,3.0,95.0,2.0,3.0,220.7,2.0,3.0,1549.0
3.0,5.0,7.9,3.0,5.0,258.0,2.0,5.0,263.2,2.0,5.0,98.7,2.0,4.0,341.1,2.0,4.0,1634.0
3.0,6.0,21.0,3.0,6.0,558.2,2.0,6.0,410.3,2.0,6.0,195.2,2.0,6.0,310.5,2.0,5.0,1709.0
4.0,2.0,73.4,4.0,1.0,376.6,4.0,1.0,163.3,3.0,1.0,60.6,3.0,1.0,74.3,3.0,1.0,194.5
4.0,3.0,47.3,4.0,3.0,541.9,4.0,2.0,369.1,3.0,2.0,105.8,3.0,2.0,172.7,3.0,2.0,336.1
4.0,5.0,46.3,4.0,5.0,538.9,4.0,5.0,148.3,3.0,5.0,67.6,3.0,4.0,158.0,3.0,4.0,904.3
4.0,6.0,115.3,4.0,6.0,1062.0,4.0,6.0,327.6,3.0,6.0,150.1,3.0,6.0,155.8,3.0,5.0,256.7
5.0,2.0,24.7,5.0,1.0,202.5,5.0,1.0,55.2,5.0,1.0,55.1,4.0,1.0,97.5,4.0,1.0,909.8
5.0,3.0,14.2,5.0,3.0,265.1,5.0,2.0,193.0,5.0,2.0,96.1,4.0,2.0,196.2,4.0,2.0,907.0
5.0,4.0,31.9,5.0,4.0,462.7,5.0,4.0,120.7,5.0,3.0,63.1,4.0,3.0,126.1,4.0,3.0,1122.0
5.0,6.0,33.6,5.0,6.0,472.2,5.0,6.0,98.3,5.0,6.0,104.0,4.0,6.0,153.3,4.0,5.0,975.4
6.0,2.0,168.5,6.0,1.0,941.5,6.0,1.0,128.1,6.0,1.0,180.2,6.0,1.0,164.1,5.0,1.0,490.1
6.0,3.0,98.3,6.0,3.0,1322.0,6.0,2.0,258.0,6.0,2.0,251.0,6.0,2.0,347.1,5.0,2.0,972.2
6.0,4.0,189.3,6.0,4.0,1390.0,6.0,4.0,403.6,6.0,3.0,245.6,6.0,3.0,196.2,5.0,3.0,512.0
6.0,5.0,99.9,6.0,5.0,1234.0,6.0,5.0,150.7,6.0,5.0,206.1,6.0,4.0,233.7,5.0,4.0,780.8
