1,前田 紗希,前田 紗希.1,2,松本 怜,松本 怜.1,3,稲生 夏季,稲生 夏季.1,4,鈴木　祐美子,鈴木　祐美子.1,5,戸敷 晃美,戸敷 晃美.1,6,平田　さやか,平田　さやか.1
2.0,3.0,18.6,1.0,3.0,169.8,1.0,2.0,73.8,1.0,2.0,251.4,1.0,2.0,136.6,1.0,2.0,445.8
2.0,4.0,41.0,1.0,4.0,288.6,1.0,4.0,35.0,1.0,3.0,116.8,1.0,3.0,63.4,1.0,3.0,283.2
2.0,5.0,26.8,1.0,5.0,232.7,1.0,5.0,31.8,1.0,5.0,140.0,1.0,4.0,131.5,1.0,4.0,440.7
2.0,6.0,36.2,1.0,6.0,254.3,1.0,6.0,41.2,1.0,6.0,135.0,1.0,6.0,62.3,1.0,5.0,239.8
3.0,2.0,16.3,3.0,1.0,318.0,2.0,1.0,221.4,2.0,1.0,531.5,2.0,1.0,332.7,2.0,1.0,781.0
3.0,4.0,9.9,3.0,4.0,979.0,2.0,4.0,528.7,2.0,3.0,765.6,2.0,3.0,543.1,2.0,3.0,1357.0
3.0,5.0,7.5,3.0,5.0,813.7,2.0,5.0,514.7,2.0,5.0,703.9,2.0,4.0,972.2,2.0,4.0,1051.0
3.0,6.0,10.4,3.0,6.0,855.6,2.0,6.0,534.8,2.0,6.0,500.7,2.0,6.0,512.4,2.0,5.0,1406.0
4.0,2.0,49.1,4.0,1.0,714.0,4.0,1.0,93.5,3.0,1.0,174.1,3.0,1.0,128.1,3.0,1.0,416.3
4.0,3.0,23.2,4.0,3.0,965.5,4.0,2.0,418.5,3.0,2.0,773.2,3.0,2.0,490.5,3.0,2.0,1344.0
4.0,5.0,35.1,4.0,5.0,1261.0,4.0,5.0,207.3,3.0,5.0,437.7,3.0,4.0,420.0,3.0,4.0,1172.0
4.0,6.0,34.2,4.0,6.0,694.1,4.0,6.0,206.8,3.0,6.0,404.7,3.0,6.0,216.2,3.0,5.0,786.3
5.0,2.0,32.4,5.0,1.0,435.2,5.0,1.0,80.1,5.0,1.0,168.7,4.0,1.0,235.3,4.0,1.0,626.9
5.0,3.0,14.8,5.0,3.0,788.9,5.0,2.0,335.5,5.0,2.0,489.5,4.0,2.0,652.6,4.0,2.0,980.4
5.0,4.0,37.7,5.0,4.0,1370.0,5.0,4.0,221.7,5.0,3.0,330.3,4.0,3.0,420.0,4.0,3.0,1447.0
5.0,6.0,19.7,5.0,6.0,849.3,5.0,6.0,147.5,5.0,6.0,198.5,4.0,6.0,254.6,4.0,5.0,1055.0
6.0,2.0,64.0,6.0,1.0,576.7,6.0,1.0,155.4,6.0,1.0,212.4,6.0,1.0,121.2,5.0,1.0,301.5
6.0,3.0,36.1,6.0,3.0,884.8,6.0,2.0,563.7,6.0,2.0,455.9,6.0,2.0,389.2,5.0,2.0,1140.0
6.0,4.0,63.3,6.0,4.0,791.6,6.0,4.0,373.2,6.0,3.0,412.1,6.0,3.0,208.7,5.0,3.0,705.3
6.0,5.0,41.0,6.0,5.0,1097.0,6.0,5.0,282.0,6.0,5.0,287.0,6.0,4.0,326.1,5.0,4.0,852.4
