1,加藤 優弥,加藤 優弥.1,2,大森 翼,大森 翼.1,3,塚越 海斗,塚越 海斗.1,4,篠原 飛翔,篠原 飛翔.1,5,齊藤 廉,齊藤 廉.1,6,高橋 竜矢,高橋 竜矢.1
2.0,3.0,23.6,1.0,3.0,102.6,1.0,2.0,161.1,1.0,2.0,91.3,1.0,2.0,2002.0,1.0,2.0,44.4
2.0,4.0,18.2,1.0,4.0,58.3,1.0,4.0,94.0,1.0,3.0,119.7,1.0,3.0,1829.0,1.0,3.0,49.4
2.0,5.0,223.8,1.0,5.0,414.7,1.0,5.0,451.8,1.0,5.0,361.9,1.0,4.0,1967.0,1.0,4.0,30.8
2.0,6.0,13.3,1.0,6.0,44.1,1.0,6.0,66.0,1.0,6.0,36.8,1.0,6.0,1446.0,1.0,5.0,218.4
3.0,2.0,28.0,3.0,1.0,201.2,2.0,1.0,297.3,2.0,1.0,142.4,2.0,1.0,2583.0,2.0,1.0,78.3
3.0,4.0,19.0,3.0,4.0,191.6,2.0,4.0,261.9,2.0,3.0,277.3,2.0,3.0,3718.0,2.0,3.0,160.1
3.0,5.0,184.4,3.0,5.0,769.1,2.0,5.0,1098.0,2.0,5.0,608.6,2.0,4.0,3076.0,2.0,4.0,88.8
3.0,6.0,13.8,3.0,6.0,144.8,2.0,6.0,181.1,2.0,6.0,88.1,2.0,6.0,2241.0,2.0,5.0,474.6
4.0,2.0,23.9,4.0,1.0,101.7,4.0,1.0,174.8,3.0,1.0,216.9,3.0,1.0,2603.0,3.0,1.0,109.8
4.0,3.0,28.7,4.0,3.0,192.0,4.0,2.0,302.7,3.0,2.0,382.8,3.0,2.0,4395.0,3.0,2.0,234.3
4.0,5.0,249.5,4.0,5.0,634.9,4.0,5.0,945.3,3.0,5.0,961.4,3.0,4.0,4395.0,3.0,4.0,151.0
4.0,6.0,11.6,4.0,6.0,67.7,4.0,6.0,134.4,3.0,6.0,160.1,3.0,6.0,2623.0,3.0,5.0,700.6
5.0,2.0,616.4,5.0,1.0,1316.0,5.0,1.0,1306.0,5.0,1.0,767.4,4.0,1.0,2302.0,4.0,1.0,37.7
5.0,3.0,551.1,5.0,3.0,1781.0,5.0,2.0,1990.0,5.0,2.0,827.4,4.0,2.0,2400.0,4.0,2.0,63.4
5.0,4.0,667.5,5.0,4.0,1416.0,5.0,4.0,2026.0,5.0,3.0,1081.0,4.0,3.0,3223.0,4.0,3.0,98.8
5.0,6.0,379.8,5.0,6.0,1013.0,5.0,6.0,1235.0,5.0,6.0,405.3,4.0,6.0,1332.0,4.0,5.0,205.9
6.0,2.0,14.4,6.0,1.0,66.8,6.0,1.0,94.5,6.0,1.0,28.3,6.0,1.0,1650.0,5.0,1.0,613.0
6.0,3.0,17.6,6.0,3.0,143.2,6.0,2.0,184.3,6.0,2.0,50.5,6.0,2.0,2141.0,5.0,2.0,710.9
6.0,4.0,13.0,6.0,4.0,70.3,6.0,4.0,129.7,6.0,3.0,85.9,6.0,3.0,2488.0,5.0,3.0,1001.0
6.0,5.0,143.7,6.0,5.0,483.4,6.0,5.0,616.4,6.0,5.0,149.1,6.0,4.0,1370.0,5.0,4.0,520.6
