1,村田 修次,村田 修次.1,2,中村 真,中村 真.1,3,塩崎 優司,塩崎 優司.1,4,中村 日向,中村 日向.1,5,佐藤 右京,佐藤 右京.1,6,土井 歩夢,土井 歩夢.1
2.0,3.0,14.1,1.0,3.0,53.0,1.0,2.0,125.7,1.0,2.0,15.3,1.0,2.0,963.2,1.0,2.0,484.4
2.0,4.0,6.6,1.0,4.0,21.1,1.0,4.0,93.2,1.0,3.0,35.6,1.0,3.0,1182.0,1.0,3.0,889.1
2.0,5.0,100.3,1.0,5.0,239.8,1.0,5.0,489.1,1.0,5.0,63.9,1.0,4.0,647.2,1.0,4.0,372.1
2.0,6.0,35.9,1.0,6.0,87.2,1.0,6.0,235.8,1.0,6.0,25.8,1.0,6.0,1139.0,1.0,5.0,2064.0
3.0,2.0,22.2,3.0,1.0,160.5,2.0,1.0,185.9,2.0,1.0,27.4,2.0,1.0,1248.0,2.0,1.0,699.9
3.0,4.0,15.9,3.0,4.0,175.5,2.0,4.0,185.2,2.0,3.0,76.7,2.0,3.0,2222.0,2.0,3.0,1599.0
3.0,5.0,168.0,3.0,5.0,917.3,2.0,5.0,960.9,2.0,5.0,156.5,2.0,4.0,1032.0,2.0,4.0,747.7
3.0,6.0,70.1,3.0,6.0,448.0,2.0,6.0,451.5,2.0,6.0,60.9,2.0,6.0,1917.0,2.0,5.0,3210.0
4.0,2.0,5.8,4.0,1.0,41.9,4.0,1.0,127.2,3.0,1.0,93.6,3.0,1.0,2365.0,3.0,1.0,1644.0
4.0,3.0,11.0,4.0,3.0,118.2,4.0,2.0,166.8,3.0,2.0,123.6,3.0,2.0,2910.0,3.0,2.0,1822.0
4.0,5.0,54.9,4.0,5.0,461.2,4.0,5.0,643.1,3.0,5.0,477.0,3.0,4.0,2931.0,3.0,4.0,1256.0
4.0,6.0,17.6,4.0,6.0,145.1,4.0,6.0,242.8,3.0,6.0,172.2,3.0,6.0,2560.0,3.0,5.0,3580.0
5.0,2.0,298.1,5.0,1.0,823.9,5.0,1.0,1225.0,5.0,1.0,104.1,4.0,1.0,603.8,4.0,1.0,383.4
5.0,3.0,362.1,5.0,3.0,1404.0,5.0,2.0,1276.0,5.0,2.0,143.0,4.0,2.0,769.1,4.0,2.0,510.1
5.0,4.0,246.3,5.0,4.0,981.9,5.0,4.0,1471.0,5.0,3.0,325.9,4.0,3.0,1455.0,4.0,3.0,929.9
5.0,6.0,369.7,5.0,6.0,1721.0,5.0,6.0,1555.0,5.0,6.0,112.5,4.0,6.0,749.1,4.0,5.0,1288.0
6.0,2.0,122.6,6.0,1.0,397.0,6.0,1.0,862.5,6.0,1.0,54.1,6.0,1.0,1664.0,5.0,1.0,3136.0
6.0,3.0,188.1,6.0,3.0,742.2,6.0,2.0,898.9,6.0,2.0,74.3,6.0,2.0,2107.0,5.0,2.0,2974.0
6.0,4.0,97.9,6.0,4.0,367.1,6.0,4.0,692.7,6.0,3.0,171.4,6.0,3.0,2151.0,5.0,3.0,3457.0
6.0,5.0,480.4,6.0,5.0,1806.0,6.0,5.0,1926.0,6.0,5.0,128.9,6.0,4.0,1013.0,5.0,4.0,1814.0
