1,麻生 慎介,麻生 慎介.1,2,石田 勇斗,石田 勇斗.1,3,北村 寧々,北村 寧々.1,4,佐藤 右京,佐藤 右京.1,5,渡辺 空依,渡辺 空依.1,6,川原 正明,川原 正明.1
2.0,3.0,11.9,1.0,3.0,254.4,1.0,2.0,212.4,1.0,2.0,724.6,1.0,2.0,114.7,1.0,2.0,338.2
2.0,4.0,31.4,1.0,4.0,443.3,1.0,4.0,288.9,1.0,3.0,892.1,1.0,3.0,91.8,1.0,3.0,250.4
2.0,5.0,14.2,1.0,5.0,285.5,1.0,5.0,112.9,1.0,5.0,720.3,1.0,4.0,275.6,1.0,4.0,778.4
2.0,6.0,18.6,1.0,6.0,398.9,1.0,6.0,126.0,1.0,6.0,780.1,1.0,6.0,63.6,1.0,5.0,189.1
3.0,2.0,12.7,3.0,1.0,453.7,2.0,1.0,411.9,2.0,1.0,1247.0,2.0,1.0,329.7,2.0,1.0,833.3
3.0,4.0,27.8,3.0,4.0,1138.0,2.0,4.0,1021.0,2.0,3.0,2208.0,2.0,3.0,757.5,2.0,3.0,1880.0
3.0,5.0,6.2,3.0,5.0,907.5,2.0,5.0,658.2,2.0,5.0,1705.0,2.0,4.0,1160.0,2.0,4.0,3081.0
3.0,6.0,8.4,3.0,6.0,1515.0,2.0,6.0,739.2,2.0,6.0,1729.0,2.0,6.0,545.6,2.0,5.0,1553.0
4.0,2.0,53.6,4.0,1.0,930.6,4.0,1.0,765.4,3.0,1.0,1007.0,3.0,1.0,259.1,3.0,1.0,484.3
4.0,3.0,52.9,4.0,3.0,1745.0,4.0,2.0,1202.0,3.0,2.0,2736.0,3.0,2.0,814.7,3.0,2.0,1899.0
4.0,5.0,51.8,4.0,5.0,1815.0,4.0,5.0,1072.0,3.0,5.0,2156.0,3.0,4.0,1171.0,3.0,4.0,2956.0
4.0,6.0,57.7,4.0,6.0,2182.0,4.0,6.0,1111.0,3.0,6.0,2582.0,3.0,6.0,423.8,3.0,5.0,866.8
5.0,2.0,17.2,5.0,1.0,564.9,5.0,1.0,238.3,5.0,1.0,954.8,4.0,1.0,800.5,4.0,1.0,2048.0
5.0,3.0,9.4,5.0,3.0,1226.0,5.0,2.0,650.1,5.0,2.0,1960.0,4.0,2.0,1502.0,4.0,2.0,3525.0
5.0,4.0,50.7,5.0,4.0,1971.0,5.0,4.0,962.3,5.0,3.0,1754.0,4.0,3.0,1615.0,4.0,3.0,2820.0
5.0,6.0,10.3,5.0,6.0,1394.0,5.0,6.0,349.1,5.0,6.0,1368.0,4.0,6.0,1044.0,4.0,5.0,3005.0
6.0,2.0,29.5,6.0,1.0,962.3,6.0,1.0,259.4,6.0,1.0,1547.0,6.0,1.0,107.1,5.0,1.0,273.2
6.0,3.0,19.0,6.0,3.0,2003.0,6.0,2.0,788.5,6.0,2.0,2842.0,6.0,2.0,348.8,5.0,2.0,949.8
6.0,4.0,75.3,6.0,4.0,2460.0,6.0,4.0,1149.0,6.0,3.0,2798.0,6.0,3.0,276.3,5.0,3.0,705.1
6.0,5.0,19.9,6.0,5.0,2025.0,6.0,5.0,392.1,6.0,5.0,2350.0,6.0,4.0,643.2,5.0,4.0,1771.0
