1,盛本 真輔,盛本 真輔.1,2,三苫 晃幸,三苫 晃幸.1,3,宮武 英司,宮武 英司.1,4,笠 雅雄,笠 雅雄.1,5,村田 敦,村田 敦.1,6,宮迫 暢彦,宮迫 暢彦.1
2.0,3.0,5.4,1.0,3.0,11.0,1.0,2.0,47.1,1.0,2.0,150.0,1.0,2.0,427.0,1.0,2.0,220.2
2.0,4.0,10.5,1.0,4.0,20.7,1.0,4.0,105.5,1.0,3.0,238.6,1.0,3.0,549.3,1.0,3.0,380.3
2.0,5.0,32.5,1.0,5.0,48.7,1.0,5.0,166.3,1.0,5.0,328.4,1.0,4.0,924.2,1.0,4.0,428.7
2.0,6.0,16.2,1.0,6.0,24.7,1.0,6.0,112.7,1.0,6.0,205.7,1.0,6.0,541.6,1.0,5.0,588.6
3.0,2.0,11.5,3.0,1.0,19.7,2.0,1.0,52.6,2.0,1.0,188.5,2.0,1.0,603.5,2.0,1.0,252.7
3.0,4.0,24.7,3.0,4.0,45.2,2.0,4.0,124.5,2.0,3.0,270.6,2.0,3.0,837.4,2.0,3.0,250.5
3.0,5.0,63.4,3.0,5.0,81.2,2.0,5.0,187.2,2.0,5.0,461.6,2.0,4.0,1240.0,2.0,4.0,460.6
3.0,6.0,38.6,3.0,6.0,31.4,2.0,6.0,79.1,2.0,6.0,259.5,2.0,6.0,672.8,2.0,5.0,734.0
4.0,2.0,26.3,4.0,1.0,67.5,4.0,1.0,241.0,3.0,1.0,407.9,3.0,1.0,1371.0,3.0,1.0,570.5
4.0,3.0,39.0,4.0,3.0,105.2,4.0,2.0,254.5,3.0,2.0,397.7,3.0,2.0,1226.0,3.0,2.0,341.7
4.0,5.0,123.8,4.0,5.0,243.2,4.0,5.0,610.4,3.0,5.0,1033.0,3.0,4.0,2161.0,3.0,4.0,1147.0
4.0,6.0,60.2,4.0,6.0,111.2,4.0,6.0,343.1,3.0,6.0,589.4,3.0,6.0,1480.0,3.0,5.0,1384.0
5.0,2.0,108.7,5.0,1.0,221.1,5.0,1.0,526.3,5.0,1.0,520.5,4.0,1.0,1166.0,4.0,1.0,631.1
5.0,3.0,153.0,5.0,3.0,305.6,5.0,2.0,501.0,5.0,2.0,550.0,4.0,2.0,1215.0,4.0,2.0,648.3
5.0,4.0,223.8,5.0,4.0,456.2,5.0,4.0,968.1,5.0,3.0,988.2,4.0,3.0,2037.0,4.0,3.0,1212.0
5.0,6.0,175.8,5.0,6.0,313.0,5.0,6.0,552.8,5.0,6.0,522.5,4.0,6.0,1123.0,4.0,5.0,882.3
6.0,2.0,55.9,6.0,1.0,87.7,6.0,1.0,271.1,6.0,1.0,304.5,6.0,1.0,1002.0,5.0,1.0,1236.0
6.0,3.0,95.2,6.0,3.0,94.8,6.0,2.0,182.3,6.0,2.0,337.2,6.0,2.0,884.1,5.0,2.0,1304.0
6.0,4.0,109.2,6.0,4.0,177.9,6.0,4.0,455.2,6.0,3.0,630.2,6.0,3.0,1251.0,5.0,3.0,1627.0
6.0,5.0,218.1,6.0,5.0,305.4,6.0,5.0,512.4,6.0,5.0,526.3,6.0,4.0,1426.0,5.0,4.0,1671.0
