1,木下 大將,木下 大將.1,2,河野 大,河野 大.1,3,奥田 誠,奥田 誠.1,4,廣瀬 真也,廣瀬 真也.1,5,中島 昂章,中島 昂章.1,6,永井 源,永井 源.1
2.0,3.0,12.9,1.0,3.0,55.8,1.0,2.0,255.0,1.0,2.0,97.9,1.0,2.0,137.6,1.0,2.0,80.8
2.0,4.0,10.1,1.0,4.0,39.3,1.0,4.0,404.0,1.0,3.0,301.2,1.0,3.0,455.8,1.0,3.0,370.1
2.0,5.0,8.8,1.0,5.0,29.7,1.0,5.0,431.6,1.0,5.0,109.7,1.0,4.0,282.2,1.0,4.0,231.3
2.0,6.0,8.3,1.0,6.0,24.3,1.0,6.0,316.9,1.0,6.0,82.6,1.0,6.0,138.7,1.0,5.0,144.3
3.0,2.0,27.6,3.0,1.0,206.2,2.0,1.0,393.6,2.0,1.0,135.5,2.0,1.0,198.2,2.0,1.0,118.0
3.0,4.0,46.0,3.0,4.0,395.3,2.0,4.0,770.6,2.0,3.0,461.0,2.0,3.0,751.6,2.0,3.0,664.3
3.0,5.0,54.6,3.0,5.0,366.0,2.0,5.0,750.1,2.0,5.0,157.3,2.0,4.0,393.6,2.0,4.0,329.4
3.0,6.0,46.5,3.0,6.0,261.8,2.0,6.0,607.0,2.0,6.0,125.2,2.0,6.0,205.0,2.0,5.0,206.1
4.0,2.0,19.7,4.0,1.0,125.9,4.0,1.0,750.1,3.0,1.0,753.1,3.0,1.0,910.5,3.0,1.0,859.2
4.0,3.0,62.9,4.0,3.0,486.7,4.0,2.0,917.4,3.0,2.0,912.8,3.0,2.0,1271.0,3.0,2.0,1095.0
4.0,5.0,40.4,4.0,5.0,214.9,4.0,5.0,970.9,3.0,5.0,938.5,3.0,4.0,1173.0,3.0,4.0,1365.0
4.0,6.0,26.2,4.0,6.0,153.9,4.0,6.0,830.0,3.0,6.0,611.1,3.0,6.0,1119.0,3.0,5.0,1531.0
5.0,2.0,25.3,5.0,1.0,97.5,5.0,1.0,884.1,5.0,1.0,110.5,4.0,1.0,239.0,4.0,1.0,309.6
5.0,3.0,84.1,5.0,3.0,420.7,5.0,2.0,892.8,5.0,2.0,129.1,4.0,2.0,251.2,4.0,2.0,334.5
5.0,4.0,68.8,5.0,4.0,275.8,5.0,4.0,1188.0,5.0,3.0,643.3,4.0,3.0,857.2,4.0,3.0,1067.0
5.0,6.0,33.4,5.0,6.0,91.4,5.0,6.0,924.3,5.0,6.0,88.8,4.0,6.0,177.0,4.0,5.0,366.7
6.0,2.0,21.7,6.0,1.0,73.3,6.0,1.0,713.5,6.0,1.0,107.8,6.0,1.0,230.3,5.0,1.0,232.5
6.0,3.0,66.6,6.0,3.0,373.1,6.0,2.0,869.4,6.0,2.0,122.2,6.0,2.0,243.0,5.0,2.0,238.4
6.0,4.0,49.1,6.0,4.0,212.2,6.0,4.0,1054.0,6.0,3.0,426.6,6.0,3.0,742.4,5.0,3.0,1089.0
6.0,5.0,42.3,6.0,5.0,125.8,6.0,5.0,1092.0,6.0,5.0,117.2,6.0,4.0,323.9,5.0,4.0,450.8
