1,安河内 将,安河内 将.1,2,岡部 大輔,岡部 大輔.1,3,植田 太一,植田 太一.1,4,待鳥 雄紀,待鳥 雄紀.1,5,石川 吉鎬,石川 吉鎬.1,6,鈴木 智啓,鈴木 智啓.1
2.0,3.0,10.2,1.0,3.0,59.9,1.0,2.0,36.2,1.0,2.0,155.4,1.0,2.0,365.0,1.0,2.0,1167.0
2.0,4.0,15.7,1.0,4.0,79.3,1.0,4.0,25.6,1.0,3.0,111.1,1.0,3.0,211.6,1.0,3.0,1065.0
2.0,5.0,24.0,1.0,5.0,109.8,1.0,5.0,28.2,1.0,5.0,106.7,1.0,4.0,337.4,1.0,4.0,1238.0
2.0,6.0,77.7,1.0,6.0,293.9,1.0,6.0,104.8,1.0,6.0,221.3,1.0,6.0,451.9,1.0,5.0,1302.0
3.0,2.0,8.9,3.0,1.0,126.9,2.0,1.0,62.9,2.0,1.0,304.4,2.0,1.0,706.1,2.0,1.0,1848.0
3.0,4.0,7.5,3.0,4.0,268.9,2.0,4.0,74.5,2.0,3.0,470.4,2.0,3.0,1016.0,2.0,3.0,2106.0
3.0,5.0,9.1,3.0,5.0,307.8,2.0,5.0,74.9,2.0,5.0,534.2,2.0,4.0,1467.0,2.0,4.0,3391.0
3.0,6.0,39.8,3.0,6.0,796.6,2.0,6.0,203.1,2.0,6.0,879.5,2.0,6.0,1963.0,2.0,5.0,3355.0
4.0,2.0,22.6,4.0,1.0,256.9,4.0,1.0,48.7,3.0,1.0,147.8,3.0,1.0,291.4,3.0,1.0,1323.0
4.0,3.0,17.1,4.0,3.0,445.0,4.0,2.0,71.9,3.0,2.0,333.5,3.0,2.0,718.1,3.0,2.0,2297.0
4.0,5.0,29.3,4.0,5.0,613.8,4.0,5.0,47.3,3.0,5.0,185.7,3.0,4.0,655.7,3.0,4.0,2526.0
4.0,6.0,67.8,4.0,6.0,1253.0,4.0,6.0,123.4,3.0,6.0,374.5,3.0,6.0,706.9,3.0,5.0,1312.0
5.0,2.0,41.1,5.0,1.0,385.7,5.0,1.0,63.1,5.0,1.0,182.0,4.0,1.0,520.2,4.0,1.0,1664.0
5.0,3.0,25.4,5.0,3.0,687.0,5.0,2.0,100.3,5.0,2.0,378.8,4.0,2.0,1022.0,4.0,2.0,3154.0
5.0,4.0,49.5,5.0,4.0,989.2,5.0,4.0,79.6,5.0,3.0,290.7,4.0,3.0,745.1,4.0,3.0,2698.0
5.0,6.0,82.0,5.0,6.0,1585.0,5.0,6.0,136.4,5.0,6.0,339.4,4.0,6.0,933.9,4.0,5.0,2217.0
6.0,2.0,218.8,6.0,1.0,1091.0,6.0,1.0,327.7,6.0,1.0,578.0,6.0,1.0,938.0,5.0,1.0,1776.0
6.0,3.0,161.3,6.0,3.0,2013.0,6.0,2.0,569.7,6.0,2.0,1150.0,6.0,2.0,2000.0,5.0,2.0,3218.0
6.0,4.0,205.6,6.0,4.0,2383.0,6.0,4.0,475.7,6.0,3.0,947.8,6.0,3.0,1011.0,5.0,3.0,1605.0
6.0,5.0,204.3,6.0,5.0,2448.0,6.0,5.0,373.4,6.0,5.0,714.9,6.0,4.0,1393.0,5.0,4.0,2331.0
