1,山口 広樹,山口 広樹.1,2,谷川 将太,谷川 将太.1,3,仲本 舜,仲本 舜.1,4,齊藤 大将,齊藤 大将.1,5,品川　二千翔,品川　二千翔.1,6,鐘ヶ江　真司,鐘ヶ江　真司.1
2.0,3.0,8.1,1.0,3.0,42.1,1.0,2.0,84.5,1.0,2.0,96.3,1.0,2.0,50.5,1.0,2.0,2068.0
2.0,4.0,9.4,1.0,4.0,39.1,1.0,4.0,108.0,1.0,3.0,193.5,1.0,3.0,86.0,1.0,3.0,2422.0
2.0,5.0,5.9,1.0,5.0,25.0,1.0,5.0,73.6,1.0,5.0,84.9,1.0,4.0,78.0,1.0,4.0,3174.0
2.0,6.0,264.8,1.0,6.0,527.5,1.0,6.0,650.5,1.0,6.0,669.4,1.0,6.0,487.0,1.0,5.0,2272.0
3.0,2.0,15.6,3.0,1.0,100.0,2.0,1.0,129.1,2.0,1.0,157.7,2.0,1.0,75.7,2.0,1.0,2454.0
3.0,4.0,22.9,3.0,4.0,183.5,2.0,4.0,226.7,2.0,3.0,324.6,2.0,3.0,170.3,2.0,3.0,3540.0
3.0,5.0,15.9,3.0,5.0,127.3,2.0,5.0,156.4,2.0,5.0,157.4,2.0,4.0,147.5,2.0,4.0,3609.0
3.0,6.0,339.6,3.0,6.0,1704.0,2.0,6.0,1405.0,2.0,6.0,1203.0,2.0,6.0,739.3,2.0,5.0,2969.0
4.0,2.0,21.9,4.0,1.0,105.3,4.0,1.0,176.3,3.0,1.0,297.4,3.0,1.0,140.5,3.0,1.0,3540.0
4.0,3.0,35.0,4.0,3.0,210.4,4.0,2.0,252.1,3.0,2.0,383.5,3.0,2.0,196.9,3.0,2.0,3917.0
4.0,5.0,25.6,4.0,5.0,122.7,4.0,5.0,184.6,3.0,5.0,324.1,3.0,4.0,265.6,3.0,4.0,4602.0
4.0,6.0,475.7,4.0,6.0,1102.0,4.0,6.0,1334.0,3.0,6.0,1704.0,3.0,6.0,1089.0,3.0,5.0,4602.0
5.0,2.0,12.7,5.0,1.0,60.8,5.0,1.0,111.9,5.0,1.0,86.6,4.0,1.0,109.6,4.0,1.0,3409.0
5.0,3.0,22.1,5.0,3.0,127.4,5.0,2.0,161.9,5.0,2.0,105.5,4.0,2.0,144.6,4.0,2.0,3609.0
5.0,4.0,24.9,5.0,4.0,113.4,5.0,4.0,185.5,5.0,3.0,236.9,4.0,3.0,250.1,4.0,3.0,3347.0
5.0,6.0,296.9,5.0,6.0,796.9,5.0,6.0,1219.0,5.0,6.0,474.4,4.0,6.0,669.4,4.0,5.0,3473.0
6.0,2.0,939.3,6.0,1.0,1770.0,6.0,1.0,1822.0,6.0,1.0,1804.0,6.0,1.0,1115.0,5.0,1.0,2668.0
6.0,3.0,1006.0,6.0,3.0,2521.0,6.0,2.0,2454.0,6.0,2.0,2001.0,6.0,2.0,1509.0,5.0,2.0,3120.0
6.0,4.0,1089.0,6.0,4.0,2191.0,6.0,4.0,2330.0,6.0,3.0,2191.0,6.0,3.0,1658.0,5.0,3.0,4281.0
6.0,5.0,948.9,6.0,5.0,1704.0,6.0,5.0,2487.0,6.0,5.0,1643.0,6.0,4.0,1534.0,5.0,4.0,3229.0
