1,岡瀬 正人,岡瀬 正人.1,2,中田 元泰,中田 元泰.1,3,岩崎 正哉,岩崎 正哉.1,4,木山 誠一,木山 誠一.1,5,嶋田 貴支,嶋田 貴支.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,4.5,1.0,3.0,6.2,1.0,2.0,38.6,1.0,2.0,189.2,1.0,2.0,247.2,1.0,2.0,1538.0
2.0,4.0,16.2,1.0,4.0,20.9,1.0,4.0,119.7,1.0,3.0,321.7,1.0,3.0,374.6,1.0,3.0,2754.0
2.0,5.0,12.7,1.0,5.0,16.2,1.0,5.0,87.5,1.0,5.0,245.1,1.0,4.0,572.7,1.0,4.0,2981.0
2.0,6.0,124.9,1.0,6.0,139.4,1.0,6.0,375.1,1.0,6.0,691.9,1.0,6.0,936.0,1.0,5.0,4132.0
3.0,2.0,9.1,3.0,1.0,15.2,2.0,1.0,41.2,2.0,1.0,187.5,2.0,1.0,272.1,2.0,1.0,1634.0
3.0,4.0,35.2,3.0,4.0,39.0,2.0,4.0,98.0,2.0,3.0,278.9,2.0,3.0,312.6,2.0,3.0,2277.0
3.0,5.0,26.8,3.0,5.0,27.8,2.0,5.0,74.0,2.0,5.0,244.7,2.0,4.0,539.6,2.0,4.0,2313.0
3.0,6.0,194.9,3.0,6.0,168.1,2.0,6.0,381.5,2.0,6.0,703.7,2.0,6.0,977.1,2.0,5.0,2191.0
4.0,2.0,52.2,4.0,1.0,88.3,4.0,1.0,308.0,3.0,1.0,591.5,3.0,1.0,584.3,3.0,1.0,3856.0
4.0,3.0,80.8,4.0,3.0,109.9,4.0,2.0,267.5,3.0,2.0,527.8,3.0,2.0,425.9,3.0,2.0,2515.0
4.0,5.0,132.6,4.0,5.0,122.9,4.0,5.0,409.6,3.0,5.0,876.5,3.0,4.0,1345.0,3.0,4.0,4382.0
4.0,6.0,401.7,4.0,6.0,376.1,4.0,6.0,945.2,3.0,6.0,1830.0,3.0,6.0,2559.0,3.0,5.0,4449.0
5.0,2.0,47.0,5.0,1.0,69.4,5.0,1.0,190.5,5.0,1.0,333.6,4.0,1.0,610.2,4.0,1.0,1967.0
5.0,3.0,68.2,5.0,3.0,78.7,5.0,2.0,180.5,5.0,2.0,315.7,4.0,2.0,539.6,4.0,2.0,2537.0
5.0,4.0,166.5,5.0,4.0,161.0,5.0,4.0,436.9,5.0,3.0,626.0,4.0,3.0,977.1,4.0,3.0,4591.0
5.0,6.0,395.6,5.0,6.0,410.8,5.0,6.0,1095.0,5.0,6.0,619.3,4.0,6.0,1000.0,4.0,5.0,2158.0
6.0,2.0,417.3,6.0,1.0,632.9,6.0,1.0,1701.0,6.0,1.0,1129.0,6.0,1.0,2653.0,5.0,1.0,3661.0
6.0,3.0,606.3,6.0,3.0,807.9,6.0,2.0,1417.0,6.0,2.0,1156.0,6.0,2.0,1866.0,5.0,2.0,2863.0
6.0,4.0,660.3,6.0,4.0,881.8,6.0,4.0,1994.0,6.0,3.0,2008.0,6.0,3.0,3805.0,5.0,3.0,4820.0
6.0,5.0,915.3,6.0,5.0,714.1,6.0,5.0,2191.0,6.0,5.0,1121.0,6.0,4.0,1796.0,5.0,4.0,2351.0
