1,樋口 亮,樋口 亮.1,2,高濱 芳久,高濱 芳久.1,3,相原 利章,相原 利章.1,4,松田 隆司,松田 隆司.1,5,後藤 隼之,後藤 隼之.1,6,吉村 正明,吉村 正明.1
2.0,3.0,10.5,1.0,3.0,77.6,1.0,2.0,103.6,1.0,2.0,160.8,1.0,2.0,340.6,1.0,2.0,253.8
2.0,4.0,13.9,1.0,4.0,97.8,1.0,4.0,64.1,1.0,3.0,111.1,1.0,3.0,353.6,1.0,3.0,126.7
2.0,5.0,23.5,1.0,5.0,145.9,1.0,5.0,93.8,1.0,5.0,185.1,1.0,4.0,406.9,1.0,4.0,215.2
2.0,6.0,21.1,1.0,6.0,100.7,1.0,6.0,71.9,1.0,6.0,94.1,1.0,6.0,290.5,1.0,5.0,379.9
3.0,2.0,10.2,3.0,1.0,301.6,2.0,1.0,239.1,2.0,1.0,301.6,2.0,1.0,773.1,2.0,1.0,549.0
3.0,4.0,7.9,3.0,4.0,535.2,2.0,4.0,407.7,2.0,3.0,838.8,2.0,3.0,1252.0,2.0,3.0,1079.0
3.0,5.0,17.2,3.0,5.0,683.4,2.0,5.0,449.1,2.0,5.0,788.9,2.0,4.0,1537.0,2.0,4.0,1032.0
3.0,6.0,11.8,3.0,6.0,603.7,2.0,6.0,373.2,2.0,6.0,552.6,2.0,6.0,1032.0,2.0,5.0,1305.0
4.0,2.0,17.5,4.0,1.0,368.4,4.0,1.0,144.7,3.0,1.0,219.1,3.0,1.0,797.8,3.0,1.0,328.5
4.0,3.0,13.8,4.0,3.0,755.2,4.0,2.0,362.4,3.0,2.0,794.8,3.0,2.0,1443.0,3.0,2.0,971.2
4.0,5.0,29.1,4.0,5.0,1010.0,4.0,5.0,258.8,3.0,5.0,654.9,3.0,4.0,1443.0,3.0,4.0,557.0
4.0,6.0,17.5,4.0,6.0,616.9,4.0,6.0,184.3,3.0,6.0,375.6,3.0,6.0,1128.0,3.0,5.0,1185.0
5.0,2.0,45.9,5.0,1.0,579.8,5.0,1.0,307.3,5.0,1.0,291.1,4.0,1.0,705.0,4.0,1.0,376.6
5.0,3.0,41.8,5.0,3.0,1099.0,5.0,2.0,533.2,5.0,2.0,648.9,4.0,2.0,1489.0,4.0,2.0,887.9
5.0,4.0,57.3,5.0,4.0,1326.0,5.0,4.0,431.3,5.0,3.0,687.9,4.0,3.0,1453.0,4.0,3.0,678.0
5.0,6.0,41.3,5.0,6.0,984.7,5.0,6.0,372.9,5.0,6.0,340.9,4.0,6.0,781.6,4.0,5.0,1226.0
6.0,2.0,44.7,6.0,1.0,408.1,6.0,1.0,220.2,6.0,1.0,205.9,6.0,1.0,546.9,5.0,1.0,817.8
6.0,3.0,29.8,6.0,3.0,1015.0,6.0,2.0,578.2,6.0,2.0,458.8,6.0,2.0,1066.0,5.0,2.0,1543.0
6.0,4.0,38.5,6.0,4.0,926.7,6.0,4.0,337.9,6.0,3.0,423.5,6.0,3.0,1131.0,5.0,3.0,1438.0
6.0,5.0,55.0,6.0,5.0,1297.0,6.0,5.0,482.3,6.0,5.0,421.9,6.0,4.0,1045.0,5.0,4.0,1387.0
