1,深川　麻奈美,深川　麻奈美.1,2,小川 広大,小川 広大.1,3,松尾 宣邦,松尾 宣邦.1,4,池永 太,池永 太.1,5,山田 丈,山田 丈.1,6,今井 貴士,今井 貴士.1
2.0,3.0,94.4,1.0,3.0,314.0,1.0,2.0,648.6,1.0,2.0,37.1,1.0,2.0,327.1,1.0,2.0,212.1
2.0,4.0,35.0,1.0,4.0,87.0,1.0,4.0,374.3,1.0,3.0,87.8,1.0,3.0,623.5,1.0,3.0,489.5
2.0,5.0,76.4,1.0,5.0,160.0,1.0,5.0,669.2,1.0,5.0,19.3,1.0,4.0,140.6,1.0,4.0,85.8
2.0,6.0,67.1,1.0,6.0,138.3,1.0,6.0,617.7,1.0,6.0,14.6,1.0,6.0,149.7,1.0,5.0,170.9
3.0,2.0,121.5,3.0,1.0,575.6,2.0,1.0,770.1,2.0,1.0,75.7,2.0,1.0,504.9,2.0,1.0,324.3
3.0,4.0,75.6,3.0,4.0,516.5,2.0,4.0,647.4,2.0,3.0,218.1,2.0,3.0,1240.0,2.0,3.0,822.7
3.0,5.0,131.8,3.0,5.0,869.3,2.0,5.0,1128.0,2.0,5.0,56.7,2.0,4.0,288.7,2.0,4.0,165.2
3.0,6.0,157.1,3.0,6.0,649.9,2.0,6.0,924.1,2.0,6.0,42.5,2.0,6.0,333.3,2.0,5.0,330.7
4.0,2.0,24.5,4.0,1.0,109.9,4.0,1.0,406.4,3.0,1.0,215.9,3.0,1.0,1282.0,3.0,1.0,1116.0
4.0,3.0,51.7,4.0,3.0,305.2,4.0,2.0,458.9,3.0,2.0,307.7,3.0,2.0,1519.0,3.0,2.0,1244.0
4.0,5.0,18.2,4.0,5.0,121.9,4.0,5.0,414.9,3.0,5.0,165.6,3.0,4.0,805.0,3.0,4.0,643.7
4.0,6.0,14.6,4.0,6.0,69.2,4.0,6.0,285.3,3.0,6.0,130.5,3.0,6.0,892.3,3.0,5.0,1124.0
5.0,2.0,115.1,5.0,1.0,361.9,5.0,1.0,1034.0,5.0,1.0,22.4,4.0,1.0,93.3,4.0,1.0,59.6
5.0,3.0,180.0,5.0,3.0,1006.0,5.0,2.0,1371.0,5.0,2.0,41.6,4.0,2.0,139.9,4.0,2.0,86.1
5.0,4.0,51.6,5.0,4.0,233.1,5.0,4.0,699.8,5.0,3.0,96.0,4.0,3.0,313.2,4.0,3.0,275.3
5.0,6.0,72.4,5.0,6.0,251.7,5.0,6.0,894.7,5.0,6.0,11.6,4.0,6.0,49.7,4.0,5.0,50.4
6.0,2.0,94.3,6.0,1.0,276.9,6.0,1.0,1116.0,6.0,1.0,15.3,6.0,1.0,166.2,5.0,1.0,212.8
6.0,3.0,202.2,6.0,3.0,707.1,6.0,2.0,1349.0,6.0,2.0,26.7,6.0,2.0,261.0,5.0,2.0,304.9
6.0,4.0,38.4,6.0,4.0,136.8,6.0,4.0,577.5,6.0,3.0,79.9,6.0,3.0,565.9,5.0,3.0,704.2
6.0,5.0,72.1,6.0,5.0,252.4,6.0,5.0,1091.0,6.0,5.0,11.6,6.0,4.0,78.1,5.0,4.0,87.2
