1,梶野 学志,梶野 学志.1,2,佐藤　謙史朗,佐藤　謙史朗.1,3,福嶋 智之,福嶋 智之.1,4,森 竜也,森 竜也.1,5,北中 元樹,北中 元樹.1,6,大神 康司,大神 康司.1
2.0,3.0,23.5,1.0,3.0,87.0,1.0,2.0,85.5,1.0,2.0,338.4,1.0,2.0,93.0,1.0,2.0,73.4
2.0,4.0,47.4,1.0,4.0,149.8,1.0,4.0,84.5,1.0,3.0,290.6,1.0,3.0,83.5,1.0,3.0,58.7
2.0,5.0,15.7,1.0,5.0,88.6,1.0,5.0,71.7,1.0,5.0,452.5,1.0,4.0,171.7,1.0,4.0,136.7
2.0,6.0,15.5,1.0,6.0,70.4,1.0,6.0,67.0,1.0,6.0,340.8,1.0,6.0,57.7,1.0,5.0,56.9
3.0,2.0,30.0,3.0,1.0,159.0,2.0,1.0,118.8,2.0,1.0,684.0,2.0,1.0,196.4,2.0,1.0,137.1
3.0,4.0,42.9,3.0,4.0,345.0,2.0,4.0,219.0,2.0,3.0,790.6,2.0,3.0,332.1,2.0,3.0,267.3
3.0,5.0,23.8,3.0,5.0,252.4,2.0,5.0,207.4,2.0,5.0,1025.0,2.0,4.0,591.7,2.0,4.0,417.2
3.0,6.0,20.8,3.0,6.0,274.2,2.0,6.0,214.1,2.0,6.0,784.2,2.0,6.0,238.7,2.0,5.0,240.8
4.0,2.0,94.6,4.0,1.0,377.0,4.0,1.0,107.7,3.0,1.0,308.0,3.0,1.0,167.1,3.0,1.0,116.8
4.0,3.0,89.0,4.0,3.0,543.9,4.0,2.0,175.6,3.0,2.0,474.0,3.0,2.0,317.2,3.0,2.0,256.2
4.0,5.0,87.9,4.0,5.0,736.9,4.0,5.0,174.4,3.0,5.0,438.3,3.0,4.0,401.8,3.0,4.0,261.6
4.0,6.0,72.6,4.0,6.0,634.0,4.0,6.0,156.6,3.0,6.0,404.7,3.0,6.0,210.3,3.0,5.0,185.3
5.0,2.0,15.5,5.0,1.0,173.2,5.0,1.0,135.3,5.0,1.0,774.9,4.0,1.0,500.7,4.0,1.0,342.0
5.0,3.0,18.5,5.0,3.0,304.6,5.0,2.0,261.6,5.0,2.0,1201.0,4.0,2.0,852.7,4.0,2.0,582.0
5.0,4.0,41.8,5.0,4.0,507.2,5.0,4.0,248.6,5.0,3.0,756.9,4.0,3.0,662.0,4.0,3.0,403.0
5.0,6.0,13.6,5.0,6.0,218.5,5.0,6.0,190.5,5.0,6.0,762.8,4.0,6.0,547.7,4.0,5.0,495.0
6.0,2.0,17.6,6.0,1.0,127.5,6.0,1.0,114.5,6.0,1.0,569.3,6.0,1.0,89.1,5.0,1.0,101.9
6.0,3.0,15.4,6.0,3.0,258.1,6.0,2.0,249.7,6.0,2.0,818.8,6.0,2.0,194.3,5.0,2.0,236.1
6.0,4.0,46.0,6.0,4.0,419.5,6.0,4.0,224.4,6.0,3.0,544.7,6.0,3.0,150.9,5.0,3.0,180.5
6.0,5.0,14.1,6.0,5.0,232.6,6.0,5.0,197.2,6.0,5.0,761.3,6.0,4.0,287.8,5.0,4.0,325.4
