1,為本 智也,為本 智也.1,2,安河内 将,安河内 将.1,3,山崎 善庸,山崎 善庸.1,4,正木 聖賢,正木 聖賢.1,5,明石 正之,明石 正之.1,6,岡部 貴司,岡部 貴司.1
2.0,3.0,19.0,1.0,3.0,33.4,1.0,2.0,342.9,1.0,2.0,28.9,1.0,2.0,187.9,1.0,2.0,1288.0
2.0,4.0,8.2,1.0,4.0,15.2,1.0,4.0,432.7,1.0,3.0,130.9,1.0,3.0,573.9,1.0,3.0,2901.0
2.0,5.0,13.7,1.0,5.0,17.5,1.0,5.0,481.4,1.0,5.0,52.0,1.0,4.0,251.3,1.0,4.0,1633.0
2.0,6.0,43.9,1.0,6.0,71.6,1.0,6.0,962.8,1.0,6.0,175.6,1.0,6.0,502.3,1.0,5.0,2085.0
3.0,2.0,58.0,3.0,1.0,62.5,2.0,1.0,271.9,2.0,1.0,29.3,2.0,1.0,150.8,2.0,1.0,1313.0
3.0,4.0,102.9,3.0,4.0,62.1,2.0,4.0,239.5,2.0,3.0,67.1,2.0,3.0,250.8,2.0,3.0,1721.0
3.0,5.0,137.4,3.0,5.0,41.7,2.0,5.0,206.0,2.0,5.0,27.8,2.0,4.0,127.2,2.0,4.0,902.1
3.0,6.0,304.0,3.0,6.0,91.4,2.0,6.0,380.7,2.0,6.0,96.9,2.0,6.0,237.4,2.0,5.0,1121.0
4.0,2.0,11.6,4.0,1.0,22.4,4.0,1.0,511.0,3.0,1.0,301.8,3.0,1.0,768.4,3.0,1.0,3914.0
4.0,3.0,54.6,4.0,3.0,49.8,4.0,2.0,364.6,3.0,2.0,203.5,3.0,2.0,477.5,3.0,2.0,2243.0
4.0,5.0,29.9,4.0,5.0,20.8,4.0,5.0,525.9,3.0,5.0,255.0,3.0,4.0,688.1,3.0,4.0,3401.0
4.0,6.0,110.5,4.0,6.0,75.5,4.0,6.0,882.9,3.0,6.0,523.9,3.0,6.0,808.9,3.0,5.0,2626.0
5.0,2.0,46.7,5.0,1.0,32.5,5.0,1.0,525.9,5.0,1.0,92.4,4.0,1.0,257.2,4.0,1.0,1886.0
5.0,3.0,156.8,5.0,3.0,43.0,5.0,2.0,336.8,5.0,2.0,62.7,4.0,2.0,150.4,4.0,2.0,1069.0
5.0,4.0,72.0,5.0,4.0,29.5,5.0,4.0,507.9,5.0,3.0,204.3,4.0,3.0,536.8,4.0,3.0,3319.0
5.0,6.0,247.7,5.0,6.0,52.8,5.0,6.0,582.0,5.0,6.0,190.6,4.0,6.0,426.9,4.0,5.0,1939.0
6.0,2.0,286.5,6.0,1.0,230.8,6.0,1.0,1542.0,6.0,1.0,536.1,6.0,1.0,985.7,5.0,1.0,2184.0
6.0,3.0,550.3,6.0,3.0,204.8,6.0,2.0,1066.0,6.0,2.0,372.5,6.0,2.0,604.0,5.0,2.0,1317.0
6.0,4.0,433.1,6.0,4.0,196.8,6.0,4.0,1471.0,6.0,3.0,890.5,6.0,3.0,1213.0,5.0,3.0,2331.0
6.0,5.0,549.6,6.0,5.0,131.1,6.0,5.0,1106.0,6.0,5.0,461.0,6.0,4.0,906.0,5.0,4.0,2024.0
