1,濱崎 直矢,濱崎 直矢.1,2,木村 亮太,木村 亮太.1,3,渡辺 空依,渡辺 空依.1,4,木山 和幸,木山 和幸.1,5,香月 大輝,香月 大輝.1,6,篠原 晟弥,篠原 晟弥.1
2.0,3.0,7.9,1.0,3.0,169.0,1.0,2.0,214.6,1.0,2.0,92.5,1.0,2.0,1083.0,1.0,2.0,176.4
2.0,4.0,7.0,1.0,4.0,156.6,1.0,4.0,154.0,1.0,3.0,134.7,1.0,3.0,1369.0,1.0,3.0,156.5
2.0,5.0,75.1,1.0,5.0,517.0,1.0,5.0,461.5,1.0,5.0,175.6,1.0,4.0,873.5,1.0,4.0,163.0
2.0,6.0,12.9,1.0,6.0,239.4,1.0,6.0,129.8,1.0,6.0,62.6,1.0,6.0,865.5,1.0,5.0,684.9
3.0,2.0,10.3,3.0,1.0,470.6,2.0,1.0,451.7,2.0,1.0,267.5,2.0,1.0,1860.0,2.0,1.0,598.9
3.0,4.0,8.2,3.0,4.0,763.4,2.0,4.0,711.7,2.0,3.0,739.5,2.0,3.0,3328.0,2.0,3.0,1088.0
3.0,5.0,63.8,3.0,5.0,1846.0,2.0,5.0,1618.0,2.0,5.0,883.3,2.0,4.0,3088.0,2.0,4.0,832.0
3.0,6.0,10.2,3.0,6.0,1016.0,2.0,6.0,796.9,2.0,6.0,387.3,2.0,6.0,2881.0,2.0,5.0,2568.0
4.0,2.0,11.6,4.0,1.0,352.4,4.0,1.0,334.2,3.0,1.0,351.8,3.0,1.0,2513.0,3.0,1.0,391.8
4.0,3.0,14.2,4.0,3.0,914.0,4.0,2.0,830.5,3.0,2.0,763.4,3.0,2.0,4109.0,3.0,2.0,1093.0
4.0,5.0,62.4,4.0,5.0,1756.0,4.0,5.0,1440.0,3.0,5.0,1449.0,3.0,4.0,3873.0,3.0,4.0,857.6
4.0,6.0,10.8,4.0,6.0,708.5,4.0,6.0,493.2,3.0,6.0,474.9,3.0,6.0,3938.0,3.0,5.0,2527.0
5.0,2.0,175.8,5.0,1.0,1853.0,5.0,1.0,1346.0,5.0,1.0,347.7,4.0,1.0,1027.0,4.0,1.0,268.8
5.0,3.0,160.1,5.0,3.0,3068.0,5.0,2.0,2513.0,5.0,2.0,592.9,4.0,2.0,1607.0,4.0,2.0,572.1
5.0,4.0,150.6,5.0,4.0,2864.0,5.0,4.0,2731.0,5.0,3.0,1101.0,4.0,3.0,3109.0,4.0,3.0,770.9
5.0,6.0,139.1,5.0,6.0,2917.0,5.0,6.0,2091.0,5.0,6.0,330.4,4.0,6.0,915.8,4.0,5.0,939.5
6.0,2.0,24.4,6.0,1.0,688.8,6.0,1.0,287.2,6.0,1.0,110.9,6.0,1.0,1101.0,5.0,1.0,1309.0
6.0,3.0,22.0,6.0,3.0,1500.0,6.0,2.0,857.6,6.0,2.0,240.0,6.0,2.0,2582.0,5.0,2.0,2812.0
6.0,4.0,21.3,6.0,4.0,937.6,6.0,4.0,589.2,6.0,3.0,342.2,6.0,3.0,3328.0,5.0,3.0,3259.0
6.0,5.0,113.7,6.0,5.0,2953.0,6.0,5.0,1596.0,6.0,5.0,300.0,6.0,4.0,1277.0,5.0,4.0,1377.0
