1,萩原 秀人,萩原 秀人.1,2,平石 和男,平石 和男.1,3,丸岡 正典,丸岡 正典.1,4,岡崎 恭裕,岡崎 恭裕.1,5,佐竹 太一,佐竹 太一.1,6,岡部 浩,岡部 浩.1
2.0,3.0,11.8,1.0,3.0,74.4,1.0,2.0,38.6,1.0,2.0,49.7,1.0,2.0,471.8,1.0,2.0,2379.0
2.0,4.0,12.9,1.0,4.0,82.7,1.0,4.0,22.6,1.0,3.0,30.9,1.0,3.0,364.2,1.0,3.0,2208.0
2.0,5.0,47.2,1.0,5.0,225.7,1.0,5.0,57.4,1.0,5.0,51.6,1.0,4.0,313.0,1.0,4.0,2301.0
2.0,6.0,113.1,1.0,6.0,361.0,1.0,6.0,150.5,1.0,6.0,101.9,1.0,6.0,665.1,1.0,5.0,3428.0
3.0,2.0,10.1,3.0,1.0,166.2,2.0,1.0,112.0,2.0,1.0,144.3,2.0,1.0,1038.0,2.0,1.0,4759.0
3.0,4.0,5.6,3.0,4.0,242.4,2.0,4.0,133.6,2.0,3.0,202.7,2.0,3.0,1290.0,2.0,3.0,4119.0
3.0,5.0,21.2,3.0,5.0,550.2,2.0,5.0,351.9,2.0,5.0,252.8,2.0,4.0,1350.0,2.0,4.0,3985.0
3.0,6.0,55.7,3.0,6.0,1096.0,2.0,6.0,594.2,2.0,6.0,400.5,2.0,6.0,1744.0,2.0,5.0,4338.0
4.0,2.0,11.2,4.0,1.0,207.4,4.0,1.0,45.5,3.0,1.0,53.3,3.0,1.0,711.5,3.0,1.0,2678.0
4.0,3.0,7.2,4.0,3.0,298.3,4.0,2.0,93.4,3.0,2.0,118.5,3.0,2.0,1228.0,3.0,2.0,3953.0
4.0,5.0,21.9,4.0,5.0,491.2,4.0,5.0,83.9,3.0,5.0,102.7,3.0,4.0,772.0,3.0,4.0,3122.0
4.0,6.0,50.6,4.0,6.0,883.3,4.0,6.0,162.8,3.0,6.0,178.3,3.0,6.0,1571.0,3.0,5.0,4085.0
5.0,2.0,91.0,5.0,1.0,894.6,5.0,1.0,223.6,5.0,1.0,101.0,4.0,1.0,479.6,4.0,1.0,2527.0
5.0,3.0,70.5,5.0,3.0,1140.0,5.0,2.0,382.4,5.0,2.0,192.5,4.0,2.0,823.9,4.0,2.0,2953.0
5.0,4.0,74.4,5.0,4.0,1358.0,5.0,4.0,208.1,5.0,3.0,145.2,4.0,3.0,689.5,4.0,3.0,3044.0
5.0,6.0,179.2,5.0,6.0,1667.0,5.0,6.0,595.6,5.0,6.0,161.3,4.0,6.0,918.0,4.0,5.0,3578.0
6.0,2.0,440.4,6.0,1.0,2059.0,6.0,1.0,786.9,6.0,1.0,351.9,6.0,1.0,2150.0,5.0,1.0,4624.0
6.0,3.0,380.9,6.0,3.0,2900.0,6.0,2.0,1380.0,6.0,2.0,628.5,6.0,2.0,2866.0,5.0,2.0,4300.0
6.0,4.0,351.4,6.0,4.0,2131.0,6.0,4.0,738.3,6.0,3.0,452.6,6.0,3.0,2769.0,5.0,3.0,5054.0
6.0,5.0,458.5,6.0,5.0,2580.0,6.0,5.0,1234.0,6.0,5.0,385.4,6.0,4.0,2379.0,5.0,4.0,4119.0
