1,古田 祐貴,古田 祐貴.1,2,今坂 晃広,今坂 晃広.1,3,堀之内紀代子,堀之内紀代子.1,4,桑原 将光,桑原 将光.1,5,竹田 吉行,竹田 吉行.1,6,菅 章哉,菅 章哉.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,欠場,1,3,欠場,1,3,欠場,1,3,欠場
2,5,欠場,1,5,欠場,1,5,欠場,1,5,欠場,1,4,欠場,1,4,欠場
2,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,5,欠場
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,欠場,3,4,58.2,2,4,74.8,2,3,146.8,2,3,262.5,2,3,26.4
3,5,欠場,3,5,81.4,2,5,99.1,2,5,99.3,2,4,200.2,2,4,19.7
3,6,欠場,3,6,73.3,2,6,80.8,2,6,72.6,2,6,158.2,2,5,27.0
4,2,欠場,4,1,欠場,4,1,欠場,3,1,欠場,3,1,欠場,3,1,欠場
4,3,欠場,4,3,71.8,4,2,104.2,3,2,150.6,3,2,288.8,3,2,28.9
4,5,欠場,4,5,62.6,4,5,61.2,3,5,75.5,3,4,186.4,3,4,15.1
4,6,欠場,4,6,57.3,4,6,49.8,3,6,60.1,3,6,129.9,3,5,20.1
5,2,欠場,5,1,欠場,5,1,欠場,5,1,欠場,4,1,欠場,4,1,欠場
5,3,欠場,5,3,135.3,5,2,171.3,5,2,91.2,4,2,187.2,4,2,19.9
5,4,欠場,5,4,93.5,5,4,88.9,5,3,76.7,4,3,156.0,4,3,14.8
5,6,欠場,5,6,98.6,5,6,83.5,5,6,24.3,4,6,47.2,4,5,9.6
6,2,欠場,6,1,欠場,6,1,欠場,6,1,欠場,6,1,欠場,5,1,欠場
6,3,欠場,6,3,64.7,6,2,78.0,6,2,46.4,6,2,90.0,5,2,33.1
6,4,欠場,6,4,50.2,6,4,40.6,6,3,36.5,6,3,78.8,5,3,23.3
6,5,欠場,6,5,65.0,6,5,50.4,6,5,17.6,6,4,40.2,5,4,13.3
