1,石丸 小槙,石丸 小槙.1,2,藤山 雅弘,藤山 雅弘.1,3,菊池 峰晴,菊池 峰晴.1,4,吉村 誠,吉村 誠.1,5,橋口 真樹,橋口 真樹.1,6,長岡 良也,長岡 良也.1
2.0,3.0,21.6,1.0,3.0,55.2,1.0,2.0,75.0,1.0,2.0,165.8,1.0,2.0,689.2,1.0,2.0,97.5
2.0,4.0,31.3,1.0,4.0,64.7,1.0,4.0,70.8,1.0,3.0,139.5,1.0,3.0,560.4,1.0,3.0,87.2
2.0,5.0,72.7,1.0,5.0,203.8,1.0,5.0,216.2,1.0,5.0,238.2,1.0,4.0,495.3,1.0,4.0,85.3
2.0,6.0,24.2,1.0,6.0,51.3,1.0,6.0,47.3,1.0,6.0,76.5,1.0,6.0,409.5,1.0,5.0,267.9
3.0,2.0,31.5,3.0,1.0,65.4,2.0,1.0,85.7,2.0,1.0,172.7,2.0,1.0,709.9,2.0,1.0,105.8
3.0,4.0,33.1,3.0,4.0,53.3,2.0,4.0,56.3,2.0,3.0,116.0,2.0,3.0,641.5,2.0,3.0,76.0
3.0,5.0,102.1,3.0,5.0,154.4,2.0,5.0,197.2,2.0,5.0,262.9,2.0,4.0,785.9,2.0,4.0,56.6
3.0,6.0,22.5,3.0,6.0,37.6,2.0,6.0,45.1,2.0,6.0,53.3,2.0,6.0,591.6,2.0,5.0,316.9
4.0,2.0,66.9,4.0,1.0,95.7,4.0,1.0,86.1,3.0,1.0,137.8,3.0,1.0,757.9,3.0,1.0,88.9
4.0,3.0,59.5,4.0,3.0,76.1,4.0,2.0,84.5,3.0,2.0,127.3,3.0,2.0,791.7,3.0,2.0,78.9
4.0,5.0,198.3,4.0,5.0,289.7,4.0,5.0,202.8,3.0,5.0,200.3,3.0,4.0,620.9,3.0,4.0,55.9
4.0,6.0,43.9,4.0,6.0,49.3,4.0,6.0,33.7,3.0,6.0,47.8,3.0,6.0,373.6,3.0,5.0,214.4
5.0,2.0,227.7,5.0,1.0,404.9,5.0,1.0,345.7,5.0,1.0,282.0,4.0,1.0,432.8,4.0,1.0,77.7
5.0,3.0,206.1,5.0,3.0,348.5,5.0,2.0,333.8,5.0,2.0,272.7,4.0,2.0,669.7,4.0,2.0,64.0
5.0,4.0,265.2,5.0,4.0,462.0,5.0,4.0,320.2,5.0,3.0,292.5,4.0,3.0,478.6,4.0,3.0,47.8
5.0,6.0,214.7,5.0,6.0,247.3,5.0,6.0,202.0,5.0,6.0,141.1,4.0,6.0,266.5,4.0,5.0,147.8
6.0,2.0,34.6,6.0,1.0,69.0,6.0,1.0,61.2,6.0,1.0,70.1,6.0,1.0,384.4,5.0,1.0,420.0
6.0,3.0,36.3,6.0,3.0,54.5,6.0,2.0,49.2,6.0,2.0,52.8,6.0,2.0,563.4,5.0,2.0,484.0
6.0,4.0,41.4,6.0,4.0,53.5,6.0,4.0,39.3,6.0,3.0,41.4,6.0,3.0,330.7,5.0,3.0,311.3
6.0,5.0,152.7,6.0,5.0,213.8,6.0,5.0,144.6,6.0,5.0,100.9,6.0,4.0,268.2,5.0,4.0,239.8
