1,表 憲一,表 憲一.1,2,大庭 元明,大庭 元明.1,3,飯田 庄吾,飯田 庄吾.1,4,宮地 元輝,宮地 元輝.1,5,原村 拓也,原村 拓也.1,6,小林 文彦,小林 文彦.1
2.0,3.0,83.8,1.0,3.0,160.0,1.0,2.0,712.8,1.0,2.0,11.1,1.0,2.0,279.1,1.0,2.0,488.8
2.0,4.0,14.9,1.0,4.0,25.7,1.0,4.0,492.3,1.0,3.0,72.4,1.0,3.0,922.3,1.0,3.0,1555.0
2.0,5.0,57.4,1.0,5.0,87.7,1.0,5.0,1093.0,1.0,5.0,15.1,1.0,4.0,172.0,1.0,4.0,282.0
2.0,6.0,55.4,1.0,6.0,69.9,1.0,6.0,1192.0,1.0,6.0,11.7,1.0,6.0,280.2,1.0,5.0,866.2
3.0,2.0,162.0,3.0,1.0,581.9,2.0,1.0,1056.0,2.0,1.0,23.2,2.0,1.0,387.5,2.0,1.0,781.2
3.0,4.0,97.6,3.0,4.0,426.1,2.0,4.0,907.6,2.0,3.0,129.8,2.0,3.0,1462.0,2.0,3.0,2694.0
3.0,5.0,237.1,3.0,5.0,1196.0,2.0,5.0,1772.0,2.0,5.0,40.0,2.0,4.0,330.2,2.0,4.0,505.4
3.0,6.0,295.2,3.0,6.0,910.0,2.0,6.0,1880.0,2.0,6.0,29.0,2.0,6.0,481.2,2.0,5.0,1402.0
4.0,2.0,8.5,4.0,1.0,31.0,4.0,1.0,552.7,3.0,1.0,238.7,3.0,1.0,2125.0,3.0,1.0,2516.0
4.0,3.0,49.1,4.0,3.0,173.6,4.0,2.0,808.9,3.0,2.0,324.6,3.0,2.0,3228.0,3.0,2.0,2875.0
4.0,5.0,18.7,4.0,5.0,79.7,4.0,5.0,1188.0,3.0,5.0,379.3,3.0,4.0,2497.0,3.0,4.0,2804.0
4.0,6.0,13.9,4.0,6.0,56.1,4.0,6.0,774.1,3.0,6.0,254.5,3.0,6.0,3387.0,3.0,5.0,4562.0
5.0,2.0,122.2,5.0,1.0,280.7,5.0,1.0,2652.0,5.0,1.0,20.0,4.0,1.0,124.0,4.0,1.0,260.4
5.0,3.0,324.9,5.0,3.0,1217.0,5.0,2.0,2949.0,5.0,2.0,34.7,4.0,2.0,187.0,4.0,2.0,349.5
5.0,4.0,76.3,5.0,4.0,235.0,5.0,4.0,2296.0,5.0,3.0,193.5,4.0,3.0,786.6,4.0,3.0,1408.0
5.0,6.0,168.3,5.0,6.0,440.9,5.0,6.0,2759.0,5.0,6.0,19.5,4.0,6.0,135.8,4.0,5.0,430.9
6.0,2.0,144.1,6.0,1.0,266.7,6.0,1.0,2516.0,6.0,1.0,26.9,6.0,1.0,528.0,5.0,1.0,1148.0
6.0,3.0,455.0,6.0,3.0,1209.0,6.0,2.0,2804.0,6.0,2.0,37.6,6.0,2.0,595.0,5.0,2.0,1396.0
6.0,4.0,75.7,6.0,4.0,219.7,6.0,4.0,2179.0,6.0,3.0,176.5,6.0,3.0,1782.0,5.0,3.0,3258.0
6.0,5.0,233.4,6.0,5.0,535.4,6.0,5.0,3197.0,6.0,5.0,32.9,6.0,4.0,328.7,5.0,4.0,609.9
