1,西野 翔太,西野 翔太.1,2,山田 丈,山田 丈.1,3,深山 祐二,深山 祐二.1,4,高田 明,高田 明.1,5,川崎 智稔,川崎 智稔.1,6,坂井 滉哉,坂井 滉哉.1
2.0,3.0,11.3,1.0,3.0,55.7,1.0,2.0,275.4,1.0,2.0,23.0,1.0,2.0,85.9,1.0,2.0,1629.0
2.0,4.0,4.9,1.0,4.0,29.0,1.0,4.0,312.3,1.0,3.0,96.6,1.0,3.0,271.7,1.0,3.0,2183.0
2.0,5.0,11.4,1.0,5.0,43.3,1.0,5.0,406.9,1.0,5.0,24.6,1.0,4.0,86.5,1.0,4.0,2017.0
2.0,6.0,165.0,1.0,6.0,431.3,1.0,6.0,1393.0,1.0,6.0,219.0,1.0,6.0,410.8,1.0,5.0,2056.0
3.0,2.0,24.6,3.0,1.0,241.3,2.0,1.0,400.3,2.0,1.0,45.3,2.0,1.0,137.0,2.0,1.0,1810.0
3.0,4.0,31.4,3.0,4.0,355.9,2.0,4.0,618.3,2.0,3.0,189.4,2.0,3.0,438.9,2.0,3.0,2983.0
3.0,5.0,44.6,3.0,5.0,395.5,2.0,5.0,701.3,2.0,5.0,55.9,2.0,4.0,138.5,2.0,4.0,1841.0
3.0,6.0,383.6,3.0,6.0,1220.0,2.0,6.0,1714.0,2.0,6.0,375.5,2.0,6.0,633.1,2.0,5.0,2366.0
4.0,2.0,7.2,4.0,1.0,68.2,4.0,1.0,581.0,3.0,1.0,297.0,3.0,1.0,752.3,3.0,1.0,2881.0
4.0,3.0,26.3,4.0,3.0,259.3,4.0,2.0,741.8,3.0,2.0,354.7,3.0,2.0,845.4,3.0,2.0,2962.0
4.0,5.0,13.2,4.0,5.0,117.7,4.0,5.0,827.3,3.0,5.0,347.4,3.0,4.0,822.5,3.0,4.0,2491.0
4.0,6.0,181.1,4.0,6.0,677.7,4.0,6.0,2117.0,3.0,6.0,1283.0,3.0,6.0,1899.0,3.0,5.0,2698.0
5.0,2.0,26.3,5.0,1.0,126.6,5.0,1.0,837.1,5.0,1.0,26.5,4.0,1.0,80.6,4.0,1.0,1810.0
5.0,3.0,62.0,5.0,3.0,366.4,5.0,2.0,945.5,5.0,2.0,35.4,4.0,2.0,93.1,4.0,2.0,1943.0
5.0,4.0,30.2,5.0,4.0,163.9,5.0,4.0,1058.0,5.0,3.0,134.0,4.0,3.0,311.0,4.0,3.0,2664.0
5.0,6.0,246.7,5.0,6.0,787.3,5.0,6.0,1908.0,5.0,6.0,156.5,4.0,6.0,353.2,4.0,5.0,2277.0
6.0,2.0,514.6,6.0,1.0,1272.0,6.0,1.0,2007.0,6.0,1.0,589.1,6.0,1.0,943.4,5.0,1.0,2128.0
6.0,3.0,833.8,6.0,3.0,2017.0,6.0,2.0,2076.0,6.0,2.0,670.2,6.0,2.0,1056.0,5.0,2.0,2647.0
6.0,4.0,688.7,6.0,4.0,1592.0,6.0,4.0,2076.0,6.0,3.0,1264.0,6.0,3.0,1810.0,5.0,3.0,3472.0
6.0,5.0,656.7,6.0,5.0,1203.0,6.0,5.0,2076.0,6.0,5.0,543.7,6.0,4.0,949.7,5.0,4.0,2420.0
