1,森清 友翔,森清 友翔.1,2,丸山 祐也,丸山 祐也.1,3,下河 雅史,下河 雅史.1,4,土井 歩夢,土井 歩夢.1,5,渡辺 崇,渡辺 崇.1,6,小川　日紀太,小川　日紀太.1
2.0,3.0,17.6,1.0,3.0,49.5,1.0,2.0,42.4,1.0,2.0,193.4,1.0,2.0,329.0,1.0,2.0,1159.0
2.0,4.0,47.2,1.0,4.0,119.2,1.0,4.0,21.9,1.0,3.0,96.4,1.0,3.0,114.9,1.0,3.0,772.9
2.0,5.0,50.0,1.0,5.0,127.4,1.0,5.0,17.2,1.0,5.0,117.3,1.0,4.0,226.2,1.0,4.0,1180.0
2.0,6.0,123.9,1.0,6.0,282.7,1.0,6.0,64.2,1.0,6.0,212.1,1.0,6.0,291.1,1.0,5.0,1042.0
3.0,2.0,13.4,3.0,1.0,67.2,2.0,1.0,68.9,2.0,1.0,353.8,2.0,1.0,550.5,2.0,1.0,1263.0
3.0,4.0,10.7,3.0,4.0,84.1,2.0,4.0,66.9,2.0,3.0,257.6,2.0,3.0,282.3,2.0,3.0,1071.0
3.0,5.0,10.6,3.0,5.0,71.9,2.0,5.0,58.4,2.0,5.0,294.1,2.0,4.0,458.3,2.0,4.0,1728.0
3.0,6.0,35.8,3.0,6.0,187.1,2.0,6.0,139.1,2.0,6.0,469.2,2.0,6.0,542.9,2.0,5.0,1589.0
4.0,2.0,59.0,4.0,1.0,246.3,4.0,1.0,36.8,3.0,1.0,88.6,3.0,1.0,104.1,3.0,1.0,899.9
4.0,3.0,26.5,4.0,3.0,168.8,4.0,2.0,71.7,3.0,2.0,163.5,3.0,2.0,177.0,3.0,2.0,1021.0
4.0,5.0,44.0,4.0,5.0,255.6,4.0,5.0,22.7,3.0,5.0,67.4,3.0,4.0,110.9,3.0,4.0,879.8
4.0,6.0,88.5,4.0,6.0,534.1,4.0,6.0,71.9,3.0,6.0,139.7,3.0,6.0,172.4,3.0,5.0,782.1
5.0,2.0,76.6,5.0,1.0,305.0,5.0,1.0,31.5,5.0,1.0,116.0,4.0,1.0,222.9,4.0,1.0,1438.0
5.0,3.0,32.6,5.0,3.0,168.7,5.0,2.0,64.4,5.0,2.0,201.7,4.0,2.0,352.5,4.0,2.0,1642.0
5.0,4.0,68.2,5.0,4.0,317.8,5.0,4.0,27.4,5.0,3.0,85.6,4.0,3.0,137.9,4.0,3.0,1082.0
5.0,6.0,103.7,5.0,6.0,544.4,5.0,6.0,55.8,5.0,6.0,155.0,4.0,6.0,281.1,4.0,5.0,875.9
6.0,2.0,294.1,6.0,1.0,755.1,6.0,1.0,209.8,6.0,1.0,381.9,6.0,1.0,478.3,5.0,1.0,1247.0
6.0,3.0,170.0,6.0,3.0,542.9,6.0,2.0,303.6,6.0,2.0,591.8,6.0,2.0,794.7,5.0,2.0,1615.0
6.0,4.0,323.6,6.0,4.0,868.2,6.0,4.0,177.2,6.0,3.0,371.1,6.0,3.0,369.0,5.0,3.0,849.5
6.0,5.0,281.5,6.0,5.0,801.1,6.0,5.0,141.4,6.0,5.0,298.1,6.0,4.0,444.8,5.0,4.0,821.2
