1,岩下 巧斗,岩下 巧斗.1,2,高山 敬悟,高山 敬悟.1,3,中山 翔太,中山 翔太.1,4,中野 孝二,中野 孝二.1,5,高橋 竜矢,高橋 竜矢.1,6,上野 俊樹,上野 俊樹.1
2.0,3.0,74.7,1.0,3.0,178.6,1.0,2.0,71.9,1.0,2.0,639.0,1.0,2.0,155.5,1.0,2.0,1581.0
2.0,4.0,140.4,1.0,4.0,279.5,1.0,4.0,36.1,1.0,3.0,334.6,1.0,3.0,43.9,1.0,3.0,1141.0
2.0,5.0,118.9,1.0,5.0,192.3,1.0,5.0,16.2,1.0,5.0,324.2,1.0,4.0,144.7,1.0,4.0,1866.0
2.0,6.0,289.6,1.0,6.0,527.2,1.0,6.0,52.1,1.0,6.0,586.9,1.0,6.0,92.5,1.0,5.0,996.4
3.0,2.0,59.3,3.0,1.0,174.3,2.0,1.0,119.2,2.0,1.0,948.2,2.0,1.0,239.3,2.0,1.0,2087.0
3.0,4.0,46.4,3.0,4.0,127.8,2.0,4.0,78.9,2.0,3.0,360.6,2.0,3.0,93.2,2.0,3.0,1533.0
3.0,5.0,22.2,3.0,5.0,70.9,2.0,5.0,35.0,2.0,5.0,479.2,2.0,4.0,220.8,2.0,4.0,1250.0
3.0,6.0,82.2,3.0,6.0,205.3,2.0,6.0,105.5,2.0,6.0,721.3,2.0,6.0,189.0,2.0,5.0,1451.0
4.0,2.0,216.5,4.0,1.0,492.6,4.0,1.0,56.1,3.0,1.0,236.7,3.0,1.0,31.1,3.0,1.0,881.8
4.0,3.0,118.7,4.0,3.0,265.4,4.0,2.0,73.8,3.0,2.0,230.5,3.0,2.0,48.2,3.0,2.0,1082.0
4.0,5.0,136.2,4.0,5.0,264.8,4.0,5.0,14.6,3.0,5.0,72.9,3.0,4.0,29.1,3.0,4.0,761.8
4.0,6.0,292.9,4.0,6.0,596.8,4.0,6.0,40.3,3.0,6.0,165.7,3.0,6.0,20.9,3.0,5.0,282.6
5.0,2.0,97.6,5.0,1.0,231.6,5.0,1.0,14.4,5.0,1.0,264.6,4.0,1.0,210.5,4.0,1.0,2074.0
5.0,3.0,36.4,5.0,3.0,100.6,5.0,2.0,22.4,5.0,2.0,323.9,4.0,2.0,254.5,4.0,2.0,2112.0
5.0,4.0,106.3,5.0,4.0,237.3,5.0,4.0,10.3,5.0,3.0,98.3,4.0,3.0,74.3,4.0,3.0,999.2
5.0,6.0,103.8,5.0,6.0,248.5,5.0,6.0,10.4,5.0,6.0,145.2,4.0,6.0,127.2,4.0,5.0,948.2
6.0,2.0,649.6,6.0,1.0,1095.0,6.0,1.0,153.0,6.0,1.0,886.2,6.0,1.0,135.9,5.0,1.0,761.8
6.0,3.0,326.3,6.0,3.0,677.0,6.0,2.0,180.1,6.0,2.0,879.6,6.0,2.0,204.2,5.0,2.0,1037.0
6.0,4.0,722.8,6.0,4.0,1212.0,6.0,4.0,99.4,6.0,3.0,435.4,6.0,3.0,55.1,5.0,3.0,287.4
6.0,5.0,353.7,6.0,5.0,702.6,6.0,5.0,42.7,6.0,5.0,381.3,6.0,4.0,162.7,5.0,4.0,744.1
