1,菊池 宏志,菊池 宏志.1,2,山本　景士郎,山本　景士郎.1,3,檀 将太,檀 将太.1,4,高橋 勲,高橋 勲.1,5,堤 啓輔,堤 啓輔.1,6,渡邉 英児,渡邉 英児.1
2.0,3.0,98.4,1.0,3.0,79.2,1.0,2.0,391.8,1.0,2.0,71.0,1.0,2.0,288.6,1.0,2.0,42.0
2.0,4.0,19.1,1.0,4.0,20.9,1.0,4.0,540.1,1.0,3.0,322.7,1.0,3.0,744.3,1.0,3.0,201.7
2.0,5.0,48.6,1.0,5.0,57.5,1.0,5.0,648.2,1.0,5.0,125.3,1.0,4.0,596.0,1.0,4.0,49.7
2.0,6.0,17.4,1.0,6.0,20.4,1.0,6.0,571.9,1.0,6.0,52.4,1.0,6.0,506.7,1.0,5.0,98.4
3.0,2.0,191.3,3.0,1.0,398.9,2.0,1.0,574.0,2.0,1.0,68.4,2.0,1.0,401.9,2.0,1.0,40.5
3.0,4.0,212.8,3.0,4.0,322.0,2.0,4.0,492.3,2.0,3.0,229.4,2.0,3.0,942.8,2.0,3.0,147.8
3.0,5.0,276.8,3.0,5.0,447.0,2.0,5.0,576.1,2.0,5.0,96.3,2.0,4.0,435.7,2.0,4.0,28.0
3.0,6.0,238.2,3.0,6.0,239.3,2.0,6.0,437.0,2.0,6.0,30.3,2.0,6.0,261.4,2.0,5.0,65.8
4.0,2.0,34.5,4.0,1.0,47.3,4.0,1.0,664.8,3.0,1.0,607.7,3.0,1.0,1264.0,3.0,1.0,301.4
4.0,3.0,184.3,4.0,3.0,168.0,4.0,2.0,532.7,3.0,2.0,448.3,3.0,2.0,1065.0,3.0,2.0,230.8
4.0,5.0,86.2,4.0,5.0,63.0,4.0,5.0,467.1,3.0,5.0,456.2,3.0,4.0,1044.0,3.0,4.0,239.3
4.0,6.0,28.0,4.0,6.0,19.0,4.0,6.0,427.3,3.0,6.0,265.0,3.0,6.0,942.8,3.0,5.0,250.1
5.0,2.0,144.1,5.0,1.0,173.4,5.0,1.0,818.8,5.0,1.0,243.0,4.0,1.0,691.4,4.0,1.0,44.6
5.0,3.0,486.1,5.0,3.0,422.7,5.0,2.0,645.5,5.0,2.0,177.5,4.0,2.0,477.2,4.0,2.0,26.7
5.0,4.0,216.9,5.0,4.0,146.2,5.0,4.0,801.9,5.0,3.0,454.8,4.0,3.0,1095.0,4.0,3.0,127.3
5.0,6.0,136.9,5.0,6.0,68.3,5.0,6.0,622.2,5.0,6.0,97.0,4.0,6.0,265.9,4.0,5.0,52.4
6.0,2.0,24.6,6.0,1.0,27.9,6.0,1.0,617.3,6.0,1.0,37.3,6.0,1.0,543.9,5.0,1.0,164.4
6.0,3.0,145.1,6.0,3.0,102.2,6.0,2.0,444.4,6.0,2.0,25.0,6.0,2.0,277.3,5.0,2.0,109.0
6.0,4.0,29.1,6.0,4.0,19.4,6.0,4.0,434.5,6.0,3.0,81.7,6.0,3.0,888.9,5.0,3.0,285.9
6.0,5.0,57.5,6.0,5.0,48.1,6.0,5.0,493.8,6.0,5.0,38.3,6.0,4.0,265.4,5.0,4.0,114.5
