1,島川 海輝,島川 海輝.1,2,向井田　直弥,向井田　直弥.1,3,塩田 北斗,塩田 北斗.1,4,中島 浩哉,中島 浩哉.1,5,久田 武,久田 武.1,6,渡邉 英児,渡邉 英児.1
2.0,3.0,38.8,1.0,3.0,76.5,1.0,2.0,27.0,1.0,2.0,596.4,1.0,2.0,127.7,1.0,2.0,366.3
2.0,4.0,141.7,1.0,4.0,165.6,1.0,4.0,63.4,1.0,3.0,488.1,1.0,3.0,72.1,1.0,3.0,158.7
2.0,5.0,75.5,1.0,5.0,125.1,1.0,5.0,11.8,1.0,5.0,670.8,1.0,4.0,255.3,1.0,4.0,547.1
2.0,6.0,126.0,1.0,6.0,227.1,1.0,6.0,21.6,1.0,6.0,740.1,1.0,6.0,132.8,1.0,5.0,231.7
3.0,2.0,22.8,3.0,1.0,75.4,2.0,1.0,54.3,2.0,1.0,534.2,2.0,1.0,134.4,2.0,1.0,682.6
3.0,4.0,51.8,3.0,4.0,94.4,2.0,4.0,106.6,2.0,3.0,379.2,2.0,3.0,68.1,2.0,3.0,324.0
3.0,5.0,10.9,3.0,5.0,52.9,2.0,5.0,39.2,2.0,5.0,400.4,2.0,4.0,136.0,2.0,4.0,770.6
3.0,6.0,17.1,3.0,6.0,100.5,2.0,6.0,73.8,2.0,6.0,655.5,2.0,6.0,142.2,2.0,5.0,415.5
4.0,2.0,264.9,4.0,1.0,191.8,4.0,1.0,189.7,3.0,1.0,489.2,3.0,1.0,58.9,3.0,1.0,148.4
4.0,3.0,193.9,4.0,3.0,132.6,4.0,2.0,183.1,3.0,2.0,466.4,3.0,2.0,56.1,3.0,2.0,201.5
4.0,5.0,272.5,4.0,5.0,158.3,4.0,5.0,114.6,3.0,5.0,389.8,3.0,4.0,117.9,3.0,4.0,342.9
4.0,6.0,337.5,4.0,6.0,281.4,4.0,6.0,190.1,3.0,6.0,635.2,3.0,6.0,55.5,3.0,5.0,107.7
5.0,2.0,70.1,5.0,1.0,149.8,5.0,1.0,19.3,5.0,1.0,938.9,4.0,1.0,504.7,4.0,1.0,1207.0
5.0,3.0,31.5,5.0,3.0,70.6,5.0,2.0,28.7,5.0,2.0,554.1,4.0,2.0,263.3,4.0,2.0,984.0
5.0,4.0,157.0,5.0,4.0,137.1,5.0,4.0,52.7,5.0,3.0,516.8,4.0,3.0,280.5,4.0,3.0,868.7
5.0,6.0,63.1,5.0,6.0,175.8,5.0,6.0,19.8,5.0,6.0,932.8,4.0,6.0,428.7,4.0,5.0,928.8
6.0,2.0,137.3,6.0,1.0,457.9,6.0,1.0,44.6,6.0,1.0,1369.0,6.0,1.0,197.0,5.0,1.0,275.1
6.0,3.0,45.7,6.0,3.0,203.6,6.0,2.0,64.6,6.0,2.0,1114.0,6.0,2.0,185.6,5.0,2.0,306.3
6.0,4.0,227.7,6.0,4.0,447.4,6.0,4.0,104.6,6.0,3.0,1002.0,6.0,3.0,96.7,5.0,3.0,130.3
6.0,5.0,69.7,6.0,5.0,281.6,6.0,5.0,27.5,6.0,5.0,1149.0,6.0,4.0,341.8,5.0,4.0,477.2
