1,瓜生 正義,瓜生 正義.1,2,柳生 泰二,柳生 泰二.1,3,井上 一輝,井上 一輝.1,4,三浦 永理,三浦 永理.1,5,浜本 裕己,浜本 裕己.1,6,濱崎 誠,濱崎 誠.1
2.0,3.0,6.0,1.0,3.0,23.2,1.0,2.0,15.9,1.0,2.0,160.0,1.0,2.0,366.3,1.0,2.0,1314.0
2.0,4.0,13.6,1.0,4.0,43.3,1.0,4.0,20.7,1.0,3.0,173.2,1.0,3.0,301.0,1.0,3.0,1453.0
2.0,5.0,30.4,1.0,5.0,81.2,1.0,5.0,32.1,1.0,5.0,323.5,1.0,4.0,651.5,1.0,4.0,1766.0
2.0,6.0,61.6,1.0,6.0,172.0,1.0,6.0,77.4,1.0,6.0,436.0,1.0,6.0,735.4,1.0,5.0,2434.0
3.0,2.0,6.4,3.0,1.0,45.4,2.0,1.0,32.4,2.0,1.0,238.2,2.0,1.0,573.6,2.0,1.0,1872.0
3.0,4.0,9.9,3.0,4.0,109.5,2.0,4.0,58.9,2.0,3.0,330.6,2.0,3.0,673.5,2.0,3.0,2477.0
3.0,5.0,18.0,3.0,5.0,168.2,2.0,5.0,76.2,2.0,5.0,776.3,2.0,4.0,1344.0,2.0,4.0,3101.0
3.0,6.0,44.2,3.0,6.0,382.8,2.0,6.0,179.6,2.0,6.0,973.0,2.0,6.0,1535.0,2.0,5.0,3479.0
4.0,2.0,25.6,4.0,1.0,125.2,4.0,1.0,52.0,3.0,1.0,213.2,3.0,1.0,333.5,3.0,1.0,1702.0
4.0,3.0,26.3,4.0,3.0,195.9,4.0,2.0,74.4,3.0,2.0,322.7,3.0,2.0,518.0,3.0,2.0,2288.0
4.0,5.0,69.7,4.0,5.0,436.1,4.0,5.0,78.8,3.0,5.0,467.5,3.0,4.0,848.2,3.0,4.0,2617.0
4.0,6.0,93.5,4.0,6.0,535.0,4.0,6.0,162.2,3.0,6.0,615.1,3.0,6.0,848.7,3.0,5.0,2300.0
5.0,2.0,70.1,5.0,1.0,271.1,5.0,1.0,77.1,5.0,1.0,560.5,4.0,1.0,943.8,4.0,1.0,2227.0
5.0,3.0,58.9,5.0,3.0,403.6,5.0,2.0,107.7,5.0,2.0,953.8,4.0,2.0,1690.0,4.0,2.0,3221.0
5.0,4.0,145.7,5.0,4.0,747.7,5.0,4.0,123.6,5.0,3.0,905.0,4.0,3.0,1368.0,4.0,3.0,3538.0
5.0,6.0,182.7,5.0,6.0,1012.0,5.0,6.0,165.6,5.0,6.0,908.3,4.0,6.0,1699.0,4.0,5.0,3237.0
6.0,2.0,252.9,6.0,1.0,751.7,6.0,1.0,312.6,6.0,1.0,1022.0,6.0,1.0,1374.0,5.0,1.0,2797.0
6.0,3.0,227.1,6.0,3.0,1287.0,6.0,2.0,459.4,6.0,2.0,1614.0,6.0,2.0,1984.0,5.0,2.0,3470.0
6.0,4.0,308.4,6.0,4.0,1576.0,6.0,4.0,496.7,6.0,3.0,1596.0,6.0,3.0,1596.0,5.0,3.0,2639.0
6.0,5.0,356.8,6.0,5.0,1749.0,6.0,5.0,427.4,6.0,5.0,1543.0,6.0,4.0,1978.0,5.0,4.0,3019.0
