1,中谷 朋子,中谷 朋子.1,2,稲生 夏季,稲生 夏季.1,3,戸敷 晃美,戸敷 晃美.1,4,白石 有美,白石 有美.1,5,村上 奈穂,村上 奈穂.1,6,片岡 恵里,片岡 恵里.1
2.0,3.0,7.4,1.0,3.0,28.7,1.0,2.0,13.5,1.0,2.0,955.9,1.0,2.0,234.6,1.0,2.0,207.6
2.0,4.0,82.9,1.0,4.0,211.9,1.0,4.0,101.5,1.0,3.0,996.1,1.0,3.0,207.2,1.0,3.0,166.0
2.0,5.0,31.1,1.0,5.0,95.5,1.0,5.0,33.6,1.0,5.0,1202.0,1.0,4.0,816.4,1.0,4.0,1135.0
2.0,6.0,17.2,1.0,6.0,48.5,1.0,6.0,19.4,1.0,6.0,1211.0,1.0,6.0,228.8,1.0,5.0,446.4
3.0,2.0,5.6,3.0,1.0,45.4,2.0,1.0,31.2,2.0,1.0,1197.0,2.0,1.0,402.3,2.0,1.0,321.6
3.0,4.0,53.4,3.0,4.0,367.9,2.0,4.0,229.3,2.0,3.0,1431.0,2.0,3.0,461.1,2.0,3.0,384.7
3.0,5.0,14.6,3.0,5.0,151.3,2.0,5.0,91.8,2.0,5.0,2079.0,2.0,4.0,1479.0,2.0,4.0,1700.0
3.0,6.0,8.8,3.0,6.0,82.4,2.0,6.0,47.3,2.0,6.0,1672.0,2.0,6.0,511.7,2.0,5.0,934.1
4.0,2.0,199.7,4.0,1.0,664.0,4.0,1.0,219.9,3.0,1.0,1080.0,3.0,1.0,291.8,3.0,1.0,210.6
4.0,3.0,175.9,4.0,3.0,916.0,4.0,2.0,313.2,3.0,2.0,1508.0,3.0,2.0,400.2,3.0,2.0,349.9
4.0,5.0,305.9,4.0,5.0,1505.0,4.0,5.0,331.1,3.0,5.0,1603.0,3.0,4.0,1364.0,3.0,4.0,1438.0
4.0,6.0,228.9,4.0,6.0,999.3,4.0,6.0,246.5,3.0,6.0,1371.0,3.0,6.0,386.1,3.0,5.0,637.9
5.0,2.0,61.8,5.0,1.0,278.0,5.0,1.0,78.0,5.0,1.0,1763.0,4.0,1.0,1826.0,4.0,1.0,2167.0
5.0,3.0,46.4,5.0,3.0,351.5,5.0,2.0,129.2,5.0,2.0,2386.0,4.0,2.0,2122.0,4.0,2.0,2052.0
5.0,4.0,269.1,5.0,4.0,1246.0,5.0,4.0,325.8,5.0,3.0,2167.0,4.0,3.0,2254.0,4.0,3.0,2386.0
5.0,6.0,68.7,5.0,6.0,413.1,5.0,6.0,100.4,5.0,6.0,1917.0,4.0,6.0,2093.0,4.0,5.0,2462.0
6.0,2.0,38.3,6.0,1.0,133.7,6.0,1.0,45.0,6.0,1.0,1779.0,6.0,1.0,316.9,5.0,1.0,579.1
6.0,3.0,29.5,6.0,3.0,163.9,6.0,2.0,66.9,6.0,2.0,1979.0,6.0,2.0,447.7,5.0,2.0,884.4
6.0,4.0,235.4,6.0,4.0,909.3,6.0,4.0,268.5,6.0,3.0,2238.0,6.0,3.0,400.7,5.0,3.0,701.9
6.0,5.0,82.9,6.0,5.0,386.4,6.0,5.0,110.6,6.0,5.0,2101.0,6.0,4.0,1298.0,5.0,4.0,1598.0
