1,松本 浩貴,松本 浩貴.1,2,富永 正人,富永 正人.1,3,中嶋 達也,中嶋 達也.1,4,池上 隆行,池上 隆行.1,5,竹田 広樹,竹田 広樹.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,10.2,1.0,3.0,12.9,1.0,2.0,22.1,1.0,2.0,128.3,1.0,2.0,180.0,1.0,2.0,789.0
2.0,4.0,23.4,1.0,4.0,23.0,1.0,4.0,24.9,1.0,3.0,127.9,1.0,3.0,195.2,1.0,3.0,998.2
2.0,5.0,30.0,1.0,5.0,36.6,1.0,5.0,33.0,1.0,5.0,155.0,1.0,4.0,311.5,1.0,4.0,2233.0
2.0,6.0,133.9,1.0,6.0,184.2,1.0,6.0,149.5,1.0,6.0,399.2,1.0,6.0,601.6,1.0,5.0,1830.0
3.0,2.0,10.3,3.0,1.0,26.3,2.0,1.0,28.7,2.0,1.0,165.7,2.0,1.0,184.5,2.0,1.0,1071.0
3.0,4.0,15.2,3.0,4.0,42.6,2.0,4.0,43.3,2.0,3.0,196.0,2.0,3.0,206.5,2.0,3.0,1220.0
3.0,5.0,20.5,3.0,5.0,40.0,2.0,5.0,45.0,2.0,5.0,241.7,2.0,4.0,360.9,2.0,4.0,1532.0
3.0,6.0,109.7,3.0,6.0,215.3,2.0,6.0,221.4,2.0,6.0,575.3,2.0,6.0,723.9,2.0,5.0,1626.0
4.0,2.0,45.2,4.0,1.0,73.9,4.0,1.0,38.6,3.0,1.0,118.8,3.0,1.0,190.4,3.0,1.0,990.7
4.0,3.0,43.5,4.0,3.0,81.2,4.0,2.0,52.9,3.0,2.0,158.9,3.0,2.0,199.3,3.0,2.0,1344.0
4.0,5.0,62.8,4.0,5.0,116.6,4.0,5.0,44.3,3.0,5.0,131.1,3.0,4.0,273.3,3.0,4.0,1480.0
4.0,6.0,228.7,4.0,6.0,430.6,4.0,6.0,202.0,3.0,6.0,327.7,3.0,6.0,601.6,3.0,5.0,1344.0
5.0,2.0,63.5,5.0,1.0,100.4,5.0,1.0,60.1,5.0,1.0,193.7,4.0,1.0,371.1,4.0,1.0,1882.0
5.0,3.0,64.6,5.0,3.0,88.4,5.0,2.0,61.2,5.0,2.0,263.5,4.0,2.0,430.6,4.0,2.0,1432.0
5.0,4.0,114.8,5.0,4.0,155.5,5.0,4.0,71.6,5.0,3.0,199.6,4.0,3.0,380.8,4.0,3.0,2160.0
5.0,6.0,285.8,5.0,6.0,510.7,5.0,6.0,264.5,5.0,6.0,416.9,4.0,6.0,716.1,4.0,5.0,1480.0
6.0,2.0,274.5,6.0,1.0,604.4,6.0,1.0,504.8,6.0,1.0,968.8,6.0,1.0,1107.0,5.0,1.0,1882.0
6.0,3.0,360.9,6.0,3.0,593.5,6.0,2.0,493.5,6.0,2.0,839.2,6.0,2.0,1029.0,5.0,2.0,1689.0
6.0,4.0,583.0,6.0,4.0,813.3,6.0,4.0,601.6,6.0,3.0,1135.0,6.0,3.0,1029.0,5.0,3.0,2027.0
6.0,5.0,716.1,6.0,5.0,833.9,6.0,5.0,520.8,6.0,5.0,947.9,6.0,4.0,1071.0,5.0,4.0,1626.0
