1,田中 京介,田中 京介.1,2,伊藤 尚汰,伊藤 尚汰.1,3,谷村 啓司,谷村 啓司.1,4,江藤 敦宏,江藤 敦宏.1,5,上野 俊樹,上野 俊樹.1,6,富永 修一,富永 修一.1
2.0,3.0,10.4,1.0,3.0,45.7,1.0,2.0,88.3,1.0,2.0,271.6,1.0,2.0,135.7,1.0,2.0,81.4
2.0,4.0,26.5,1.0,4.0,82.8,1.0,4.0,116.8,1.0,3.0,345.7,1.0,3.0,176.9,1.0,3.0,126.4
2.0,5.0,15.6,1.0,5.0,55.0,1.0,5.0,105.6,1.0,5.0,250.4,1.0,4.0,207.4,1.0,4.0,153.0
2.0,6.0,10.1,1.0,6.0,43.2,1.0,6.0,80.7,1.0,6.0,183.6,1.0,6.0,84.7,1.0,5.0,123.5
3.0,2.0,15.1,3.0,1.0,130.9,2.0,1.0,180.3,2.0,1.0,445.1,2.0,1.0,255.8,2.0,1.0,165.3
3.0,4.0,31.3,3.0,4.0,360.0,2.0,4.0,419.5,2.0,3.0,626.8,2.0,3.0,405.2,2.0,3.0,350.6
3.0,5.0,20.1,3.0,5.0,247.1,2.0,5.0,282.3,2.0,5.0,469.7,2.0,4.0,525.5,2.0,4.0,318.4
3.0,6.0,14.5,3.0,6.0,179.1,2.0,6.0,243.8,2.0,6.0,311.7,2.0,6.0,224.8,2.0,5.0,327.4
4.0,2.0,58.1,4.0,1.0,294.3,4.0,1.0,304.2,3.0,1.0,604.9,3.0,1.0,304.0,3.0,1.0,280.1
4.0,3.0,67.0,4.0,3.0,453.4,4.0,2.0,442.8,3.0,2.0,808.2,3.0,2.0,477.3,3.0,2.0,447.5
4.0,5.0,71.0,4.0,5.0,399.8,4.0,5.0,340.3,3.0,5.0,625.9,3.0,4.0,567.8,3.0,4.0,627.8
4.0,6.0,52.2,4.0,6.0,265.2,4.0,6.0,277.4,3.0,6.0,514.5,3.0,6.0,346.2,3.0,5.0,530.9
5.0,2.0,30.8,5.0,1.0,185.9,5.0,1.0,232.9,5.0,1.0,308.0,4.0,1.0,357.2,4.0,1.0,292.7
5.0,3.0,34.2,5.0,3.0,282.1,5.0,2.0,370.6,5.0,2.0,420.4,4.0,2.0,466.6,4.0,2.0,361.0
5.0,4.0,60.3,5.0,4.0,380.1,5.0,4.0,361.6,5.0,3.0,499.0,4.0,3.0,594.6,4.0,3.0,599.7
5.0,6.0,23.0,5.0,6.0,195.9,5.0,6.0,231.1,5.0,6.0,237.9,4.0,6.0,252.8,4.0,5.0,371.3
6.0,2.0,18.4,6.0,1.0,120.4,6.0,1.0,173.3,6.0,1.0,269.0,6.0,1.0,107.6,5.0,1.0,179.6
6.0,3.0,23.2,6.0,3.0,214.2,6.0,2.0,300.3,6.0,2.0,300.5,6.0,2.0,169.5,5.0,2.0,296.0
6.0,4.0,40.9,6.0,4.0,263.2,6.0,4.0,325.1,6.0,3.0,449.5,6.0,3.0,232.0,5.0,3.0,446.6
6.0,5.0,25.9,6.0,5.0,196.8,6.0,5.0,269.7,6.0,5.0,255.3,6.0,4.0,168.5,5.0,4.0,317.7
